variant,thr,asset,n,hit,block
baseline,0.0,ALL,5334,0.4955,5m_ws120
baseline,0.0,BTC,1818,0.5039,5m_ws120
baseline,0.0,ETH,1825,0.4915,5m_ws120
baseline,0.0,SOL,1691,0.4908,5m_ws120
baseline,0.0001,ALL,4660,0.4972,5m_ws120
baseline,0.0001,BTC,1447,0.5073,5m_ws120
baseline,0.0001,ETH,1522,0.4947,5m_ws120
baseline,0.0001,SOL,1691,0.4908,5m_ws120
baseline,0.0002,ALL,3750,0.488,5m_ws120
baseline,0.0002,BTC,1119,0.4978,5m_ws120
baseline,0.0002,ETH,1229,0.4849,5m_ws120
baseline,0.0002,SOL,1402,0.4829,5m_ws120
baseline,0.0005,ALL,1873,0.4757,5m_ws120
baseline,0.0005,BTC,476,0.4937,5m_ws120
baseline,0.0005,ETH,638,0.4624,5m_ws120
baseline,0.0005,SOL,759,0.4756,5m_ws120
gate_oi,0.0,ALL,423,0.5201,5m_ws120
gate_oi,0.0,BTC,153,0.451,5m_ws120
gate_oi,0.0,ETH,141,0.5745,5m_ws120
gate_oi,0.0,SOL,129,0.5426,5m_ws120
gate_oi,0.0001,ALL,345,0.5275,5m_ws120
gate_oi,0.0001,BTC,115,0.4783,5m_ws120
gate_oi,0.0001,ETH,101,0.5644,5m_ws120
gate_oi,0.0001,SOL,129,0.5426,5m_ws120
gate_oi,0.0002,ALL,254,0.4961,5m_ws120
gate_oi,0.0002,BTC,81,0.3827,5m_ws120
gate_oi,0.0002,ETH,72,0.5417,5m_ws120
gate_oi,0.0002,SOL,101,0.5545,5m_ws120
gate_oi,0.0005,ALL,98,0.5,5m_ws120
gate_ls_crowd,1.5,ALL,2000,0.498,5m_ws120
gate_ls_crowd,1.5,SOL,2000,0.498,5m_ws120
gate_hl_cross,,ALL,1862,0.5075,5m_ws120
gate_hl_cross,,BTC,648,0.5309,5m_ws120
gate_hl_cross,,ETH,500,0.494,5m_ws120
gate_hl_cross,,SOL,714,0.4958,5m_ws120
baseline,0.0,ALL,5366,0.5035,15m_ws120
baseline,0.0,BTC,1822,0.4967,15m_ws120
baseline,0.0,ETH,1827,0.4932,15m_ws120
baseline,0.0,SOL,1717,0.5218,15m_ws120
baseline,0.0001,ALL,4766,0.5076,15m_ws120
baseline,0.0001,BTC,1489,0.5024,15m_ws120
baseline,0.0001,ETH,1560,0.4968,15m_ws120
baseline,0.0001,SOL,1717,0.5218,15m_ws120
baseline,0.0002,ALL,3988,0.505,15m_ws120
baseline,0.0002,BTC,1184,0.5034,15m_ws120
baseline,0.0002,ETH,1314,0.4947,15m_ws120
baseline,0.0002,SOL,1490,0.5154,15m_ws120
baseline,0.0005,ALL,2156,0.4926,15m_ws120
baseline,0.0005,BTC,571,0.5044,15m_ws120
baseline,0.0005,ETH,707,0.4696,15m_ws120
baseline,0.0005,SOL,878,0.5034,15m_ws120
gate_oi,0.0,ALL,404,0.4406,15m_ws120
gate_oi,0.0,BTC,139,0.4101,15m_ws120
gate_oi,0.0,ETH,138,0.442,15m_ws120
gate_oi,0.0,SOL,127,0.4724,15m_ws120
gate_oi,0.0001,ALL,341,0.4487,15m_ws120
gate_oi,0.0001,BTC,103,0.4272,15m_ws120
gate_oi,0.0001,ETH,111,0.4414,15m_ws120
gate_oi,0.0001,SOL,127,0.4724,15m_ws120
gate_oi,0.0002,ALL,254,0.437,15m_ws120
gate_oi,0.0002,BTC,72,0.4722,15m_ws120
gate_oi,0.0002,ETH,80,0.4,15m_ws120
gate_oi,0.0002,SOL,102,0.4412,15m_ws120
gate_oi,0.0005,ALL,120,0.4083,15m_ws120
gate_oi,0.0005,SOL,54,0.4444,15m_ws120
gate_ls_crowd,1.5,ALL,2000,0.486,15m_ws120
gate_ls_crowd,1.5,SOL,2000,0.486,15m_ws120
gate_hl_cross,,ALL,1815,0.5107,15m_ws120
gate_hl_cross,,BTC,630,0.5206,15m_ws120
gate_hl_cross,,ETH,495,0.5333,15m_ws120
gate_hl_cross,,SOL,690,0.4855,15m_ws120
baseline,0.0,ALL,5287,0.5852,15m_late
baseline,0.0,BTC,1803,0.584,15m_late
baseline,0.0,ETH,1822,0.5785,15m_late
baseline,0.0,SOL,1662,0.5939,15m_late
baseline,0.0001,ALL,4486,0.5918,15m_late
baseline,0.0001,BTC,1355,0.6015,15m_late
baseline,0.0001,ETH,1469,0.5807,15m_late
baseline,0.0001,SOL,1662,0.5939,15m_late
baseline,0.0002,ALL,3537,0.6039,15m_late
baseline,0.0002,BTC,1031,0.6149,15m_late
baseline,0.0002,ETH,1155,0.5931,15m_late
baseline,0.0002,SOL,1351,0.6047,15m_late
baseline,0.0005,ALL,1594,0.6286,15m_late
baseline,0.0005,BTC,395,0.6304,15m_late
baseline,0.0005,ETH,537,0.6238,15m_late
baseline,0.0005,SOL,662,0.6314,15m_late
gate_oi,0.0,ALL,386,0.5881,15m_late
gate_oi,0.0,BTC,129,0.6434,15m_late
gate_oi,0.0,ETH,134,0.5448,15m_late
gate_oi,0.0,SOL,123,0.5772,15m_late
gate_oi,0.0001,ALL,310,0.6032,15m_late
gate_oi,0.0001,BTC,89,0.6854,15m_late
gate_oi,0.0001,ETH,98,0.5612,15m_late
gate_oi,0.0001,SOL,123,0.5772,15m_late
gate_oi,0.0002,ALL,225,0.5956,15m_late
gate_oi,0.0002,BTC,61,0.6557,15m_late
gate_oi,0.0002,ETH,73,0.5616,15m_late
gate_oi,0.0002,SOL,91,0.5824,15m_late
gate_oi,0.0005,ALL,73,0.6301,15m_late
gate_ls_crowd,1.5,ALL,2000,0.486,15m_late
gate_ls_crowd,1.5,SOL,2000,0.486,15m_late
gate_hl_cross,,ALL,1820,0.5016,15m_late
gate_hl_cross,,BTC,631,0.5119,15m_late
gate_hl_cross,,ETH,493,0.5172,15m_late
gate_hl_cross,,SOL,696,0.4813,15m_late
