slug,ticker,ws_s,fire_us,slot_end_us,fire <= slot_end-180s,btc_ret,self_ret,outcome
eth-updown-5m-1777344300,ETH,1777344000,1777344120000000,1777344600000000,True,0.0,0.0,Up
eth-updown-5m-1777771200,ETH,1777770900,1777771020000000,1777771500000000,True,-0.000143,-0.00013,Up
eth-updown-5m-1778879100,ETH,1778878800,1778878920000000,1778879400000000,True,0.00018,0.00036,Up
