slug,ticker,tf,ws_s,fire_us,slot_end_us,lookback_lo_us,fire_lt_slot_end (margin>=180s),long_sum_usd,short_sum_usd,net_usd,outcome
btc-updown-5m-1777344300,BTC,5m,1777344000,1777344120000000,1777344600000000,1777343820000000,True,0.0,519.88,519.88,Down
btc-updown-5m-1777771200,BTC,5m,1777770900,1777771020000000,1777771500000000,1777770720000000,True,6489.55,553.55,-5936.0,Down
btc-updown-5m-1778879100,BTC,5m,1778878800,1778878920000000,1778879400000000,1778878620000000,True,0.0,208.76,208.76,Up
