variant,thr_bp,asset,n,hit
basic,0.0,ALL,4562,0.4928
basic,0.0,ETH,2281,0.4888
basic,0.0,SOL,2281,0.4967
basic,0.5,ALL,4044,0.4879
basic,0.5,ETH,2022,0.4817
basic,0.5,SOL,2022,0.4941
basic,1.0,ALL,3638,0.4863
basic,1.0,ETH,1819,0.4799
basic,1.0,SOL,1819,0.4926
basic,2.0,ALL,2826,0.4795
basic,2.0,ETH,1413,0.4706
basic,2.0,SOL,1413,0.4883
basic,5.0,ALL,1204,0.4859
basic,5.0,ETH,602,0.4784
basic,5.0,SOL,602,0.4934
consensus,0.0,ALL,3537,0.4894
consensus,0.0,ETH,1863,0.489
consensus,0.0,SOL,1674,0.4898
consensus,0.5,ALL,3302,0.4833
consensus,0.5,ETH,1735,0.4847
consensus,0.5,SOL,1567,0.4818
consensus,1.0,ALL,3072,0.4811
consensus,1.0,ETH,1607,0.4835
consensus,1.0,SOL,1465,0.4785
consensus,2.0,ALL,2538,0.4752
consensus,2.0,ETH,1318,0.4727
consensus,2.0,SOL,1220,0.4779
consensus,5.0,ALL,1159,0.4814
consensus,5.0,ETH,591,0.4788
consensus,5.0,SOL,568,0.4842
