ticker,timeframe,weekly_regime,n,up_rate,regime_kind,daily_regime
BTC,15m,DOM_DN,187,0.5080213903743316,WEEKLY,
BTC,15m,DOM_UP,1849,0.49972958355868036,WEEKLY,
BTC,5m,DOM_DN,557,0.518850987432675,WEEKLY,
BTC,5m,DOM_UP,5553,0.49882946155231406,WEEKLY,
ETH,15m,DOM_DN,187,0.5080213903743316,WEEKLY,
ETH,15m,DOM_UP,1849,0.5024337479718767,WEEKLY,
ETH,5m,DOM_DN,557,0.4919210053859964,WEEKLY,
ETH,5m,DOM_UP,5553,0.49486763911399245,WEEKLY,
SOL,15m,DOM_DN,187,0.5454545454545454,WEEKLY,
SOL,15m,DOM_UP,1849,0.5089237425635479,WEEKLY,
SOL,5m,DOM_DN,557,0.5080789946140036,WEEKLY,
SOL,5m,DOM_UP,5553,0.5011705384476859,WEEKLY,
BTC,15m,,267,0.4943820224719101,DAILY,DOM_DN
BTC,15m,,1769,0.5014132278123233,DAILY,DOM_UP
BTC,5m,,811,0.499383477188656,DAILY,DOM_DN
BTC,5m,,5299,0.5008492168333648,DAILY,DOM_UP
ETH,15m,,267,0.49812734082397003,DAILY,DOM_DN
ETH,15m,,1769,0.5036743923120407,DAILY,DOM_UP
ETH,5m,,811,0.4907521578298397,DAILY,DOM_DN
ETH,5m,,5299,0.49518777127759955,DAILY,DOM_UP
SOL,15m,,267,0.5093632958801498,DAILY,DOM_DN
SOL,15m,,1769,0.5127190503109101,DAILY,DOM_UP
SOL,5m,,811,0.5067817509247842,DAILY,DOM_DN
SOL,5m,,5299,0.5010379316852236,DAILY,DOM_UP
