sleeve,window,n,mean_ret,wr,tot,t,ex_top2,med
STF_BTC,PRE,0,,,0.0,,0.0,
STF_BTC,IS,34,1.410953572852441,26.47058823529412,4135.064174687733,0.9282872994777395,-604.5760159501142,-3.149250920419033
STF_BTC,POST,5,4.3042555477836615,40.0,2865.433629895287,0.8330968143118338,-1508.6810205395564,-2.1608913813800914
CCI_ETH,PRE,0,,,0.0,,0.0,
CCI_ETH,IS,40,3.4369026696153133,40.0,23180.08596389507,2.198335057456794,10169.248961716632,-2.8910926957380125
CCI_ETH,POST,6,0.5874585813881738,33.33333333333333,761.9062293823558,0.19503298157927776,-4826.007646028782,-3.2062404653305574
STF_SOL,PRE,0,,,0.0,,0.0,
STF_SOL,IS,47,1.4983915104953216,36.17021276595745,7974.511266887966,1.5187158610706049,2830.197198478798,-3.066741339309007
STF_SOL,POST,8,3.035983739129143,62.5,4288.168228743817,1.1295010650380932,-1072.6140082751244,1.102337690660059
STF_AVAX,PRE,0,,,0.0,,0.0,
STF_AVAX,IS,35,3.4795610045605416,42.857142857142854,18419.72734039729,2.0719450884765043,7099.525840313445,-3.0697203255700907
STF_AVAX,POST,7,0.8411486438419548,14.285714285714285,898.1599849679869,0.2192052160939971,-4920.585932157505,-3.1598591089578876
LATBB_AVAX,PRE,0,,,0.0,,0.0,
LATBB_AVAX,IS,24,2.9325783179649894,45.83333333333333,8958.807485862384,1.9692324726249977,3928.1812231555386,-1.485206498105049
LATBB_AVAX,POST,6,0.39058709600790187,16.666666666666664,215.0835758348106,0.13288542070772377,-2590.2969270787567,-3.1062413840980443
MFI_SOL,PRE,0,,,0.0,,0.0,
MFI_SOL,IS,87,0.6886025329421273,26.436781609195403,4593.472484091697,0.8501384508640425,-1183.1058959328702,-3.0930007555021652
MFI_SOL,POST,12,3.6079814647772643,41.66666666666667,6595.95744807055,1.178060990211277,-1573.524704969902,-3.1932601641550318
VP_LINK,PRE,0,,,0.0,,0.0,
VP_LINK,IS,93,1.35027942573438,39.784946236559136,19337.089479647795,2.1180300100376077,9049.729124888952,-2.0369223439609083
VP_LINK,POST,14,-1.7405471980858576,7.142857142857142,-6617.606868218127,-1.3571198312605965,-9776.042880390025,-3.152258447913369
SVD_AVAX,PRE,0,,,0.0,,0.0,
SVD_AVAX,IS,64,0.6871060137573978,31.25,3946.2356256573416,0.9052147119481232,-72.75862692694363,-3.0557592961007973
SVD_AVAX,POST,6,3.8683823904216967,66.66666666666666,3444.544199969513,1.4420046103237059,-0.4770225373822541,2.7329505317597453
MFI_ETH,PRE,0,,,0.0,,0.0,
MFI_ETH,IS,82,0.7201953398708376,35.36585365853659,5898.245868721734,1.124397222249332,1632.6830679728491,-3.051649245941186
MFI_ETH,POST,12,0.8111843977733914,33.33333333333333,1205.3091346011242,0.41783516137803917,-3025.338293108457,-3.1317158802362126
