sleeve,coin,variant,gate_applied,entry_ts,window,side,ret_pct,realized,reason,bars
STF_BTC,BTC,V45,FUND_Z,2020-01-27 04:00:00+00:00,LONG_OOS,LONG,24.65555250248423,2377.6543091773206,TP,76
STF_BTC,BTC,V45,FUND_Z,2020-02-11 16:00:00+00:00,LONG_OOS,LONG,-3.216940671996017,-380.410921391094,SL,23
STF_BTC,BTC,V45,FUND_Z,2020-02-19 00:00:00+00:00,LONG_OOS,LONG,-3.1123877444150936,-355.7941927591668,SL,4
STF_BTC,BTC,V45,FUND_Z,2020-03-08 04:00:00+00:00,LONG_OOS,SHORT,23.784499461840337,2641.6436446402454,TP,25
STF_BTC,BTC,V45,FUND_Z,2020-03-28 04:00:00+00:00,LONG_OOS,SHORT,-1.007471151499478,-138.41158421782933,SL,12
STF_BTC,BTC,V45,FUND_Z,2020-04-16 12:00:00+00:00,LONG_OOS,LONG,7.075187659882301,962.2272476134958,TIME,70
STF_BTC,BTC,V45,FUND_Z,2020-06-16 04:00:00+00:00,LONG_OOS,LONG,-3.153668691295971,-459.0874249187207,SL,9
STF_BTC,BTC,V45,FUND_Z,2020-06-24 12:00:00+00:00,LONG_OOS,SHORT,1.1626922445741927,165.02078122211816,TIME,80
STF_BTC,BTC,V45,FUND_Z,2020-07-10 08:00:00+00:00,LONG_OOS,SHORT,-3.2539788788875255,-467.4046664581981,SL,3
STF_BTC,BTC,V45,FUND_Z,2020-07-21 08:00:00+00:00,LONG_OOS,LONG,22.018066218648656,3044.7573520685114,TP,30
STF_BTC,BTC,V45,FUND_Z,2020-08-06 16:00:00+00:00,LONG_OOS,LONG,-3.140499470892002,-529.3554152138654,SL,5
STF_BTC,BTC,V45,FUND_Z,2020-08-31 16:00:00+00:00,LONG_OOS,LONG,-3.242180553259687,-529.059991074398,SL,2
STF_BTC,BTC,V45,FUND_Z,2020-09-21 12:00:00+00:00,LONG_OOS,SHORT,-3.1844334210859184,-503.633757941899,SL,39
STF_BTC,BTC,V45,FUND_Z,2020-10-02 08:00:00+00:00,LONG_OOS,SHORT,-3.1985900642385166,-490.091529191218,SL,14
STF_BTC,BTC,V45,FUND_Z,2020-10-08 16:00:00+00:00,LONG_OOS,LONG,23.917497841423828,3518.4595959264334,TP,74
STF_BTC,BTC,V45,FUND_Z,2020-10-31 12:00:00+00:00,LONG_OOS,LONG,-3.1207392824589544,-568.8975006324825,SL,11
STF_BTC,BTC,V45,FUND_Z,2020-12-13 08:00:00+00:00,LONG_OOS,LONG,23.893923601221832,4210.6309270194515,TP,24
STF_BTC,BTC,V45,FUND_Z,2021-01-29 04:00:00+00:00,LONG_OOS,LONG,18.50629532043004,3987.315055625188,TP,65
STF_BTC,BTC,V45,FUND_Z,2021-04-10 08:00:00+00:00,LONG_OOS,LONG,-3.1449176910246046,-800.538569228449,SL,3
STF_BTC,BTC,V45,FUND_Z,2021-05-04 16:00:00+00:00,LONG_OOS,SHORT,-3.0940745079424716,-763.7783598776878,SL,5
STF_BTC,BTC,V45,FUND_Z,2021-05-12 20:00:00+00:00,LONG_OOS,SHORT,14.909126988509813,3575.007376536468,TP,38
STF_BTC,BTC,V45,FUND_Z,2021-05-29 16:00:00+00:00,LONG_OOS,SHORT,-3.038225699272789,-837.3564472237539,SL,14
STF_BTC,BTC,V45,FUND_Z,2021-06-05 12:00:00+00:00,LONG_OOS,SHORT,-2.8115135264292124,-751.5672270911027,SL,29
STF_BTC,BTC,V45,FUND_Z,2021-06-18 16:00:00+00:00,LONG_OOS,SHORT,6.6151378110224295,1717.7258872753414,TIME,80
STF_BTC,BTC,V45,FUND_Z,2021-08-05 20:00:00+00:00,LONG_OOS,LONG,7.340807138439597,2025.3189486493716,TIME,80
STF_BTC,BTC,V45,FUND_Z,2021-08-20 16:00:00+00:00,LONG_OOS,LONG,-3.121814432142272,-922.0305878099406,SL,28
STF_BTC,BTC,V45,FUND_Z,2021-09-07 16:00:00+00:00,LONG_OOS,SHORT,-3.0775492080524747,-882.589183822055,SL,63
STF_BTC,BTC,V45,FUND_Z,2021-09-20 04:00:00+00:00,LONG_OOS,SHORT,-3.123805653369341,-870.1658800503025,SL,67
