family,breadth,verdict,lo_n,lo_mean,lo_wr,lo_t,lo_tot,lo_ex_top2,he_n,he_mean,he_wr,he_t,he_tot,he_ex_top2
STF,9/10,PASSES (Bonf + breadth),877,1.054268742089184,35.57582668187001,5.008382574650582,140487.68978067517,124216.19302904555,441,1.40376423183378,36.054421768707485,4.372767203166469,195766.12448996986,173335.64487889217
CCI,6/10,nominal only,836,0.5970590470643672,32.89473684210527,2.989181530886737,74015.05287950643,63736.12599464905,411,0.3696964910038069,28.710462287104622,1.307551276147023,21426.757383553104,7168.223299743708
LATBB,6/10,weak,515,0.2637608211776786,30.097087378640776,1.07017977620043,13862.068642589631,8125.589345239801,232,0.5085796928168828,30.603448275862068,1.3501447221412304,11776.905229306187,6442.736360173365
MFI,5/10,weak,1586,0.23108988832175706,29.88650693568726,1.65360076558585,42338.96915276817,34846.428795457454,828,0.27270035635523054,31.40096618357488,1.4332710980138914,49501.741439961006,32954.64521662246
VP,10/10,PASSES (Bonf + breadth),1914,0.5006164628021031,32.758620689655174,3.932073162912645,184927.0675529068,159319.0828921796,955,0.24104205801683518,31.623036649214658,1.4029254650448464,258285.38009691468,192028.66761087993
SVD,7/10,nominal only,1301,0.33461798351623323,31.360491929285168,2.186111621722707,44286.49730488505,33063.20250720938,606,0.2799092622117466,30.033003300330037,1.2605196784400483,17211.118121607917,7516.553665548949
