tp_atr,sl_atr,trail_atr,max_hold,incumbent,sl_share_pct,lo_n,lo_mean,lo_t,lo_ex_top2,he_n,he_mean,he_t
15.0,2.0,6.0,60,False,71.7,2751,0.8366246147010441,6.840941667620602,383763.1615919945,1375,0.605691101400028,3.721019982950876
10.0,1.5,None,60,False,71.1,2998,0.7679251635414021,5.819618381492974,389251.01267277595,1497,0.6029782678898867,3.3236388649892787
10.0,1.5,8.0,60,False,72.0,3005,0.7661810732468878,5.834385691991933,383271.1851567583,1508,0.5308226884296809,2.9649833041949445
10.0,2.0,8.0,60,False,64.6,2730,0.7150267328403627,6.255227541963855,316478.8843199827,1357,0.5946175015193421,3.7107560260410715
10.0,2.0,None,60,False,63.1,2720,0.7074994371297824,6.1662660266556655,314613.7318394778,1349,0.6331921466584282,3.8957256979172006
10.0,1.5,6.0,60,False,76.8,3065,0.7059952310717286,5.586607832229985,382823.8813862632,1544,0.5322932217750516,3.030979767371662
10.0,2.0,6.0,60,True,70.7,2791,0.6745874584791973,6.153707652462597,299806.7726728547,1396,0.608348991149552,3.9034912196205993
10.0,1.5,8.0,90,False,79.2,2742,0.6691389966600938,4.670983713227535,207914.20392333934,1350,0.3448792025175517,1.7600678756453871
10.0,1.5,None,90,False,75.7,2705,0.6520616788826024,4.4769500036322105,225092.2993508783,1316,0.3541653272632316,1.7553750195045883
10.0,1.5,6.0,90,False,85.2,2868,0.64514093223015,4.803698278958373,221700.65526669056,1458,0.2700773259572513,1.5090925518309848
10.0,2.0,6.0,90,False,81.4,2585,0.6442477836559862,5.451967276337112,198795.39678638498,1310,0.32130354258839483,2.019587216052533
10.0,2.0,8.0,90,False,73.4,2457,0.6359613959950887,5.031860182713208,193254.1867683068,1190,0.441319993595931,2.488190621243015
10.0,2.0,None,90,False,68.7,2409,0.6298112578382242,4.866133491377657,200170.5872048664,1159,0.4421450508669485,2.4029345395341792
10.0,2.5,None,60,False,55.9,2501,0.5933467638781115,5.821651004010871,229401.19816680736,1247,0.4682551516261989,3.2766117147670406
10.0,2.5,8.0,60,False,58.3,2514,0.5885296731105348,5.8080730124420645,221630.81563302895,1260,0.40424621687530266,2.8746868103898335
10.0,2.5,6.0,60,False,66.5,2579,0.5782367165139964,5.966832886147857,207376.61806547755,1301,0.4974081153763589,3.621453573623994
10.0,2.5,8.0,90,False,69.1,2242,0.5191904204133223,4.577426824776442,137687.62300564974,1085,0.28575232502496717,1.8131719795398762
10.0,2.5,6.0,90,False,79.1,2387,0.5019264403552759,4.80383157498068,138299.3691003402,1198,0.23291609565953142,1.6487305598040451
10.0,2.5,None,90,False,63.3,2191,0.5007021094844766,4.26853118797286,134913.14833994917,1047,0.2938024378288395,1.7824238807445039
10.0,3.0,8.0,90,False,65.4,2096,0.4589893825551278,4.428574247369199,106821.30524203787,1024,0.1444609845133044,1.0173771126063498
10.0,3.0,6.0,90,False,76.6,2260,0.456627569279835,4.838165928669917,118703.59331733729,1141,0.08652658856734007,0.6897475316630294
10.0,3.0,8.0,60,False,53.8,2379,0.4263683283032713,4.713920237191015,127266.86629221834,1194,0.24750066353904732,1.970718573627022
10.0,3.0,None,60,False,50.6,2363,0.4242242023008756,4.644208369348571,130365.496984163,1182,0.3201195555259377,2.485104283128938
10.0,3.0,None,90,False,58.1,2037,0.4155657231454508,3.8664205250701054,91565.83431982607,982,0.16600415558050166,1.1045623921694905
10.0,3.0,6.0,60,False,63.9,2463,0.40609102348059994,4.754462869083549,118947.87438168986,1244,0.329557801668437,2.695772611442797
10.0,1.5,4.0,60,False,89.9,3369,0.39124166026280244,3.71974378253646,199120.57691799063,1690,0.4562559715039627,2.9350725522208205
10.0,1.5,4.0,90,False,93.6,3318,0.36675582097655635,3.441940704260241,164383.9933446887,1670,0.3244576900565889,2.124280901068626
10.0,1.5,None,30,False,62.1,3615,0.36515614011595166,3.849030393299382,193073.04166063285,1803,0.4451125356871011,3.2407883161281936
10.0,1.5,8.0,30,False,62.2,3615,0.3625337889803467,3.8250506390457524,188220.60226371925,1802,0.43787144578041837,3.2039074904089198
6.0,2.0,6.0,60,False,67.8,2903,0.34854119960329816,3.8802321497502783,95566.95479351228,1464,0.4507145377384742,3.441030274532488
10.0,2.0,4.0,60,False,88.2,3121,0.34537947209078135,3.861204802934524,129672.55540091838,1543,0.5396468754221059,3.950193062515337
10.0,4.0,6.0,90,False,74.4,2133,0.3428114249243401,4.445537002425786,74332.1853721313,1073,0.018951223246630483,0.18348622689936928
10.0,1.5,6.0,30,False,63.4,3621,0.31688656022776973,3.400329399134095,156493.7366454704,1806,0.4798605013186042,3.443008466223787
10.0,4.0,6.0,60,False,59.9,2317,0.3108663849743605,4.455771858210257,78280.2273475422,1175,0.21304993292017096,2.13670430407373
