tp_atr,sl_atr,trail_atr,max_hold,incumbent,sl_share_pct,lo_n,lo_mean,lo_t,lo_ex_top2,he_n,he_mean,he_t
10.0,4.0,8.0,90,False,60.3,1924,0.30767696414006307,3.5551537328822627,54672.04216410579,943,0.0579170161454725,0.4818539658394134
10.0,2.0,4.0,90,False,93.0,3072,0.29994208561897767,3.3219932785839985,107661.82838943339,1523,0.3957192208121794,2.949725470156208
10.0,2.0,None,30,False,53.1,3362,0.29904313098957835,3.6682254616490875,131187.0586452366,1663,0.41292995415650835,3.4793440745731448
10.0,2.0,8.0,30,False,53.3,3362,0.29346244922698234,3.607617871230259,127914.38891708947,1663,0.39592283226958347,3.365203116393366
10.0,4.0,8.0,60,False,45.9,2207,0.28669398717534766,3.8395928938011976,66735.71493712408,1113,0.16444054024517515,1.5568526927224478
10.0,4.0,None,90,False,47.8,1844,0.28580919458876697,3.1156042848708663,48772.79395241469,894,0.04921072590156235,0.38172840188397866
10.0,4.0,None,60,False,39.9,2183,0.2673359777253445,3.514284321503518,63591.05407497402,1095,0.232518704458949,2.1219182937033683
10.0,2.0,6.0,30,False,54.7,3371,0.2575842584451634,3.22234396754765,111186.23121435623,1666,0.42633766084266705,3.5798216463576487
10.0,2.5,None,30,False,44.8,3180,0.24020220963634195,3.3570364705747995,83424.1749396144,1571,0.3143263896141816,3.032236033780513
10.0,2.5,8.0,30,False,45.0,3180,0.2350282436225951,3.2914815574503162,81200.68531708207,1571,0.2989470729603435,2.906103882265932
10.0,2.5,4.0,60,False,87.3,2962,0.2302888304299131,3.014603757567736,70376.83746986683,1453,0.43462736890445997,3.6659598289477384
10.0,1.5,4.0,30,False,72.4,3684,0.22204494723537638,2.5599727356332744,95623.46432030456,1845,0.4697151759700995,3.390900097979448
10.0,2.5,4.0,90,False,92.6,2902,0.22067516199246126,2.8402120106930737,66749.28988347705,1430,0.33450295130176505,2.8540901821858533
10.0,3.0,None,30,False,37.7,3066,0.21253263409473197,3.328284658995817,73092.24069220027,1508,0.2306600761314117,2.5121026624278673
10.0,3.0,8.0,30,False,37.9,3066,0.21012501771549758,3.297440891162868,71420.18704212799,1508,0.21755764606572645,2.3876235577143214
10.0,2.5,6.0,30,False,47.1,3190,0.20102181939111807,2.8715227903251517,66176.7891678155,1578,0.33314633468985444,3.1959898678368033
10.0,3.0,6.0,30,False,41.0,3082,0.1694547201716476,2.7164067104276755,55522.516268975945,1516,0.24431182346140543,2.659485896037966
10.0,3.0,4.0,60,False,86.9,2890,0.16465922916088918,2.486852372054441,48017.54304265074,1414,0.3538400230999716,3.420050853851912
10.0,3.0,4.0,90,False,92.3,2829,0.16402528974420633,2.4302375334849646,46697.93679930363,1391,0.24064517917429612,2.3563925013893035
10.0,2.0,4.0,30,False,67.1,3456,0.16377028216189668,2.2363003606200818,52218.348018547345,1708,0.45825896190832544,3.8664985456264747
10.0,4.0,None,30,False,26.8,2946,0.14150733719822362,2.722309844158962,47908.49748009223,1444,0.1633745150200076,2.1722903995705494
10.0,4.0,8.0,30,False,27.6,2947,0.13821306957523893,2.666820911007725,46505.41041296567,1444,0.1534504101720918,2.053358631085773
10.0,4.0,4.0,60,False,86.4,2837,0.13531276706864406,2.6529640858585966,41843.95436479871,1390,0.2758732198457594,3.4681119435356256
10.0,4.0,4.0,90,False,92.1,2784,0.13325281040715467,2.561084343269752,39859.273827117446,1372,0.16947060003871145,2.161405455959669
10.0,2.5,4.0,30,False,63.0,3296,0.13053713150559274,2.06784590832471,34212.199762255856,1627,0.41373771295786915,4.023720605785782
10.0,4.0,6.0,30,False,33.3,2970,0.11946399720563836,2.371982939886676,41279.306982467766,1463,0.16029153747567187,2.1480439063500447
10.0,3.0,4.0,30,False,60.7,3220,0.10550074146612712,1.9105405174514434,29730.557407184744,1576,0.3200076976859133,3.636010191717267
10.0,4.0,4.0,30,False,59.3,3167,0.09061064446455905,2.129092277568914,27022.05899880397,1556,0.26600206264406673,3.9155618157578105
