window,n,mean,wr,t,tot,ex_top2,trades_per_month,n_required,months_to_power
LONG_OOS,2791,0.6745874584791973,33.64385524901469,6.153707652462597,325414.7573335819,299806.7726728547,35.4,956,27.0
HL_ERA,1396,0.608348991149552,33.022922636103154,3.9034912196205993,454051.5045868845,387794.7921008498,51.2,1188,23.2
