kind,p_negative,p_le_shadow,q05,q50,q95
iid,0.1415,0.0944,-0.5036942676170211,1.0102768342307444,2.7516964290482773
contiguous,0.13151927437641722,0.06462585034013606,-0.2908612927902818,0.8991631470043977,3.1599063165707477
