sleeve,coin,variant,gate,entry_ts,exit_ts,window,side,ret_pct,realized,reason,bars,funding_cost,regime
STF_BTC,BTC,V45,FUND_Z,2025-12-29 12:00:00+00:00,2025-12-30 12:00:00+00:00,IS,SHORT,-3.2414531788738987,-335.6013458124804,SL,6,-6.801956552007615,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-01-02 20:00:00+00:00,2026-01-16 04:00:00+00:00,IS,LONG,13.322501475600115,1324.3347831191084,TIME,80,77.23474891295506,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-01-29 16:00:00+00:00,2026-02-05 08:00:00+00:00,IS,SHORT,23.82775335192194,2687.1606414832036,TP,40,-12.518943171495977,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-02-16 16:00:00+00:00,2026-02-25 16:00:00+00:00,IS,SHORT,-3.1347717937134902,-438.3512788253147,SL,54,-18.913967681568735,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-02-28 08:00:00+00:00,2026-02-28 16:00:00+00:00,IS,SHORT,-3.125820155139656,-423.32237110938837,SL,2,2.401973894699849,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-03-27 12:00:00+00:00,2026-03-31 00:00:00+00:00,IS,SHORT,-3.14107984499599,-412.3303658421475,SL,21,-7.586721997447533,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-04-13 20:00:00+00:00,2026-04-27 04:00:00+00:00,IS,LONG,9.290978817107701,1182.1111972299736,TIME,80,-8.51928953754933,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-05-01 16:00:00+00:00,2026-05-15 00:00:00+00:00,POST,LONG,6.261486798195011,868.4386086752193,TIME,80,35.79894897205097,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-05-27 16:00:00+00:00,2026-06-03 00:00:00+00:00,POST,SHORT,23.721412503207166,3505.676041759624,TP,38,-40.564195521268665,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-07-06 16:00:00+00:00,2026-07-10 12:00:00+00:00,POST,SHORT,-3.3400232222358563,-612.0719797046421,SL,23,-41.17501098650394,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-07-13 08:00:00+00:00,2026-07-14 16:00:00+00:00,POST,SHORT,-2.9607069588679242,-524.9091058098408,SL,8,-15.872361646384096,LowVol
STF_BTC,BTC,V45,FUND_Z,2026-07-27 04:00:00+00:00,2026-07-27 16:00:00+00:00,POST,LONG,-2.1608913813800914,-371.69993502507367,SL,3,3.0404584582608245,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-03-11 08:00:00+00:00,2024-03-12 16:00:00+00:00,IS,LONG,-1.5940929402247388,-159.23119343351362,SL,8,11.172534829439236,HighVol
CCI_ETH,ETH,V41,FUND_Z,2024-04-24 16:00:00+00:00,2024-04-27 16:00:00+00:00,IS,SHORT,-3.1334202341020356,-308.2280450041131,SL,18,-7.196177918018078,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-05-04 08:00:00+00:00,2024-05-06 04:00:00+00:00,IS,SHORT,-3.123677028973053,-297.45496046539114,SL,11,5.974274288369955,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-05-07 08:00:00+00:00,2024-05-08 08:00:00+00:00,IS,LONG,-3.1111574612484354,-286.85657714700807,SL,6,4.882555878128152,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2024-05-11 08:00:00+00:00,2024-05-20 20:00:00+00:00,IS,LONG,23.938352057453592,2128.9554040073626,TP,57,39.904125241167236,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-05-27 12:00:00+00:00,2024-06-09 20:00:00+00:00,IS,SHORT,5.000888068209419,557.0737122176922,TIME,80,-117.04840231237871,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-07-01 12:00:00+00:00,2024-07-05 00:00:00+00:00,IS,SHORT,23.73232065388499,2784.4060246280765,TP,21,-35.97904343519941,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-07-13 16:00:00+00:00,2024-07-14 20:00:00+00:00,IS,SHORT,-3.149994490908539,-457.59813969338313,SL,7,-9.995977843685267,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-07-20 04:00:00+00:00,2024-07-31 20:00:00+00:00,IS,SHORT,7.722884255622331,1093.5277997017631,TIME,70,-90.22540046770233,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2024-08-12 08:00:00+00:00,2024-08-24 00:00:00+00:00,IS,LONG,4.350516612306247,662.9007534275104,TIME,70,15.81735904223978,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2024-08-27 08:00:00+00:00,2024-08-27 08:00:00+00:00,IS,LONG,-3.1687117095447412,-503.8224431949357,SL,0,0.27472677189580025,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-09-10 12:00:00+00:00,2024-09-13 16:00:00+00:00,IS,SHORT,-3.110170620458236,-479.2326865053326,SL,19,-12.47403773627326,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2024-09-14 08:00:00+00:00,2024-09-19 16:00:00+00:00,IS,SHORT,-3.152453887064446,-471.4600852412139,SL,32,-26.003337787292544,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-10-01 00:00:00+00:00,2024-10-01 12:00:00+00:00,IS,LONG,-3.179500395091326,-460.24880317175433,SL,3,8.369335959861427,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-10-10 08:00:00+00:00,2024-10-10 16:00:00+00:00,IS,LONG,-3.1469654992230938,-441.06738245988805,SL,2,-0.3826375838422227,LowVol
CCI_ETH,ETH,V41,FUND_Z,2024-12-07 00:00:00+00:00,2024-12-15 16:00:00+00:00,IS,SHORT,1.1529873305757457,157.28021771059585,SL,52,-66.53197980893978,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2024-12-16 12:00:00+00:00,2024-12-16 16:00:00+00:00,IS,SHORT,-3.1306827171930944,-432.3658359594988,SL,1,-12.20693098370659,LowVol
CCI_ETH,ETH,V41,FUND_Z,2025-01-03 00:00:00+00:00,2025-01-03 12:00:00+00:00,IS,SHORT,-3.159331494664276,-422.7976919094779,SL,3,-4.278121297844406,LowVol
CCI_ETH,ETH,V41,FUND_Z,2025-01-19 16:00:00+00:00,2025-01-19 20:00:00+00:00,IS,LONG,-3.068236288145196,-397.4783947082321,SL,1,5.08580522619244,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2025-01-24 16:00:00+00:00,2025-02-03 00:00:00+00:00,IS,SHORT,18.247178479028772,2294.0540692747313,TP,56,-14.959976971807036,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2025-02-17 20:00:00+00:00,2025-02-21 08:00:00+00:00,IS,SHORT,-3.098554768775099,-460.9930544605301,SL,21,-11.522671448568982,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2025-02-23 12:00:00+00:00,2025-02-28 00:00:00+00:00,IS,SHORT,23.899026459715085,3445.2562378142015,TP,27,0.801384528559565,LowVol
CCI_ETH,ETH,V41,FUND_Z,2025-03-25 00:00:00+00:00,2025-04-06 16:00:00+00:00,IS,SHORT,23.855726730625342,4261.053125737165,TP,76,-0.6204545122880363,LowVol
CCI_ETH,ETH,V41,FUND_Z,2025-04-16 12:00:00+00:00,2025-04-28 04:00:00+00:00,IS,LONG,8.824916615677585,1952.5032897836536,TIME,70,-2.077121174714475,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2025-05-02 00:00:00+00:00,2025-05-08 00:00:00+00:00,IS,SHORT,-3.1305617459834263,-754.3972590515149,SL,36,-20.428466954581687,LowVol
