window,n,mean_ret,wr,tot,t,ex_top2,med
PRE,0,,,0.0,,0.0,
IS,506,1.455641608211065,34.980237154150196,96443.23968984903,4.477145192625289,83215.31939002259,-3.059976773886357
POST,76,1.4399748176731266,32.89473684210527,13656.955563247317,1.5939091108382835,2198.9240652197805,-3.1172024945967935
SHADOW(>=06-11),46,-0.21462520603194757,28.26086956521739,-7183.337609794766,-0.24395258172398382,-15164.225682263157,-3.1756369770025907
