family,coin,entry_ts,window,ret_pct,realized,reason
STF,BTC,2020-06-11 00:00:00+00:00,LONG_OOS,-3.14429113622392,-744.6431443158417,SL
STF,BTC,2020-06-16 04:00:00+00:00,LONG_OOS,-3.1138766810034255,-714.2530065920829,SL
STF,BTC,2020-06-24 12:00:00+00:00,LONG_OOS,3.55580917374285,790.2248686954873,TIME
STF,BTC,2020-07-06 16:00:00+00:00,LONG_OOS,-3.191701287595882,-734.529009148322,SL
STF,BTC,2020-07-21 08:00:00+00:00,LONG_OOS,14.698027257304059,3274.6006968750085,TP
STF,BTC,2020-08-06 16:00:00+00:00,LONG_OOS,-3.1023782438470415,-792.775090655636,SL
STF,BTC,2020-08-16 04:00:00+00:00,LONG_OOS,-3.1233457098218245,-773.3719652127277,SL
STF,BTC,2020-08-31 16:00:00+00:00,LONG_OOS,-3.179823981845844,-762.7646889695509,SL
STF,BTC,2020-09-21 12:00:00+00:00,LONG_OOS,-2.1962481252408956,-510.0758606842433,SL
STF,BTC,2020-10-02 08:00:00+00:00,LONG_OOS,-3.1511117870857746,-715.7686828285146,SL
STF,BTC,2020-10-08 16:00:00+00:00,LONG_OOS,7.780753997946352,1711.690367026095,TIME
STF,BTC,2020-11-30 04:00:00+00:00,LONG_OOS,-1.4707390676446295,-348.72282024656215,SL
STF,BTC,2020-12-13 08:00:00+00:00,LONG_OOS,14.883631766668106,3477.1136131999715,TP
STF,BTC,2021-01-29 04:00:00+00:00,LONG_OOS,6.923094584476944,1858.097016351833,TIME
STF,BTC,2021-03-02 00:00:00+00:00,LONG_OOS,6.001545313597921,1722.275922197415,TIME
STF,BTC,2021-03-28 04:00:00+00:00,LONG_OOS,2.101102146220453,639.1444226756255,TIME
STF,BTC,2021-04-10 08:00:00+00:00,LONG_OOS,-3.1009162412803035,-963.1020405069864,SL
STF,BTC,2021-05-04 16:00:00+00:00,LONG_OOS,-3.074012013101715,-925.1400839324632,SL
STF,BTC,2021-05-08 08:00:00+00:00,LONG_OOS,-3.0726295717356633,-896.2979031331403,SL
STF,BTC,2021-05-12 20:00:00+00:00,LONG_OOS,14.944797230807094,4225.505118923278,TP
