offset,direction,gates,n_gates,train_n,train_wr,train_dpt,val_n,val_wr,val_dpt,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,lock_days,lock_sharpe,sum_25_28d,v7_path,bootstrap_p,obj_score,gate_stack_str
600,DOWN,"['g_mp_no_extreme', 'g_mp_skew_with', 'g_vwap_mid']",3,116,0.5517241379310345,1.5603559461693566,38,0.6052631578947368,4.362769317413023,17,0.8235294117647058,16.04987373764706,50.0,2,4,18.34396433150251,1909.9349747800002,A_3gate_new,0.001,66.17532469814574,g_mp_no_extreme+g_mp_skew_with+g_vwap_mid
600,DOWN,"['g_mp_no_extreme', 'g_mp_skew_strong_with', 'g_vwap_mid']",3,116,0.5517241379310345,1.5603559461693566,38,0.6052631578947368,4.362769317413023,17,0.8235294117647058,16.04987373764706,50.0,2,4,18.34396433150251,1909.9349747800002,A_3gate_new,0.001,66.17532469814574,g_mp_no_extreme+g_mp_skew_strong_with+g_vwap_mid
600,DOWN,"['g_bb_pos_with', 'g_mp_skew_with', 'g_vwap_mid']",3,83,0.5903614457831325,3.688360966999265,24,0.5833333333333334,2.4367786232224624,13,0.8461538461538461,14.840816393829483,25.0,1,3,35.323916338976865,1350.5142918384831,A_3gate_new,0.001,53.50932447769877,g_bb_pos_with+g_mp_skew_with+g_vwap_mid
600,DOWN,"['g_bb_pos_with', 'g_mp_skew_strong_with', 'g_vwap_mid']",3,83,0.5903614457831325,3.688360966999265,24,0.5833333333333334,2.4367786232224624,13,0.8461538461538461,14.840816393829483,25.0,1,3,35.323916338976865,1350.5142918384831,A_3gate_new,0.001,53.50932447769877,g_bb_pos_with+g_mp_skew_strong_with+g_vwap_mid
600,DOWN,"['g_mp_skew_with', 'g_tr_above_ema50', 'g_vwap_mid']",3,88,0.5568181818181818,1.9402329168672283,26,0.5769230769230769,2.2040188451593505,16,0.8125,13.296069647213834,25.0,1,3,50.9111497182972,1489.1598004879493,A_3gate_new,0.001,53.184278588855335,g_mp_skew_with+g_tr_above_ema50+g_vwap_mid
600,DOWN,"['g_mp_skew_strong_with', 'g_tr_above_ema50', 'g_vwap_mid']",3,88,0.5568181818181818,1.9402329168672283,26,0.5769230769230769,2.2040188451593505,16,0.8125,13.296069647213834,25.0,1,3,50.9111497182972,1489.1598004879493,A_3gate_new,0.001,53.184278588855335,g_mp_skew_strong_with+g_tr_above_ema50+g_vwap_mid
600,DOWN,"['g_mp_no_extreme_150', 'g_mp_skew_with', 'g_vwap_mid']",3,143,0.5594405594405595,2.4405449874313994,45,0.5777777777777777,2.7422376968829223,23,0.7391304347826086,10.62813791315983,75.0,3,4,16.70148314153112,1711.1302040187325,A_3gate_new,0.001,50.97075883804697,g_mp_no_extreme_150+g_mp_skew_with+g_vwap_mid
600,DOWN,"['g_mp_no_extreme_150', 'g_mp_skew_strong_with', 'g_vwap_mid']",3,143,0.5594405594405595,2.4405449874313994,45,0.5777777777777777,2.7422376968829223,23,0.7391304347826086,10.62813791315983,75.0,3,4,16.70148314153112,1711.1302040187325,A_3gate_new,0.001,50.97075883804697,g_mp_no_extreme_150+g_mp_skew_strong_with+g_vwap_mid
600,DOWN,"['g_mp_skew_with', 'g_regime_ranging', 'g_vwap_mid']",3,127,0.5511811023622047,2.230114797676736,34,0.5294117647058824,0.6630327379820232,23,0.7391304347826086,10.628137913159827,75.0,3,4,21.944975926946505,1711.130204018732,A_3gate_new,0.001,50.97075883804696,g_mp_skew_with+g_regime_ranging+g_vwap_mid
600,DOWN,"['g_mp_skew_strong_with', 'g_regime_ranging', 'g_vwap_mid']",3,127,0.5511811023622047,2.230114797676736,34,0.5294117647058824,0.6630327379820232,23,0.7391304347826086,10.628137913159827,75.0,3,4,21.944975926946505,1711.130204018732,A_3gate_new,0.001,50.97075883804696,g_mp_skew_strong_with+g_regime_ranging+g_vwap_mid
