sleeve_id,anchor,gate_stack,weights,conviction_method,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_28d_const,max_dd_25,loss_streak,sharpe,bootstrap_p_lockbox,obj_score,offset,direction,v7_path
btc15m_v7_combo_off600_DOWN_n17_dpt16.0,offset_600s,g_mp_no_extreme+g_mp_skew_with+g_vwap_mid,,B,116,38,17,0.5517241379310345,0.6052631578947368,0.8235294117647058,1.5603559461693566,4.362769317413023,16.04987373764706,1909.93497478,50.0,2,18.34396433150251,0.001,66.17532469814574,600,DOWN,A_3gate_new
btc15m_v7_combo_off600_DOWN_n13_dpt14.8,offset_600s,g_bb_pos_with+g_mp_skew_with+g_vwap_mid,,B,83,24,13,0.5903614457831325,0.5833333333333334,0.8461538461538461,3.688360966999265,2.4367786232224624,14.840816393829485,1350.5142918384831,25.0,1,35.323916338976865,0.001,53.509324477698776,600,DOWN,A_3gate_new
btc15m_v7_combo_off600_DOWN_n16_dpt13.3,offset_600s,g_mp_skew_with+g_tr_above_ema50+g_vwap_mid,,B,88,26,16,0.5568181818181818,0.5769230769230769,0.8125,1.9402329168672283,2.2040188451593505,13.296069647213834,1489.1598004879493,25.0,1,50.9111497182972,0.001,53.184278588855335,600,DOWN,A_3gate_new
btc15m_v7_combo_off600_DOWN_n23_dpt10.6,offset_600s,g_mp_no_extreme_150+g_mp_skew_with+g_vwap_mid,,B,143,45,23,0.5594405594405595,0.5777777777777777,0.7391304347826086,2.4405449874314,2.7422376968829223,10.62813791315983,1711.1302040187325,75.0,3,16.70148314153112,0.001,50.97075883804697,600,DOWN,A_3gate_new
btc15m_v7_combo_off600_DOWN_n15_dpt13.1,offset_600s,g_cci_with+g_mp_skew_with+g_vwap_mid,,B,83,25,15,0.6024096385542169,0.56,0.8,4.170482999870862,1.3393074782935637,13.093585509643924,1374.826478512612,25.0,1,35.811535091349654,0.001,50.711238620993676,600,DOWN,A_3gate_new
btc15m_v7_combo_off600_DOWN_n13_dpt13.8,offset_600s,g_mp_skew_with+g_rf_with+g_vwap_mid,,B,85,22,13,0.5764705882352941,0.5909090909090909,0.8461538461538461,3.218733606100509,1.8469312351453704,13.800537871223671,1255.848946281354,25.0,1,33.697509707586775,0.001,49.758546923679596,600,DOWN,A_3gate_new
btc15m_v7_strad_UP600_DOWN840_n80,UP@600+DOWN@840,[none]+[none],,B,263,108,80,1.0,1.0,1.0,2.2218975301250388,0.2633592943567936,5.308488471302855,2972.753543929599,125.79741758797186,6,20.62640403600096,0.001,47.480564318428506,UP@600+DOWN@840,STRADDLE,B_straddle
btc15m_v7_combo_off600_DOWN_n24_dpt9.1,offset_600s,g_mp_skew_strong_with+g_vwap_mid,,B,150,45,24,0.56,0.5777777777777777,0.7083333333333334,2.712586376164652,2.7422376968829223,9.143632166778168,1536.130204018732,75.0,3,18.17426206420428,0.001,44.794466408610894,600,DOWN,A_2gate_new
btc15m_v7_combo_off600_DOWN_n15_dpt11.2,offset_600s,g_mp_skew_with+g_ribbon_agrees+g_vwap_mid,,B,79,27,15,0.6075949367088608,0.5925925925925926,0.8,4.641797927780914,3.3031884569310086,11.170607591849109,1172.9137971441562,50.0,2,28.107695000731205,0.001,43.26357717024974,600,DOWN,A_3gate_new
btc15m_v7_combo_off600_DOWN_n18_dpt9.0,offset_600s,g_mp_skew_with+g_tr_above_cloud+g_vwap_mid,,B,96,29,18,0.5625,0.5862068965517241,0.7222222222222222,2.4669573929090203,2.93816916549624,9.040950797523408,1139.1598004879493,50.0,2,63.149284198149104,0.001,38.35750570381636,600,DOWN,A_3gate_new
btc15m_v7_strad_UP600_DOWN840_n42,UP@600+DOWN@840,[g_mp_skew_with]+[none],,B,126,58,42,1.0,1.0,1.0,3.0713563948552407,-2.444213776685853,5.634474778481986,1656.535584873704,122.0758205233891,5,13.82430450958451,0.047,36.51557001106082,UP@600+DOWN@840,STRADDLE,B_straddle
btc15m_v7_strad_DOWN60_UP840_n39,DOWN@60+UP@840,[none]+[g_ribbon_slope_with],,B,132,57,39,1.0,1.0,1.0,1.436805482899731,-1.195133593884295,5.822764057069795,1589.6145875800541,149.88173892234224,11,47.45477200621509,0.001,36.36314988154701,DOWN@60+UP@840,STRADDLE,B_straddle
btc15m_v7_combo_off600_DOWN_n33_dpt6.3,offset_600s,g_mp_no_extreme_150+g_tr_above_ema50+g_vwap_mid,,B,130,50,33,0.5538461538461539,0.58,0.6666666666666666,1.5015671320291324,2.5535401549953134,6.272671589699353,1448.9871372205505,93.758619846703,2,13.188710138030272,0.041,36.03375490818722,600,DOWN,A_3gate_new
btc15m_v7_combo_off480_DOWN_n17_dpt8.3,offset_480s,g_tr_above_ema50+g_vwap_25_75+g_vwap_deep_premium,,B,95,22,17,0.7684210526315789,0.7727272727272727,0.9411764705882352,2.103320230617572,2.3267789330449387,8.306418646525294,988.46381893651,25.0,1,25.87287840612253,0.001,34.24824145022387,480,DOWN,A_3gate_new
btc15m_v7_combo_off480_DOWN_n17_dpt8.3,offset_480s,g_cci_with+g_vwap_25_75+g_vwap_deep_premium,,B,85,24,17,0.7529411764705882,0.7083333333333334,0.9411764705882352,1.5040734784477396,0.049547355291193,8.254407825344597,982.2745312160072,25.0,1,24.669546979417756,0.001,34.033795340820745,480,DOWN,A_3gate_new
btc15m_v7_combo_off600_DOWN_n12_dpt9.4,offset_600s,g_mp_skew_with+g_ribbon_slope_with+g_vwap_mid,,B,83,16,12,0.5783132530120482,0.5,0.75,3.4052293690769315,-3.7249692186554886,9.395126143848238,789.190596083252,25.0,1,26.001958138179525,0.001,32.54567164932762,600,DOWN,A_3gate_new
btc15m_v7_combo_off600_DOWN_n15_dpt8.2,offset_600s,g_mp_skew_with+g_tr_above_ema200+g_vwap_mid,,B,79,24,15,0.5822784810126582,0.5416666666666666,0.7333333333333333,3.756797346697812,0.7670279520077147,8.193645962715436,860.3328260851208,50.0,2,53.35222620171869,0.001,31.733854358316524,600,DOWN,A_3gate_new
btc15m_v7_combo_off840_BOTH_n14_dpt8.3,offset_840s,g_mp_skew_with+g_vwap_mid+g_vwap_premium,,B,44,18,14,0.6590909090909091,0.6111111111111112,0.7857142857142857,3.61911475376571,1.0274430126353895,8.327999574045254,816.143958256435,25.0,1,58.54006647903982,0.001,31.160521123276663,840,BOTH,A_3gate_new
btc15m_v7_combo_off600_BOTH_n12_dpt9.0,offset_600s,g_rf_strong+g_vwap_30_70+g_vwap_deep_premium,,B,48,18,12,0.7916666666666666,0.7777777777777778,0.9166666666666666,4.006435907372719,3.6304453968424784,8.972421628246328,753.6834167726915,25.0,1,27.72316750728026,0.005,31.081380254105028,600,BOTH,A_3gate_new
btc15m_v7_strad_UP240_DOWN840_n90,UP@240+DOWN@840,[none]+[none],,B,292,110,90,1.0,1.0,1.0,2.797816031967813,3.971327217767143,3.1497857842562422,1984.3650440814324,121.6669364139144,6,20.277324762491897,0.001,29.88149165960836,UP@240+DOWN@840,STRADDLE,B_straddle
