offset,direction,gates,n_gates,train_n,train_wr,train_dpt,val_n,val_wr,val_dpt,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,lock_days,lock_sharpe,sum_25_28d,v7_path,gate_stack_str
600,BOTH,"['g_queue_top_high', 'g_ribbon_slope_with', 'g_rv_md']",3,134,0.6492537313432836,2.978062511443283,65,0.5384615384615384,-4.562341794829369,10,0.9,33.853936007183734,25.0,1,1,0.0,2369.7755205028616,A_3gate_new,g_queue_top_high+g_ribbon_slope_with+g_rv_md
600,DOWN,"['g_f7_rsi_strong_with', 'g_rf_with', 'g_rv_md']",3,35,0.6,1.8356058728802225,16,0.5625,-3.0455428890258465,10,0.9,33.788661989597415,25.0,1,1,0.0,2365.206339271819,G_vol_regime,g_f7_rsi_strong_with+g_rf_with+g_rv_md
600,DOWN,"['g_imb5_with', 'g_rf_with', 'g_rv_md']",3,80,0.575,3.369188021560938,35,0.45714285714285713,-8.974480284067235,10,0.9,33.7253790840195,25.0,1,1,0.0,2360.776535881365,A_3gate_new,g_imb5_with+g_rf_with+g_rv_md
600,DOWN,"['g_imb5_with', 'g_rf_strong', 'g_rv_md']",3,80,0.575,4.636519288678647,33,0.48484848484848486,-8.003236664919797,10,0.9,33.7253790840195,25.0,1,1,0.0,2360.776535881365,A_3gate_new,g_imb5_with+g_rf_strong+g_rv_md
600,DOWN,"['g_imb5_with', 'g_ribbon_slope_with', 'g_rv_md']",3,78,0.5641025641025641,4.703586464435587,32,0.5,-6.384521195455731,11,0.9090909090909091,32.40943551399368,25.0,1,1,0.0,2495.5265345775133,A_3gate_new,g_imb5_with+g_ribbon_slope_with+g_rv_md
600,BOTH,"['g_f7_rsi_with', 'g_mp_skew_with', 'g_rv_md']",3,138,0.6304347826086957,5.052993372279426,65,0.46153846153846156,-6.687642854954217,12,0.75,31.473161670908855,43.53114329313839,1,1,0.0,2643.745580356344,G_vol_regime,g_f7_rsi_with+g_mp_skew_with+g_rv_md
600,BOTH,"['g_f7_rsi_with', 'g_mp_skew_strong_with', 'g_rv_md']",3,138,0.6304347826086957,5.052993372279426,65,0.46153846153846156,-6.687642854954217,12,0.75,31.473161670908855,43.53114329313839,1,1,0.0,2643.745580356344,G_vol_regime,g_f7_rsi_with+g_mp_skew_strong_with+g_rv_md
600,DOWN,"['g_queue_top_high', 'g_rv_md']",2,131,0.6717557251908397,4.949611177477271,51,0.5294117647058824,-4.04218872909131,10,0.8,30.659123649421566,40.4077710142041,1,1,0.0,2146.1386554595097,A_2gate_new,g_queue_top_high+g_rv_md
600,DOWN,"['g_queue_top_high', 'g_rv_md', 'g_vpin_calm']",3,73,0.684931506849315,4.960821086377888,40,0.575,-2.7318553154314777,10,0.8,30.659123649421566,40.4077710142041,1,1,0.0,2146.1386554595097,A_3gate_new,g_queue_top_high+g_rv_md+g_vpin_calm
600,DOWN,"['g_queue_top_high', 'g_regime_ranging', 'g_rv_md']",3,107,0.6448598130841121,5.36983240232419,42,0.47619047619047616,-8.580688039090777,10,0.8,30.659123649421566,40.4077710142041,1,1,0.0,2146.1386554595097,A_3gate_new,g_queue_top_high+g_regime_ranging+g_rv_md
600,DOWN,"['g_queue_top_high', 'g_rv_md', 'g_vwap_10_90']",3,131,0.6717557251908397,4.949611177477271,51,0.5294117647058824,-4.04218872909131,10,0.8,30.659123649421566,40.4077710142041,1,1,0.0,2146.1386554595097,A_3gate_new,g_queue_top_high+g_rv_md+g_vwap_10_90
600,BOTH,"['g_imb5_with', 'g_rf_strong', 'g_rv_md']",3,154,0.564935064935065,1.9050255434408945,67,0.5373134328358209,-4.40286246307308,15,0.7333333333333333,30.00580858246727,50.0,2,1,0.0,3150.609901159063,A_3gate_new,g_imb5_with+g_rf_strong+g_rv_md
600,BOTH,"['g_queue_top_high', 'g_rf_with', 'g_rv_md']",3,141,0.6453900709219859,1.6219582804112922,63,0.6190476190476191,-0.5703161141993379,11,0.8181818181818182,28.657924548331128,25.0,1,1,0.0,2206.6601902214966,A_3gate_new,g_queue_top_high+g_rf_with+g_rv_md
600,BOTH,"['g_queue_top_high', 'g_rf_strong', 'g_rv_md']",3,136,0.6544117647058824,1.80276094457467,62,0.5967741935483871,-2.063992685473668,11,0.8181818181818182,28.657924548331128,25.0,1,1,0.0,2206.6601902214966,A_3gate_new,g_queue_top_high+g_rf_strong+g_rv_md
600,DOWN,"['g_mp_skew_with', 'g_rv_md', 'g_vwap_10_90']",3,147,0.6054421768707483,5.4509699006559265,63,0.47619047619047616,-6.077787507576215,10,0.7,27.20634600685802,25.0,1,1,0.0,1904.4442204800612,A_3gate_new,g_mp_skew_with+g_rv_md+g_vwap_10_90
600,DOWN,"['g_mp_skew_strong_with', 'g_rv_md', 'g_vwap_10_90']",3,147,0.6054421768707483,5.4509699006559265,63,0.47619047619047616,-6.077787507576215,10,0.7,27.20634600685802,25.0,1,1,0.0,1904.4442204800612,A_3gate_new,g_mp_skew_strong_with+g_rv_md+g_vwap_10_90
600,DOWN,"['g_mp_skew_with', 'g_rv_md', 'g_vpin_calm']",3,86,0.627906976744186,9.150513194865423,52,0.4807692307692308,-6.382568634200343,10,0.7,27.20634600685802,25.0,1,1,0.0,1904.4442204800612,A_3gate_new,g_mp_skew_with+g_rv_md+g_vpin_calm
600,DOWN,"['g_mp_skew_strong_with', 'g_rv_md', 'g_vpin_calm']",3,86,0.627906976744186,9.150513194865423,52,0.4807692307692308,-6.382568634200343,10,0.7,27.20634600685802,25.0,1,1,0.0,1904.4442204800612,A_3gate_new,g_mp_skew_strong_with+g_rv_md+g_vpin_calm
600,DOWN,"['g_mp_skew_strong_with', 'g_mp_skew_with', 'g_rv_md']",3,147,0.6054421768707483,5.4509699006559265,63,0.47619047619047616,-6.077787507576215,10,0.7,27.20634600685802,25.0,1,1,0.0,1904.4442204800612,A_3gate_new,g_mp_skew_strong_with+g_mp_skew_with+g_rv_md
600,DOWN,"['g_mp_skew_with', 'g_rv_md']",2,147,0.6054421768707483,5.4509699006559265,63,0.47619047619047616,-6.077787507576215,10,0.7,27.20634600685802,25.0,1,1,0.0,1904.4442204800612,A_2gate_new,g_mp_skew_with+g_rv_md
600,DOWN,"['g_mp_skew_strong_with', 'g_rv_md']",2,147,0.6054421768707483,5.4509699006559265,63,0.47619047619047616,-6.077787507576215,10,0.7,27.20634600685802,25.0,1,1,0.0,1904.4442204800612,A_2gate_new,g_mp_skew_strong_with+g_rv_md
600,DOWN,"['g_f7_rsi_strong_with', 'g_rv_md']",2,68,0.6029411764705882,7.216129620456676,38,0.47368421052631576,3.6284894019621716,13,0.8461538461538461,26.28187662579578,25.0,1,1,0.0,2391.6507729474156,A_2gate_new,g_f7_rsi_strong_with+g_rv_md
600,DOWN,"['g_f7_rsi_strong_with', 'g_f7_rsi_with', 'g_rv_md']",3,68,0.6029411764705882,7.216129620456676,38,0.47368421052631576,3.6284894019621716,13,0.8461538461538461,26.28187662579578,25.0,1,1,0.0,2391.6507729474156,G_vol_regime,g_f7_rsi_strong_with+g_f7_rsi_with+g_rv_md
600,BOTH,"['g_imb5_with', 'g_mp_skew_strong_with', 'g_rv_md']",3,208,0.5673076923076923,2.3483723675288246,89,0.5280898876404494,-3.631374588104522,16,0.6875,25.605856935504832,50.0,2,1,0.0,2867.855976776541,A_3gate_new,g_imb5_with+g_mp_skew_strong_with+g_rv_md
600,BOTH,"['g_imb5_with', 'g_mp_skew_with', 'g_rv_md']",3,208,0.5673076923076923,2.3483723675288246,89,0.5280898876404494,-3.631374588104522,16,0.6875,25.605856935504832,50.0,2,1,0.0,2867.855976776541,A_3gate_new,g_imb5_with+g_mp_skew_with+g_rv_md
600,BOTH,"['g_hawkes_imb_loose_with', 'g_ribbon_slope_with', 'g_rv_md']",3,123,0.5528455284552846,5.405370710952139,60,0.5166666666666667,-6.754733911155116,12,0.75,25.265106664972233,50.0,2,1,0.0,2122.2689598576676,G_vol_regime,g_hawkes_imb_loose_with+g_ribbon_slope_with+g_rv_md
600,BOTH,"['g_mp_skew_with', 'g_queue_top_high', 'g_rv_md']",3,203,0.625615763546798,1.1987961377428191,91,0.5934065934065934,0.1187626329230964,14,0.7857142857142857,24.751281435449293,25.0,1,1,0.0,2425.6255806740305,A_3gate_new,g_mp_skew_with+g_queue_top_high+g_rv_md
600,BOTH,"['g_mp_skew_strong_with', 'g_queue_top_high', 'g_rv_md']",3,203,0.625615763546798,1.1987961377428191,91,0.5934065934065934,0.1187626329230964,14,0.7857142857142857,24.751281435449293,25.0,1,1,0.0,2425.6255806740305,A_3gate_new,g_mp_skew_strong_with+g_queue_top_high+g_rv_md
600,DOWN,"['g_imb5_with', 'g_regime_ranging', 'g_rv_md']",3,126,0.5555555555555556,3.666830446342453,56,0.4642857142857143,-5.087127023289251,13,0.7692307692307693,23.57721466568696,50.0,2,1,0.0,2145.5265345775133,A_3gate_new,g_imb5_with+g_regime_ranging+g_rv_md
600,DOWN,"['g_f7_rsi_with', 'g_rf_strong', 'g_rv_md']",3,52,0.5961538461538461,8.208490087540598,29,0.4482758620689655,-8.255514517282121,13,0.7692307692307693,23.15991761314058,56.36869807606979,1,1,0.0,2107.552502795793,G_vol_regime,g_f7_rsi_with+g_rf_strong+g_rv_md
600,DOWN,"['g_f7_rsi_with', 'g_rf_with', 'g_rv_md']",3,51,0.6078431372549019,7.8815519668485425,31,0.45161290322580644,-6.026664044713156,13,0.7692307692307693,23.15991761314058,56.36869807606979,1,1,0.0,2107.552502795793,G_vol_regime,g_f7_rsi_with+g_rf_with+g_rv_md
600,DOWN,"['g_rf_with', 'g_ribbon_slope_with', 'g_rv_md']",3,121,0.5537190082644629,2.7632363543364185,51,0.43137254901960786,-10.192172287892436,13,0.7692307692307693,23.111238455003722,56.36869807606979,1,1,0.0,2103.1226994053386,A_3gate_new,g_rf_with+g_ribbon_slope_with+g_rv_md
600,BOTH,"['g_queue_top_high', 'g_rv_md', 'g_sms_rsi_mid']",3,177,0.6214689265536724,2.7523813225644096,88,0.6022727272727273,0.7595030233668002,14,0.7142857142857143,22.86633985507844,50.0,2,1,0.0,2240.901305797687,A_3gate_new,g_queue_top_high+g_rv_md+g_sms_rsi_mid
