market,rank,sleeve_id,gates,anchor,dir,n_tr,n_v,n_lb,n_full,WR_tr,WR_v,WR_lb,WR_full,WL_lb,dpt_tr,dpt_v,dpt_lb,dpt_full,DD_lb,LS_lb,Sharpe,bs_p,sum_28d
BTC 5m,1,off_L_late|r2|g_imb5_strong_with+g_hurst_trending,g_imb5_strong_with+g_hurst_trending,offset_L_late,BOTH,334,93,161,161,89.8%,84.9%,70.8%,70.8%,114/47,$+3.55,$+2.25,$+29.85,$+29.85,$181,4,13.9,0.0000,69089
BTC 5m,2,prewindow|g_f7_rsi_strong_with+g_imb5_strong_with+g_hurst_trending,g_f7_rsi_strong_with+g_imb5_strong_with+g_hurst_trending,ws_s,BOTH,499,117,193,193,79.2%,72.6%,66.3%,66.3%,128/65,$+4.14,$+1.67,$+21.34,$+21.34,$391,11,15.7,0.0000,59176
BTC 5m,3,off_L_late|r3|g_imb5_strong_with+g_ribbon_agrees+g_hurst_trending,g_imb5_strong_with+g_ribbon_agrees+g_hurst_trending,offset_L_late,BOTH,249,67,77,77,90.4%,82.1%,75.3%,75.3%,58/19,$+4.65,$+2.13,$+31.74,$+31.74,$75,2,13.6,0.0000,35393
BTC 5m,4,prewindow|g_pw_mp_no_extreme+g_trend_slope_strong_with+g_imb5_strong_with,g_pw_mp_no_extreme+g_trend_slope_strong_with+g_imb5_strong_with,ws_s,BOTH,354,76,144,144,86.7%,65.8%,82.6%,82.6%,119/25,$+7.74,$-0.85,$+22.16,$+22.16,$179,5,21.0,0.0000,45842
BTC 5m,5,off_early304560|g_trend_slope_strong_with,g_trend_slope_strong_with,offset_early304560,BOTH,613,225,764,764,86.0%,64.4%,83.1%,83.1%,635/129,$+6.28,$-2.53,$+8.33,$+8.33,$275,11,57.3,0.0000,37984
ETH 5m,1,v6_c1_off60_hurst_mpskew_bb_band,g_bb_pos_with&g_mp_skew_with&g_hurst_trending&g_entry_vwap_in_band,offset_60s,BOTH,40,40,82,82,65.0%,67.5%,81.7%,81.7%,67/15,NA,NA,$+14.12,$+14.12,$50,2,118.1,0.0000,1598
ETH 5m,2,v6_c2_off60_hurst_mpskew_bb_band_narrow,g_bb_pos_with&g_sms_no_liquidity_above&g_hurst_trending&g_entry_vwap_in_band_narrow,offset_60s,BOTH,22,23,48,48,77.3%,65.2%,75.0%,75.0%,36/12,NA,NA,$+15.62,$+15.62,$50,2,72.7,0.0000,1382
ETH 5m,3,v6_c3_off60_cloud_ribbon_mpskew_hurst,g_tr_above_cloud&g_ribbon_agrees&g_mp_skew_with&g_hurst_trending,offset_60s,BOTH,187,129,165,165,78.6%,83.7%,83.6%,83.6%,138/27,NA,NA,$+8.44,$+8.44,$93,2,118.7,0.0000,2213
ETH 5m,4,v6_c4_off60_ema200_cci_mpskew_hurst,g_tr_above_ema200&g_cci_with&g_mp_skew_with&g_hurst_trending,offset_60s,BOTH,186,125,154,154,79.0%,83.2%,83.8%,83.8%,129/25,NA,NA,$+7.79,$+7.79,$79,2,118.7,0.0000,1926
ETH 5m,5,v6_c5_off120_v5winner_verify,g_tr_above_ema200&g_mp_skew_with&g_sms_liq_reclaim_with&g_tr_in_active_session,offset_120s,BOTH,67,28,25,25,89.5%,82.1%,88.0%,88.0%,22/3,NA,NA,$+6.49,$+6.49,$25,1,44.2,0.0000,431
