market,rank,sleeve_id,gates,anchor,dir,stability,n_tr,n_v,n_lb,n_full,wr_tr,wr_v,wr_lb,wr_full,dpt_tr,dpt_v,dpt_lb,dpt_full,dd_lb,ls_lb,sharpe,bs_p,proj_32d,proj_full,proj_honest
BTC 5m,1,L_g_1h_rf_with+g_imb5_strong_with+g_rf_with,g_1h_rf_with+g_imb5_strong_with+g_rf_with,nan,BOTH,OK,786,363,360,1509,0.767175572519084,0.71900826446281,0.6888888888888889,0.7369118621603711,3.461642032607192,6.78840545598218,5.111243510332489,4.655460226554327,228.0949974000365,6,13.767407667368994,0.0,9207.65841823725,7025.08948187048,7025.08948187048
BTC 5m,2,L_g_1h_rf_with+g_imb5_strong_with+g_ribbon_agrees,g_1h_rf_with+g_imb5_strong_with+g_ribbon_agrees,nan,BOTH,OK,781,374,354,1509,0.8079385403329066,0.7807486631016043,0.7542372881355932,0.7886017229953611,3.604755006071416,3.790805729424076,6.187800509176818,4.256829942210056,300.3816663249514,6,14.89465319853022,0.0,10961.240145304404,6423.556382794975,6423.556382794975
BTC 5m,3,Q_g_parent_15m_slope_with+g_trend_slope_strong_with+g_vol_high,g_parent_15m_slope_with+g_trend_slope_strong_with+g_vol_high,nan,BOTH,⚠VAL_NEG,1010,439,323,1772,0.7336633663366336,0.7585421412300684,0.8173374613003096,0.755079006772009,2.435209561502469,-1.7685666051626447,8.950849706917133,2.581425153942058,342.1325779022436,11,18.87306725197978,0.0,14467.280904841318,4574.285372785327,4574.285372785327
BTC 5m,4,Q_g_parent_15m_slope_with+g_trend_slope_strong_with+g_imb5_strong_with,g_parent_15m_slope_with+g_trend_slope_strong_with+g_imb5_strong_with,nan,BOTH,OK,348,121,188,657,0.6954022988505747,0.7520661157024794,0.7553191489361702,0.7229832572298326,2.232443657838021,2.569947370625764,15.880091532281265,6.199864890170817,304.37007628708454,9,17.44559729186977,0.0,14939.325070847744,4073.311232842226,4073.311232842226
BTC 5m,5,J_g_2asset_btc_eth_with+g_trend_slope_strong_with+g_queue_top_high,g_2asset_btc_eth_with+g_trend_slope_strong_with+g_queue_top_high,nan,BOTH,⚠VAL_NEG,810,475,388,1673,0.8654320987654321,0.848421052631579,0.8221649484536082,0.8505678421996413,1.308037218309505,-0.5686737964030747,7.1678404038163634,2.134197352193657,316.26148359651944,8,13.5194397700852,0.0,13916.82542055927,3570.512170219988,3570.512170219988
ETH 5m,1,?,g_tr_above_ema50&g_hurst_trending&g_grandparent_trend_with,60,BOTH,OK,125,84,258,467,0.792,0.8452,0.8256,0.8201,2.915,3.17,6.328,4.846,-75.0,3,24.099,0.0,6665.35,2239.92,2239.92
ETH 5m,2,?,g_hurst_trend_with&g_trend_slope_with&g_cci_with&g_tod_europe_us_window,120,BOTH,OK,163,98,261,522,0.8896,0.8469,0.8199,0.8467,2.308,3.174,4.223,3.428,-92.97,3,30.06,0.0,4499.96,1771.17,1771.17
ETH 5m,3,?,g_tr_above_ema50&g_trend_slope_with&g_q_prev15m_agrees,60,BOTH,OK,156,90,293,539,0.7692,0.8,0.7679,0.7737,2.314,2.185,4.165,3.299,-112.04,3,23.145,0.0,4982.17,1759.68,1759.68
ETH 5m,4,?,g_tr_above_ema50&g_parent15m_ranging&g_trend_slope_with&g_sol_trend_slope_with,90,BOTH,OK,181,123,275,579,0.8177,0.8049,0.8,0.8066,2.577,0.966,4.172,2.992,-101.85,3,26.139,0.0,4683.83,1714.63,1714.63
ETH 5m,5,?,g_tr_above_ema50&g_hurst_trend_with&g_grandparent_trend_with&g_q_prev15m_agrees,60,BOTH,OK,92,61,181,334,0.7609,0.8361,0.8011,0.7964,2.319,3.478,5.154,4.067,-90.47,3,19.12,0.0,3808.27,1344.3,1344.3
SOL 5m,1,?,nan,nan,BOTH,OK,331,229,89,649,0.7190332326283988,0.7860262008733624,0.7865168539325843,0.7519260400616333,3.794200571239607,9.21457444416985,6.516735557918239,6.080134670955205,116.11408310176064,3,2.142733349570651,0.0045,3157.07598593721,3905.351567616808,3157.07598593721
SOL 5m,2,?,nan,nan,BOTH,⚠VAL_NEG,1054,257,290,1601,0.7125237191650854,0.6614785992217899,0.7862068965517242,0.7176764522173642,1.562865249119773,-0.1995689210768852,4.589859697488579,1.828251138118157,377.8817976462046,8,4.728584429361434,0.0,7245.39952313222,2896.8727925961616,2896.8727925961616
SOL 5m,3,?,nan,nan,BOTH,OK,344,227,114,685,0.7325581395348837,0.7533039647577092,0.7631578947368421,0.7445255474452555,2.448563286650352,4.4966399212876365,4.232190649800845,3.424106228930381,134.07881213344064,3,1.789600562095433,0.03,2626.243585827416,2321.346877704648,2321.346877704648
SOL 5m,4,?,nan,nan,BOTH,⚠VAL_NEG,222,56,50,328,0.8468468468468469,0.7857142857142857,0.94,0.850609756097561,1.1219380710176283,-2.0237985976801807,5.308207764131837,1.223011946653705,50.0,2,3.342539520004108,0.001,1444.7172131378816,397.01487934208734,397.01487934208734
SOL 5m,5,?,nan,nan,BOTH,⚠VAL_NEG,1072,233,250,1555,0.8097014925373134,0.7725321888412017,0.872,0.8141479099678457,1.0693622559323643,-1.8326857062245236,4.572644488459137,1.197750283552389,244.170263143792,6,4.056543075157276,0.0,6222.60704137814,1843.31227956293,1843.31227956293
BTC 15m,1,?,g_btc_sol_confluence_5m_with+g_liq_shock_against,nan,BOTH,OK,36,13,8,57,0.5555555555555556,0.6153846153846154,0.875,0.6140350877192983,78.12332583468076,527.5474607120348,495.36585329686494,239.18392185403292,-5963.493232844099,3,2.550935176274846,0.0654,19832.09195930356,13645.495425455803,13645.495425455803
BTC 15m,2,?,g_xa_unanimity_5m_with+g_liq_shock_against,nan,BOTH,OK,31,11,6,48,0.6129032258064516,0.6363636363636364,0.8333333333333334,0.6458333333333334,149.0886528187559,540.3008055771735,455.6279206590007,277.0588463059239,-4694.549952499498,3,2.784303294283845,0.1362,13680.880648509905,13310.541648783628,13310.541648783628
BTC 15m,3,?,g_btc_eth_confluence_5m_with+g_di_agrees+g_liq_shock_against,nan,BOTH,OK,19,11,6,36,0.5789473684210527,0.8181818181818182,0.8333333333333334,0.6944444444444444,4.971152587158107,718.0556243195019,840.46586186236,362.1071927179079,-1807.585989387176,2,3.804898812357529,0.0743,25236.190812572004,13047.344276115911,13047.344276115911
BTC 15m,4,?,g_btc_eth_divergence+g_stoch_with+g_vol_contracting,nan,BOTH,OK,75,17,21,113,0.84,0.7058823529411765,1.0,0.8495575221238938,12.830944635312594,36.98226082491951,155.15324505661437,42.91360555629184,-1799.297741747402,2,1.7345078358199224,0.0002,16305.44411484842,4853.509883744556,4853.509883744556
BTC 15m,5,?,g_grandparent_1h_slope_strong_with+g_stoch_with+g_vol_high,nan,BOTH,OK,25,5,7,37,0.88,0.6,1.0,0.8648648648648649,40.02477122358433,131.47236654395002,450.27434085364064,129.9973378185093,-1250.0,2,3.500466454834662,0.0638,15773.487041709912,4814.139297962627,4814.139297962627
ETH 15m,1,V8_BASELINE_V7_TOP,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with,nan,BOTH,OK,33,19,12,64,0.7878787878787878,0.7894736842105263,1.0,0.828125,8.98480699640766,8.803513335681624,12.12633156917802,9.52002129827406,75.0,3,12.101797663949991,0.0,1584.1839561974164,947.577586595446,947.577586595446
ETH 15m,2,V8_PJ_SOL15M_ALONE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_sol_15m_trend_with,nan,BOTH,OK,35,17,9,61,0.7428571428571429,0.7647058823529411,1.0,0.7868852459016393,6.611027504825243,7.598971906984534,10.977876993590582,7.530645541474358,60.96563374821619,2,9.699218518470284,0.0,1075.6123878320052,750.150194322885,750.150194322885
ETH 15m,3,V8_PJ_V7TOP_AND_2A_BTC_SOL,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with&g_2a_btc_sol_trend_with,nan,BOTH,OK,27,16,8,51,0.7777777777777778,0.75,1.0,0.803921568627451,8.40909105172567,6.967877911338283,12.188927366811182,8.549861253186178,60.96563374821619,2,11.89492828875226,0.0,1061.5743141334751,712.0580947491043,712.0580947491043
ETH 15m,4,V8_PJ_BTC_AND_SOL_TREND_SEP,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with&g_pw_sol_15m_trend_with,nan,BOTH,OK,27,16,8,51,0.7777777777777778,0.75,1.0,0.803921568627451,8.40909105172567,6.967877911338283,12.188927366811182,8.549861253186178,60.96563374821619,2,11.89492828875226,0.0,1061.5743141334751,712.0580947491043,712.0580947491043
ETH 15m,5,V8_PJ_BTC_SOL_TREND,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_2a_btc_sol_trend_with,nan,BOTH,OK,27,16,8,51,0.7777777777777778,0.75,1.0,0.803921568627451,8.40909105172567,6.967877911338283,12.188927366811182,8.549861253186178,60.96563374821619,2,11.89492828875226,0.0,1061.5743141334751,712.0580947491043,712.0580947491043
