market,rank,sleeve_id,gates,anchor,dir,n_tr,n_v,n_lb,n_full,WR_tr,WR_v,WR_lb,WR_full,WL_lb,dpt_tr,dpt_v,dpt_lb,dpt_full,DD_lb,LS_lb,Sharpe,bs_p,sum_28d,_dpt_lb,_n_lb,proj_full_33d,proj_annual
BTC 5m,1,off_L_late|r2|g_imb5_strong_with+g_hurst_trending,g_imb5_strong_with+g_hurst_trending,offset_L_late,BOTH,334,93,161,161,89.8%,84.9%,70.8%,70.8%,114/47,$+3.55,$+2.25,$+29.85,$+29.85,$181,4,13.9,0.0,69089,29.85,161.0,39239.76525,438834.17812500003
BTC 5m,2,prewindow|g_f7_rsi_strong_with+g_imb5_strong_with+g_hurst_trending,g_f7_rsi_strong_with+g_imb5_strong_with+g_hurst_trending,ws_s,BOTH,499,117,193,193,79.2%,72.6%,66.3%,66.3%,128/65,$+4.14,$+1.67,$+21.34,$+21.34,$391,11,15.7,0.0,59176,21.34,193.0,33628.5323,376081.48875
BTC 5m,3,off_L_late|r3|g_imb5_strong_with+g_ribbon_agrees+g_hurst_trending,g_imb5_strong_with+g_ribbon_agrees+g_hurst_trending,offset_L_late,BOTH,249,67,77,77,90.4%,82.1%,75.3%,75.3%,58/19,$+4.65,$+2.13,$+31.74,$+31.74,$75,2,13.6,0.0,35393,31.74,77.0,19955.0967,223165.92375
BTC 5m,4,prewindow|g_pw_mp_no_extreme+g_trend_slope_strong_with+g_imb5_strong_with,g_pw_mp_no_extreme+g_trend_slope_strong_with+g_imb5_strong_with,ws_s,BOTH,354,76,144,144,86.7%,65.8%,82.6%,82.6%,119/25,$+7.74,$-0.85,$+22.16,$+22.16,$179,5,21.0,0.0,45842,22.16,144.0,26054.841599999996,291381.84
BTC 5m,5,off_early304560|g_trend_slope_strong_with,g_trend_slope_strong_with,offset_early304560,BOTH,613,225,764,764,86.0%,64.4%,83.1%,83.1%,635/129,$+6.28,$-2.53,$+8.33,$+8.33,$275,11,57.3,0.0,37984,8.33,764.0,51963.03979999999,581123.7075
ETH 5m,1,v6_c1_off60_hurst_mpskew_bb_band,g_bb_pos_with&g_mp_skew_with&g_hurst_trending&g_entry_vwap_in_band,offset_60s,BOTH,40,40,82,82,65.0%,67.5%,81.7%,81.7%,67/15,,,$+14.12,$+14.12,$50,2,118.1,0.0,1598,14.12,82.0,9453.763599999998,105725.265
ETH 5m,2,v6_c2_off60_hurst_mpskew_bb_band_narrow,g_bb_pos_with&g_sms_no_liquidity_above&g_hurst_trending&g_entry_vwap_in_band_narrow,offset_60s,BOTH,22,23,48,48,77.3%,65.2%,75.0%,75.0%,36/12,,,$+15.62,$+15.62,$50,2,72.7,0.0,1382,15.62,48.0,6121.790399999999,68462.46
ETH 5m,3,v6_c3_off60_cloud_ribbon_mpskew_hurst,g_tr_above_cloud&g_ribbon_agrees&g_mp_skew_with&g_hurst_trending,offset_60s,BOTH,187,129,165,165,78.6%,83.7%,83.6%,83.6%,138/27,,,$+8.44,$+8.44,$93,2,118.7,0.0,2213,8.44,165.0,11370.578999999998,127161.78749999999
ETH 5m,4,v6_c4_off60_ema200_cci_mpskew_hurst,g_tr_above_ema200&g_cci_with&g_mp_skew_with&g_hurst_trending,offset_60s,BOTH,186,125,154,154,79.0%,83.2%,83.8%,83.8%,129/25,,,$+7.79,$+7.79,$79,2,118.7,0.0,1926,7.79,154.0,9795.223899999999,109543.95375
ETH 5m,5,v6_c5_off120_v5winner_verify,g_tr_above_ema200&g_mp_skew_with&g_sms_liq_reclaim_with&g_tr_in_active_session,offset_120s,BOTH,67,28,25,25,89.5%,82.1%,88.0%,88.0%,22/3,,,$+6.49,$+6.49,$25,1,44.2,0.0,431,6.49,25.0,1324.7712499999998,14815.453125
SOL 5m,1,SOL5_V6_S1,g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_tr_partial_stack_with|g_vwap_in_45_85,"{30: 8, 60: 21, 90: 24, 120: 18, 150: 5, 180: 5, 210: 4, 240: 2}",BOTH,61,38,87,87,80.3%,78.9%,83.9%,83.9%,73/14,$+3.10,$+2.78,$+4.62,$+4.62,$92,3,28.6,0.001,402,4.62,87.0,3281.8400999999994,36702.14625
SOL 5m,2,SOL5_V6_S2,g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,"{30: 11, 60: 15, 90: 16, 120: 11, 150: 5, 180: 3, 210: 4, 240: 2}",BOTH,23,12,67,67,78.3%,66.7%,82.1%,82.1%,55/12,$+3.80,$-2.58,$+5.11,$+5.11,$76,3,15.7,0.005,342,5.11,67.0,2795.4510499999997,31262.660625
SOL 5m,3,SOL5_V6_S3,g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,"{30: 7, 60: 9, 90: 16, 120: 11, 150: 4, 180: 2, 210: 4, 240: 2}",BOTH,20,9,55,55,80.0%,66.7%,83.6%,83.6%,46/9,$+4.93,$-2.46,$+5.62,$+5.62,$51,2,24.6,0.006,309,5.62,55.0,2523.8015,28224.693750000002
SOL 5m,4,SOL5_V6_S4,g_f7_rsi_with|g_mp_no_extreme_150|g_tr_above_ema200|g_vwap_in_55_80,"{30: 9, 60: 23, 90: 27, 120: 19, 150: 6, 180: 3, 210: 6, 240: 2}",BOTH,64,32,95,95,76.6%,78.1%,82.1%,82.1%,78/17,$+2.87,$+2.65,$+4.23,$+4.23,$96,3,13.2,0.001,402,4.23,95.0,3281.10525,36693.928125
SOL 5m,5,SOL5_V6_S5,g_f7_rsi_with|g_mfi_with|g_tr_above_ema200|g_vwap_in_55_80,"{30: 7, 60: 20, 90: 22, 120: 14, 150: 7, 180: 2, 210: 4, 240: 2}",BOTH,41,27,78,78,75.6%,77.8%,83.3%,83.3%,65/13,$+2.03,$+2.40,$+4.66,$+4.66,$64,2,14.9,0.004,363,4.66,78.0,2967.8142,33190.2675
BTC 15m,1,btc15m_v6_off840_BOTH_01,g_tr_above_ema800+g_ribbon_slope_with+g_hawkes_imb_loose_with,offset_840s,BOTH,74,22,21,21,63.5%,59.1%,66.7%,66.7%,14/7,,,$+16.28,$+16.28,$94,3,15.6,0.041,2392,16.28,21.0,2791.4501999999998,31217.9175
BTC 15m,2,btc15m_v6_off600_DOWN_02,g_rf_in_band+g_tr_above_ema800,offset_600s,DOWN,101,30,16,16,61.4%,63.3%,93.8%,93.8%,15/1,,,$+17.25,$+17.25,$25,1,15.2,0.001,1932,17.25,16.0,2253.54,25202.25
BTC 15m,3,btc15m_v6_off600_DOWN_03,g_tr_above_ema200+g_mp_skew_strong_with+g_rf_with,offset_600s,DOWN,202,71,34,34,63.4%,62.0%,85.3%,85.3%,29/5,,,$+11.81,$+11.81,$72,2,22.9,0.001,2810,11.81,34.0,3278.5741,36665.621250000004
BTC 15m,4,btc15m_v6_off840_BOTH_04,g_mp_skew_strong_with+g_ribbon_slope_with+g_hawkes_imbalance_with,offset_840s,BOTH,37,18,21,21,64.9%,66.7%,71.4%,71.4%,15/6,,,$+12.78,$+12.78,$71,2,16.4,0.002,1878,12.78,21.0,2191.3226999999997,24506.44875
BTC 15m,5,btc15m_v6_off600_BOTH_05,g_vwap_premium+g_tr_above_ema50+g_mp_skew_with,offset_600s,BOTH,195,74,44,44,69.2%,68.9%,81.8%,81.8%,36/8,,,$+6.77,$+6.77,$50,2,37.0,0.001,2086,6.77,44.0,2432.1901999999995,27200.1675
ETH 15m,1,V6_S1_VWAP_3070,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_entry_vwap_in_30_70,offset_early (60s),BOTH,51,13,26,26,70.6%,69.2%,84.6%,84.6%,22/4,,,$+10.72,$+10.72,$100,4,10.4,0.0,279,10.72,26.0,2275.7488,25450.620000000003
ETH 15m,2,V6_S1_PW_TREND_SLOPE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with,offset_early (60s) + ws_s gates,BOTH,38,7,18,18,79.0%,57.1%,94.4%,94.4%,17/1,,,$+11.27,$+11.27,$61,2,10.8,0.0,203,11.27,18.0,1656.3518999999997,18523.653749999998
ETH 15m,3,V6_S1_DOWN_ONLY,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_dir_down,offset_early (60s),BOTH,20,6,17,17,80.0%,66.7%,88.2%,88.2%,15/2,,,$+10.37,$+10.37,$50,2,11.8,0.0,176,10.37,17.0,1439.4078499999998,16097.480625
ETH 15m,4,V6_S5_PW_TREND_SLOPE,g_tr_stack_full_with&g_offset_early&g_above_1h_dailyvwap_with&g_pw_trend_slope_with,offset_early (60s) + ws_s gates,BOTH,125,40,41,41,67.2%,60.0%,78.0%,78.0%,32/9,,,$+6.11,$+6.11,$173,4,8.4,0.034,251,6.11,41.0,2045.4141499999998,22874.694375000003
ETH 15m,5,V5_S3_REPL,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with,offset_early (60s),BOTH,95,24,22,22,64.2%,50.0%,72.7%,72.7%,16/6,,,$+4.97,$+4.97,$190,3,5.5,0.061,109,4.97,22.0,892.7610999999998,9984.10875
SOL 15m,1,C1a_HOD_EU_OFF60-240_VWAP_lt80,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,offset_60_240s (early to mid 15m window),BOTH,183,53,49,285,68.9%,71.7%,71.4%,69.8%,35/14,$+2.89,$+2.57,$+4.12,$+3.04,$100,4,0.7,,202,4.12,49.0,1648.3501999999999,18434.1675
SOL 15m,2,C1b_HOD_EU_OFF60-240_VWAP_30_70,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,offset_60_240s (early to mid 15m window),BOTH,149,39,38,226,69.1%,66.7%,65.8%,68.1%,25/13,$+4.16,$+2.30,$+3.82,$+3.78,$100,4,0.6,,145,3.82,38.0,1185.2314,13254.9225
SOL 15m,3,C2_HOD_EU_OFF60_TR_ADR_VWAP_30_70,g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,offset_60 EARLY FIRE (matches production),BOTH,43,17,13,73,72.1%,76.5%,61.5%,71.2%,8/5,$+5.51,$+5.48,$+2.93,$+5.04,$50,2,0.2,,38,2.93,13.0,311.00485,3478.0931250000003
SOL 15m,4,C3_HOD_EU_TIGHTRIB_VWAP_lt80,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,all offsets (g_off filter not applied; primarily 60-840s window),BOTH,276,75,72,423,69.2%,65.3%,68.1%,68.3%,49/23,$+4.42,$+0.87,$+2.11,$+3.40,$125,5,0.5,,152,2.11,72.0,1240.4267999999997,13872.195
SOL 15m,5,C6_TR_RF_RIBSLP_VWAP_lt55,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,"all offsets (broad-window, ribbon-aligned underdog fires)",BOTH,288,86,93,467,49.3%,53.5%,57.0%,51.6%,53/40,$+3.11,$+1.36,$+5.51,$+3.26,$176,7,1.0,,512,5.51,93.0,4183.990949999999,46791.264375
