rule,asset,tf,fire_offset_s,n,wr,dpt,sum_pnl
MP-A,ALL,5m,45,5448,0.5152349486049926,-0.9095351383212459,-4955.147433574148
MP-A,ALL,ALL,45,5448,0.5152349486049926,-0.9095351383212459,-4955.147433574148
MP-A,ALL,ALL,60,24709,0.519001173661419,-0.9106234522077501,-22500.594880601297
MP-B,BTC,15m,180,651,0.5084485407066052,-0.9117926119137275,-593.5769903558366
MP-A,BTC,15m,180,651,0.5084485407066052,-0.9117926119137275,-593.5769903558366
MP-B,ALL,ALL,60,24697,0.5190104061222011,-0.9134090736665385,-22558.4638923425
MP-C,BTC,ALL,15,1771,0.5070581592320723,-0.9145489051681903,-1619.666111052865
MP-C,BTC,5m,15,1771,0.5070581592320723,-0.9145489051681903,-1619.666111052865
MP-E,ETH,15m,240,1926,0.5181723779854621,-0.9148637112817616,-1762.0275079286728
MP-C,ETH,5m,135,1595,0.5523510971786834,-0.9149297888514623,-1459.3130132180822
MP-C,ETH,ALL,135,1595,0.5523510971786834,-0.9149297888514623,-1459.3130132180822
MP-B,ALL,ALL,45,5446,0.5150569225119354,-0.9196302443603578,-5008.306310786508
MP-B,ALL,5m,45,5446,0.5150569225119354,-0.9196302443603578,-5008.306310786508
MP-C,BTC,5m,150,6440,0.5281055900621118,-0.9245384807991534,-5954.027816346547
MP-C,BTC,ALL,150,6440,0.5281055900621118,-0.9245384807991534,-5954.027816346547
MP-A,ALL,15m,180,1257,0.49403341288782815,-0.9352060333748726,-1175.5539839522148
MP-B,ALL,15m,180,1257,0.49403341288782815,-0.9352060333748726,-1175.5539839522148
MP-C,BTC,5m,60,6407,0.5208365849851725,-0.9406137380864267,-6026.512219919736
MP-B,BTC,5m,60,7122,0.5190957596180849,-0.9428870816249343,-6715.241795332782
MP-C,BTC,ALL,75,1803,0.5174708818635607,-0.9435405412309944,-1701.203595839483
MP-C,BTC,5m,75,1803,0.5174708818635607,-0.9435405412309944,-1701.203595839483
MP-A,ALL,15m,120,6071,0.5089771042661835,-0.944845443751947,-5736.15668901807
MP-A,BTC,5m,60,7125,0.5190175438596492,-0.946805866037761,-6745.991795519047
MP-B,ALL,15m,120,6068,0.5087343441001978,-0.9569866324007393,-5806.9948854076865
MP-B,ETH,15m,180,606,0.47854785478547857,-0.9603580752415481,-581.9769935963782
MP-A,ETH,15m,180,606,0.47854785478547857,-0.9603580752415481,-581.9769935963782
MP-C,ALL,5m,60,16593,0.5224492255770505,-0.967510826409065,-16053.907142605616
MP-D,ALL,15m,840,566,0.558303886925795,-0.9757672805574564,-552.2842807955203
MP-D,ALL,ALL,840,566,0.558303886925795,-0.9757672805574564,-552.2842807955203
MP-A,ALL,5m,60,18570,0.5211631663974152,-0.9796419692401659,-18191.95136878988
MP-B,ALL,5m,60,18561,0.5212003663595711,-0.9836055356999944,-18256.702348127597
MP-D,BTC,15m,120,446,0.5134529147982063,-0.9851928100193592,-439.3959932686342
MP-C,ETH,ALL,150,5734,0.5610394140216254,-0.9873584158650723,-5661.513156570325
MP-C,ETH,5m,150,5734,0.5610394140216254,-0.9873584158650723,-5661.513156570325
MP-C,ALL,15m,300,1091,0.5160403299725023,-0.9920059494934809,-1082.2784908973877
MP-E,ALL,15m,660,1036,0.4864864864864865,-0.9934887395146,-1029.2543341371256
MP-E,ALL,ALL,660,1036,0.4864864864864865,-0.9934887395146,-1029.2543341371256
MP-C,ALL,15m,120,5512,0.5094339622641509,-0.9960838352699604,-5490.414100008022
MP-D,ETH,5m,195,294,0.5748299319727891,-0.9963959043829883,-292.9403958885986
MP-D,ETH,ALL,195,294,0.5748299319727891,-0.9963959043829883,-292.9403958885986
MP-C,BTC,ALL,180,6818,0.523027280727486,-0.9986170601197302,-6808.57111589632
MP-C,ETH,15m,180,552,0.48731884057971014,-1.0020893538417706,-553.1533233206574
MP-D,ALL,5m,180,2418,0.5368072787427626,-1.0089234599092884,-2439.5769260606594
MP-C,ALL,ALL,45,4938,0.5139732685297691,-1.0114821190441396,-4994.698703839961
MP-C,ALL,5m,45,4938,0.5139732685297691,-1.0114821190441396,-4994.698703839961
MP-D,BTC,ALL,60,1123,0.4959928762243989,-1.0185924671215723,-1143.8793405775257
MP-D,ETH,15m,ALL,1959,0.5313935681470138,-1.023743970217718,-2005.5144376565095
MP-E,ALL,ALL,45,4480,0.48839285714285713,-1.026622603485906,-4599.2692636168595
MP-E,ALL,5m,45,4480,0.48839285714285713,-1.026622603485906,-4599.2692636168595
MP-A,ETH,15m,120,2172,0.5032228360957642,-1.0286443112338177,-2234.215443999852
MP-B,ETH,15m,120,2171,0.5029940119760479,-1.0340049675231158,-2244.8247844926846
MP-B,ETH,15m,60,2212,0.5049728752260397,-1.039528924355825,-2299.437980675085
MP-A,ETH,15m,60,2214,0.5049683830171635,-1.0436570595390393,-2310.656729819433
MP-B,ETH,ALL,90,6566,0.5402071276271703,-1.0438126830528065,-6853.674076924728
MP-B,ETH,5m,90,6566,0.5402071276271703,-1.0438126830528065,-6853.674076924728
MP-C,ALL,5m,90,16353,0.5303614015776922,-1.044669215335516,-17083.475678381692
MP-C,ALL,ALL,90,16353,0.5303614015776922,-1.044669215335516,-17083.475678381692
MP-A,ETH,5m,90,6568,0.5400426309378806,-1.0511075025768466,-6903.674076924728
MP-A,ETH,ALL,90,6568,0.5400426309378806,-1.0511075025768466,-6903.674076924728
MP-D,ETH,ALL,60,1306,0.5022970903522205,-1.0515578657665974,-1373.3345726911762
MP-E,BTC,5m,60,5894,0.4799796403121819,-1.0597225440865656,-6246.004674846218
MP-C,ETH,5m,120,5828,0.5545641729581332,-1.066101368287548,-6213.23877437983
MP-C,BTC,5m,180,6246,0.5232148575088056,-1.070088063728667,-6683.770046049254
MP-D,ALL,15m,120,753,0.5126162018592297,-1.0782046097222047,-811.8880711208201
MP-D,ALL,ALL,180,2531,0.5318056104306598,-1.0846855996795242,-2745.339252788876
MP-E,ETH,15m,60,1816,0.4955947136563877,-1.0942633796754095,-1987.1822974905438
MP-B,ALL,5m,90,18474,0.528039406733788,-1.0958134591748996,-20244.057844797095
MP-B,ALL,ALL,90,18474,0.528039406733788,-1.0958134591748996,-20244.057844797095
MP-A,ALL,ALL,90,18476,0.5279822472396623,-1.0984010524354346,-20294.05784479709
MP-A,ALL,5m,90,18476,0.5279822472396623,-1.0984010524354346,-20294.05784479709
MP-D,BTC,15m,ALL,3732,0.5163451232583065,-1.1035664975111543,-4118.510168711628
MP-A,ETH,5m,150,6599,0.5573571753295954,-1.117136416054328,-7371.983209542511
MP-A,ETH,ALL,150,6599,0.5573571753295954,-1.117136416054328,-7371.983209542511
MP-E,SOL,ALL,135,1474,0.5427408412483039,-1.119175909617194,-1649.6652907757439
MP-E,SOL,5m,135,1474,0.5427408412483039,-1.119175909617194,-1649.6652907757439
MP-B,ETH,ALL,150,6595,0.5572403335860501,-1.1254185074065792,-7422.135056346389
MP-B,ETH,5m,150,6595,0.5572403335860501,-1.1254185074065792,-7422.135056346389
MP-C,ETH,ALL,120,7808,0.5413678278688525,-1.1283498378283394,-8810.155533763675
MP-C,BTC,15m,ALL,18715,0.5286668447769169,-1.1366085209951555,-21271.628470424337
MP-D,ALL,5m,75,650,0.5092307692307693,-1.1388128004447113,-740.2283202890624
MP-D,ALL,ALL,75,650,0.5092307692307693,-1.1388128004447113,-740.2283202890624
MP-B,ETH,ALL,120,8819,0.5381562535434856,-1.1425849860383217,-10076.456991871959
MP-A,ETH,ALL,120,8821,0.538147602312663,-1.1439573349256467,-10090.847651379128
MP-E,ETH,15m,120,1816,0.5022026431718062,-1.1594034991484274,-2105.4767544535443
MP-D,ALL,15m,ALL,6470,0.5276661514683153,-1.163936265110992,-7530.667635268117
MP-D,BTC,ALL,840,251,0.5219123505976095,-1.1642075545169028,-292.2160961837426
MP-D,BTC,15m,840,251,0.5219123505976095,-1.1642075545169028,-292.2160961837426
MP-B,ETH,5m,120,6648,0.5496389891696751,-1.178043352493874,-7831.632207379274
MP-A,BTC,ALL,225,1883,0.4965480616038237,-1.1807372820286608,-2223.3283020599683
MP-B,BTC,5m,225,1883,0.4965480616038237,-1.1807372820286608,-2223.3283020599683
MP-B,BTC,ALL,225,1883,0.4965480616038237,-1.1807372820286608,-2223.3283020599683
MP-A,BTC,5m,225,1883,0.4965480616038237,-1.1807372820286608,-2223.3283020599683
MP-A,ETH,5m,120,6649,0.5495563242592871,-1.1816261403788952,-7856.632207379274
MP-D,ETH,5m,90,1146,0.5113438045375218,-1.222867671003952,-1401.406350970529
MP-D,ETH,ALL,90,1146,0.5113438045375218,-1.222867671003952,-1401.406350970529
MP-A,ETH,5m,135,1846,0.5503791982665223,-1.228759294708677,-2268.2896580322176
MP-A,ETH,ALL,135,1846,0.5503791982665223,-1.228759294708677,-2268.2896580322176
MP-B,BTC,ALL,180,7717,0.516781132564468,-1.242557481389528,-9588.816083882986
MP-A,BTC,ALL,180,7725,0.5167637540453074,-1.2429572350779239,-9601.844640976962
MP-E,BTC,5m,105,1751,0.47972587093089664,-1.257981990381915,-2202.726465158733
MP-E,BTC,ALL,105,1751,0.47972587093089664,-1.257981990381915,-2202.726465158733
MP-D,BTC,15m,360,403,0.5260545905707196,-1.2629792536606705,-508.98063922525023
MP-D,BTC,ALL,360,403,0.5260545905707196,-1.2629792536606705,-508.98063922525023
MP-B,ETH,5m,135,1844,0.5498915401301518,-1.2630716401860484,-2329.1041045030734
MP-B,ETH,ALL,135,1844,0.5498915401301518,-1.2630716401860484,-2329.1041045030734
MP-A,ALL,5m,15,5307,0.4987752025626531,-1.2632897787662813,-6704.278855912655
