rule,asset,tf,n,wr,dpt,sum_pnl
MP-D,BTC,15m,4224,0.5314867424242424,-0.7225127173424827,-3051.893718054647
MP-C,BTC,15m,21266,0.5296717765447193,-1.0957288435174928,-23301.769586243
MP-D,ETH,5m,15058,0.5264975428343738,-1.1722913162641648,-17652.362640305793
MP-D,ALL,15m,7782,0.5368799794397328,-1.2763759874602687,-9932.757934415811
MP-D,ETH,ALL,17388,0.5259949390384173,-1.2979386708033747,-22568.557607929077
MP-C,BTC,ALL,104132,0.5157108285637461,-1.3488917150297408,-140462.79206947697
MP-C,BTC,5m,82866,0.5121280139019622,-1.4138612034276299,-117161.02248323397
MP-D,BTC,ALL,12269,0.5174830874561904,-1.4725137019516723,-18066.270609245068
MP-B,BTC,5m,93149,0.5098927524718462,-1.4761130859867606,-137498.45784658077
MP-A,BTC,5m,93182,0.50984095640789,-1.4791007339402857,-137825.5645900237
MP-B,BTC,ALL,118142,0.5125357620490596,-1.5237947390264681,-180024.158058065
MP-A,BTC,ALL,118180,0.5125063462514808,-1.5253433469765878,-180265.07674569314
MP-D,SOL,15m,1228,0.5822475570032574,-1.599893525030846,-1964.6692487378787
MP-A,BTC,15m,24998,0.5224417953436274,-1.6977163035310598,-42439.512155669436
MP-B,BTC,15m,24993,0.5223862681550834,-1.7015044296996853,-42525.70021148423
MP-D,ALL,ALL,39206,0.528235474162118,-1.7733680647708085,-69526.66834740432
MP-D,BTC,5m,8045,0.510130515848353,-1.8662991785196301,-15014.376891190424
MP-D,ALL,5m,31424,0.5260947046843177,-1.8964457234275875,-59593.91041298851
MP-E,BTC,5m,81317,0.49570200573065903,-2.060409527003106,-167546.32150731157
MP-D,ETH,15m,2330,0.5227467811158798,-2.1099549217267315,-4916.194967623284
MP-E,BTC,ALL,102916,0.4928679699949473,-2.1449627392117265,-220750.98526871405
MP-C,ETH,5m,74614,0.5211488460610609,-2.1609019344422973,-161233.53693647758
MP-C,ETH,ALL,94939,0.5159628814291282,-2.240141701396194,-212676.81298885326
MP-A,ETH,5m,85504,0.5184552769461078,-2.26405483363654,-193585.74449525872
MP-B,ETH,5m,85474,0.5184149565949879,-2.266163590344117,-193698.06672107306
MP-A,ETH,ALL,108628,0.5131181647457378,-2.346666800853814,-254913.7212431481
MP-B,ETH,ALL,108594,0.5130762288892572,-2.3489572669629912,-255082.66544857906
MP-C,ALL,15m,56888,0.5023027703557869,-2.4064304684004196,-136897.01648636308
MP-C,ALL,ALL,273903,0.503678309474522,-2.440503266811305,-668461.166289417
MP-C,ALL,5m,217015,0.5040388913208764,-2.4494350611849587,-531564.1498030538
MP-E,ETH,15m,20201,0.5155190337112024,-2.4549645384844028,-49592.738641923424
MP-E,BTC,15m,21599,0.48219824991897775,-2.4632929191815585,-53204.66376140248
MP-A,ALL,5m,246015,0.5028229985976465,-2.4951861886615747,-613853.2302035773
MP-B,ALL,5m,245939,0.5028157388620755,-2.4959040789351707,-613840.1532692369
MP-C,ETH,15m,20325,0.4969249692496925,-2.5310344921218046,-51443.27605237568
MP-A,ALL,ALL,311556,0.5019643338597235,-2.539467728628592,-791186.4076606096
MP-B,ALL,ALL,311469,0.5019472242823524,-2.540691891363786,-791346.7627111871
MP-E,ALL,15m,57399,0.5117684977090193,-2.5780351903066356,-147976.64188841058
MP-A,ETH,15m,23124,0.49338349766476386,-2.6521353030569683,-61327.97674788933
MP-B,ETH,15m,23120,0.49333910034602074,-2.655043197556488,-61384.598727506
MP-A,ALL,15m,65541,0.49874124593765734,-2.7056831213596424,-177333.17745703232
MP-E,ALL,ALL,273102,0.5013072039018389,-2.7081023879855204,-739588.1783636216
MP-B,ALL,15m,65530,0.4986876239890127,-2.7087839072478292,-177506.60944195025
MP-E,ALL,5m,215703,0.49852343268290195,-2.7427135295995466,-591611.536475211
MP-E,ETH,ALL,95000,0.4836526315789474,-2.855755304361254,-271296.7539143191
MP-E,SOL,15m,15599,0.5478556317712674,-2.896290754861508,-45179.23948508466
MP-E,ETH,5m,74799,0.47504645784034544,-2.9639970490567475,-221704.01527239566
MP-D,SOL,ALL,9549,0.5461304848675254,-3.025640394829843,-28891.84013023017
MP-D,SOL,5m,8321,0.5408003845691624,-3.2360498595712412,-26927.170881492297
MP-E,SOL,ALL,75186,0.5351661213523794,-3.2923741013032806,-247540.43918058847
MP-E,SOL,5m,59587,0.5318441942034337,-3.3960628945156457,-202361.19969550378
MP-C,SOL,15m,15297,0.4713996208406877,-4.06301698684346,-62151.97084774441
MP-A,SOL,5m,67329,0.47325817998188,-4.194951968962777,-282441.9211182948
MP-B,SOL,5m,67316,0.47321587735456655,-4.198758522514455,-282643.628701583
MP-A,SOL,ALL,84748,0.47296691367347904,-4.200778893564077,-356007.6096717684
MP-B,SOL,ALL,84733,0.4729208218757745,-4.204264444839001,-356239.9392045431
MP-C,SOL,ALL,74832,0.47134915544152234,-4.213726229835989,-315321.5612310867
MP-A,SOL,15m,17419,0.47184109305930305,-4.223301484211125,-73565.68855347358
MP-B,SOL,15m,17417,0.4717804443934087,-4.22554461175633,-73596.31050296
MP-C,SOL,5m,59535,0.47133618879650624,-4.252449657904465,-253169.5903833423
