rule,asset,tf,n,wr,dpt,sum_pnl
L1_imb5_with,BTC,5m,49230,0.44391631119236236,-1.994126885254335,-98170.86656107091
L1_imb5_with,BTC,15m,14775,0.4712013536379019,-1.2724399016835595,-18800.29954737459
L1_imb5_with,ETH,5m,46119,0.4630629458574557,-2.9432451731273535,-135739.5241394604
L1_imb5_with,ETH,15m,13403,0.4309482951578005,-2.971539649549796,-39827.54592291592
L1_imb5_with,SOL,5m,32211,0.38201235602744404,-5.825666559116251,-187650.54553569356
L1_imb5_with,SOL,15m,11453,0.39098926045577576,-4.909569259588572,-56229.296730067916
MP_skew_with,BTC,5m,49242,0.5126924170423622,-1.5338380348279539,-75529.2525109981
MP_skew_with,BTC,15m,14768,0.5243093174431203,-1.4442738405395155,-21329.036077087563
MP_skew_with,ETH,5m,46013,0.5257644578706018,-2.315795159919701,-106556.68269338521
MP_skew_with,ETH,15m,13391,0.48592338137555074,-2.6458530029410334,-35430.61756238338
MP_skew_with,SOL,5m,32030,0.45198251639088355,-5.099213440115118,-163327.80648688725
MP_skew_with,SOL,15m,11392,0.4552317415730337,-4.247531596141646,-48387.87994324563
