sleeve,gate,n_train,wr_train,dpt_train,n_val,wr_val,dpt_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,n_base_lk,wr_base_lk,dpt_base_lk,sum_base_lk,dpt_lift_lockbox,boot_p_lockbox,boot_ci5,boot_ci95,deployable_strict,deployable_relaxed
btc_5m_s15_off_mid,g_mp_no_extreme,131,0.7404580152671756,3.0512814232652103,0,,,105,0.7047619047619048,15.08698312515319,1584.1332281410848,1057,0.7303689687795648,3.4656190875460213,3663.1593755361446,11.621364037607169,0.063,2.3477869808137624,15.648384763145595,False,True
btc_5m_s6_hybrid_v1,g_mp_no_extreme,352,0.6477272727272727,1.3074604428623429,7,1.0,17.796378886305828,158,0.689873417721519,2.8661410327834806,452.8502831797899,1176,0.6955782312925171,0.8643688276739359,1016.4977413445486,2.001772205109545,0.293,-0.8022613822315204,4.590488392474902,False,False
btc_5m_s6_hybrid_v1,g_mp_skew_strong_with,1279,0.6927286942924159,0.3951694261109634,17,0.7058823529411765,1.075837394587216,597,0.6867671691792295,0.93863092229105,560.3626606077569,1176,0.6955782312925171,0.8643688276739359,1016.4977413445486,0.0742620946171142,0.335,-0.8103787108115449,1.9020910600525354,False,False
btc_5m_s6_hybrid_v1,g_mp_weighted_skew_with,729,0.5816186556927297,0.39768991708355106,8,0.75,10.299000117132676,300,0.57,3.0185145734183636,905.5543720255091,1176,0.6955782312925171,0.8643688276739359,1016.4977413445486,2.1541457457444277,0.113,-1.1941938437834465,3.6126250327206564,False,False
eth_5m_s15_off_mid,g_mp_imbalance_with,1659,0.7878239903556359,1.5769296058442084,16,0.875,-0.6459666092117624,733,0.7748976807639836,0.6770442781185281,496.2734558608811,1424,0.7808988764044944,-0.1841742673314541,-262.2641566799906,0.8612185454499821,0.772,0.04543325991399104,2.5715030207249536,False,False
eth_5m_s15_off_mid,g_mp_skew_strong_with,1589,0.8005034612964128,1.9168066343011312,16,0.875,-0.6459666092117624,697,0.7790530846484935,0.5423393394603534,378.0105196038663,1424,0.7808988764044944,-0.1841742673314541,-262.2641566799906,0.7265136067918074,0.863,0.23123716158876656,2.763807586114932,False,False
btc_5m_s15_hybrid_v1,g_mp_no_extreme,371,0.6442048517520216,1.1886566459614076,9,0.7777777777777778,8.286072467126754,171,0.6432748538011696,1.0315175424817173,176.38949976437365,1259,0.6838760921366164,0.5986062340063137,753.645248613949,0.4329113084754036,0.565,-1.3613079010968774,3.9284384568611075,False,False
eth_5m_s6_hybrid_v1,g_mp_weighted_strong_with,1686,0.5130486358244365,-1.5232789779692364,25,0.76,9.272612371470487,792,0.5618686868686869,-0.18697459733787894,-148.08388109160012,2579,0.6843737882900349,-0.005663024197029746,-14.604939404139714,-0.1813115731408492,0.2,-2.5184531748257406,0.45718300573996784,False,False
eth_5m_s6_hybrid_v1,g_mp_change_with,529,0.6635160680529301,-1.093229111934837,9,0.8888888888888888,9.563381680267549,188,0.7712765957446809,3.115825187732257,585.7751352936643,2579,0.6843737882900349,-0.005663024197029746,-14.604939404139714,3.121488211929287,0.023,-2.129979306731046,2.497235783575561,True,True
univ_5m_rf_ribbon,g_mp_no_extreme,8391,0.6032654034084137,-0.4406280865047441,194,0.6494845360824743,1.6365224239244356,4490,0.6191536748329621,1.1335349229706217,5089.5718041380915,34894,0.6303375938556772,-0.791701027086769,-27625.61563916572,1.9252359500573908,0.001,-0.5050199419563821,0.7549989361045777,False,True
univ_5m_rf_ribbon,g_mp_change_with,4109,0.6838646872718422,0.030189487994115475,97,0.6185567010309279,-1.2935977387816104,2038,0.6751717369970559,-0.6592364827572187,-1343.5239518592116,34894,0.6303375938556772,-0.791701027086769,-27625.61563916572,0.13246454432955035,0.797,-0.9965834149450414,0.6752096220885062,False,False
btc_5m_v7,g_mp_skew_strong_with,10243,0.6474665625305086,0.14629149778125866,203,0.7339901477832512,1.805913644201484,5174,0.6225357557015848,0.5208757515989465,2695.011138772949,10964,0.5901130974097045,-0.7527860716488131,-8253.546489557586,1.2736618232477595,0.294,-0.3764891229191237,1.0054632085731667,False,False
