rule,asset,tf,n,wr,dpt,sum_pnl
L1_imb5_with,BTC,5m,46947,0.44252028883634736,-2.1299018515395614,-99992.50222422778
L1_imb5_with,BTC,15m,14136,0.4687323146576118,-1.553049137225967,-21953.902603826267
L1_imb5_with,BTC,ALL,61083,0.4485863497208716,-1.9964049707456093,-121946.40482805406
L1_imb5_with,ETH,5m,44148,0.46269366675727097,-2.9404676156273855,-129815.76429471781
L1_imb5_with,ETH,15m,12863,0.42781621705667416,-3.339295730050648,-42953.36097564148
L1_imb5_with,ETH,ALL,57011,0.4548245075511743,-3.0304524612857047,-172769.1252703593
L1_imb5_with,SOL,5m,30490,0.37992784519514594,-5.961827514352595,-181776.1209126106
L1_imb5_with,SOL,15m,11204,0.3917350946090682,-4.926303149309075,-55194.300484858875
L1_imb5_with,SOL,ALL,41694,0.3831006859500168,-5.683561697065992,-236970.42139746947
L1_imb5_with,ALL,5m,121585,0.4341489492947321,-3.385157605227258,-411584.3874315562
L1_imb5_with,ALL,15m,38203,0.4323744208570008,-3.1437731085078826,-120101.56406432664
L1_imb5_with,ALL,ALL,159788,0.4337246852079005,-3.3274460628825873,-531685.9514958828
MP_skew_with,BTC,5m,46992,0.511342356145727,-1.6403488345195245,-77083.2724317415
MP_skew_with,BTC,15m,14116,0.5238027769906489,-1.6412362360709132,-23167.69070837701
MP_skew_with,BTC,ALL,61108,0.5142207239641291,-1.640553825033032,-100250.96314011852
MP_skew_with,ETH,5m,44018,0.5253759825525921,-2.342091327598057,-103094.17605821128
MP_skew_with,ETH,15m,12821,0.4838936120427424,-2.9802936585580952,-38210.34499637334
MP_skew_with,ETH,ALL,56839,0.5160189306638048,-2.486048682323486,-141304.52105458462
MP_skew_with,SOL,5m,30255,0.44881837712774747,-5.251643277503726,-158888.46736087525
MP_skew_with,SOL,15m,11146,0.4560380405526646,-4.2588748929679605,-47469.41955702088
MP_skew_with,SOL,ALL,41401,0.4507620588874665,-4.984369626769792,-206357.88691789616
MP_skew_with,ALL,5m,121265,0.500837009854451,-2.79607401847877,-339065.91585082805
MP_skew_with,ALL,15m,38083,0.4905338339941706,-2.858163885769798,-108847.45526177122
MP_skew_with,ALL,ALL,159348,0.49837462660340887,-2.810913040092121,-447913.37111259927
MP_weighted_skew_with,BTC,5m,46843,0.33012403133872725,-3.1877499593258136,-149323.77134469908
MP_weighted_skew_with,BTC,15m,14081,0.342802357787089,-2.873044114001166,-40455.33416925042
MP_weighted_skew_with,BTC,ALL,60924,0.33305429715711377,-3.1150138781752594,-189779.1055139495
MP_weighted_skew_with,ETH,5m,43976,0.32783791158813896,-4.076116336248219,-179251.2920028517
MP_weighted_skew_with,ETH,15m,12761,0.337591097876342,-3.9429464490412793,-50315.939636215764
MP_weighted_skew_with,ETH,ALL,56737,0.3300315490773217,-4.0461644365945935,-229567.23163906747
MP_weighted_skew_with,SOL,5m,30504,0.27602937319695775,-7.3637176184702255,-224622.84223381575
MP_weighted_skew_with,SOL,15m,11191,0.2981860423554642,-5.910897519936116,-66148.85414560507
MP_weighted_skew_with,SOL,ALL,41695,0.28197625614582084,-6.973778543696386,-290771.6963794208
MP_weighted_skew_with,ALL,5m,121323,0.3156944684849534,-4.559711724746062,-553197.9055813665
MP_weighted_skew_with,ALL,15m,38033,0.3279257486919254,-4.125894038100367,-156920.12795107125
MP_weighted_skew_with,ALL,ALL,159356,0.3186136700218379,-4.456173809159604,-710118.0335324379
MP_change_with,BTC,5m,5022,0.5159299084030267,-1.6669544034461934,-8371.445014106783
