sleeve,gate,n_base,wr_base,dpt_base,sum_base,n_gate,wr_gate,dpt_gate,sum_gate,dpt_lift,wr_lift,gate_keep_pct
eth_15m_momo_extreme_proxy,g_mp_weighted_skew_with,118,0.6694915254237288,10.113794738632558,1193.427779158642,52,0.5576923076923077,17.9578472302655,933.8080559738061,7.844052491632942,-0.1117992177314211,0.4406779661016949
btc_15m_s7_off_late_proxy,g_mp_change_with,2170,0.5009216589861751,-2.9809213430444714,-6468.599314406503,201,0.572139303482587,4.832126828607073,971.2574925500218,7.813048171651545,0.07121764449641188,0.09262672811059908
eth_15m_momo_extreme_proxy,g_mp_weighted_strong_with,118,0.6694915254237288,10.113794738632558,1193.427779158642,51,0.5490196078431373,17.698553676279808,902.6262374902701,7.5847589376472495,-0.1204719175805915,0.4322033898305085
sol_5m_s6_proxy,g_mp_change_with,250,0.436,-8.438683368425318,-2109.6708421063295,21,0.47619047619047616,-2.7197921424549816,-57.115634991554614,5.718891225970337,0.040190476190476165,0.084
btc_5m_s6_hybrid_v1_proxy,g_mp_no_extreme,364,0.41208791208791207,-5.061717862855353,-1842.4653020793485,54,0.4074074074074074,-0.9872458576617525,-53.31127631373464,4.0744720051936,-0.004680504680504682,0.14835164835164835
sol_5m_s6_proxy,g_mp_skew_extreme_against,250,0.436,-8.438683368425318,-2109.6708421063295,95,0.5052631578947369,-5.217955100439889,-495.70573454178947,3.2207282679854288,0.06926315789473686,0.38
eth_15m_momo_v2_anywhere_proxy,g_mp_weighted_strong_with,662,0.5105740181268882,1.4250770709134528,943.4010209447057,314,0.36942675159235666,4.384723642978364,1376.8032238952064,2.959646572064911,-0.14114726653453152,0.4743202416918429
btc_15m_s7_off_late_proxy,g_mp_no_extreme,2170,0.5009216589861751,-2.9809213430444714,-6468.599314406503,239,0.5397489539748954,-0.11527443361355715,-27.550589633640158,2.8656469094309145,0.038827294988720285,0.11013824884792627
eth_15m_momo_v2_anywhere_proxy,g_mp_weighted_skew_with,662,0.5105740181268882,1.4250770709134528,943.4010209447057,318,0.36792452830188677,4.191776862826233,1332.985042378742,2.76669979191278,-0.14264948982500142,0.48036253776435045
eth_15m_off60_120_proxy,g_mp_weighted_strong_with,177,0.4915254237288136,0.18184583602727075,32.186712976826925,90,0.5111111111111111,2.8405512669535047,255.64961402581542,2.658705430926234,0.01958568738229749,0.5084745762711864
all_5m_momo_proxy,g_mp_change_with,2087,0.4168663152850982,-8.037018000826274,-16773.256567724435,142,0.47183098591549294,-5.612724025047247,-797.0068115567091,2.424293975779027,0.05496467063039473,0.0680402491614758
eth_15m_momo_v2_anywhere_proxy,g_mp_skew_strong_with,662,0.5105740181268882,1.4250770709134528,943.4010209447057,306,0.49673202614379086,3.836791657724573,1174.0582472637193,2.41171458681112,-0.013841991983097324,0.4622356495468278
eth_15m_off60_120_proxy,g_mp_weighted_skew_with,177,0.4915254237288136,0.18184583602727075,32.186712976826925,91,0.5054945054945055,2.534611143140829,230.64961402581542,2.3527653071135584,0.013969081765691893,0.5141242937853108
btc_5m_s6_hybrid_v1_proxy,g_mp_skew_extreme_against,364,0.41208791208791207,-5.061717862855353,-1842.4653020793485,166,0.4578313253012048,-3.2329356181287796,-536.6673126093774,1.8287822447265736,0.04574341321329273,0.45604395604395603
btc_5m_s15_hybrid_v1_proxy,g_mp_no_extreme,848,0.455188679245283,-3.8413719130922868,-3257.483382302259,108,0.4444444444444444,-2.12460655217475,-229.45750763487297,1.7167653609175368,-0.010744234800838581,0.12735849056603774
btc_5m_momo_v7_proxy,g_mp_no_extreme,13766,0.49469707976173183,-2.691462762724469,-37050.67639166504,1653,0.4966727162734422,-1.0708938095725369,-1770.1874672234035,1.620568953151932,0.001975636511710399,0.12007845416242917
eth_15m_momo_v2_anywhere_proxy,g_mp_imbalance_extreme,662,0.5105740181268882,1.4250770709134528,943.4010209447057,329,0.48632218844984804,2.809564258441959,924.3466410274045,1.384487187528506,-0.02425182967704015,0.49697885196374625
eth_15m_momo_v2_anywhere_proxy,g_mp_skew_with,662,0.5105740181268882,1.4250770709134528,943.4010209447057,329,0.48632218844984804,2.809564258441959,924.3466410274045,1.384487187528506,-0.02425182967704015,0.49697885196374625
eth_15m_momo_v2_anywhere_proxy,g_mp_imbalance_with,662,0.5105740181268882,1.4250770709134528,943.4010209447057,329,0.48632218844984804,2.809564258441959,924.3466410274045,1.384487187528506,-0.02425182967704015,0.49697885196374625
eth_15m_momo_v2_anywhere_proxy,g_mp_both_favor_bet,662,0.5105740181268882,1.4250770709134528,943.4010209447057,329,0.48632218844984804,2.809564258441959,924.3466410274045,1.384487187528506,-0.02425182967704015,0.49697885196374625
eth_15m_momo_extreme_proxy,g_mp_skew_strong_with,118,0.6694915254237288,10.113794738632558,1193.427779158642,56,0.7142857142857143,11.451278929532277,641.2716200538075,1.337484190899719,0.044794188861985496,0.4745762711864407
sol_5m_momo_v7_proxy,g_mp_no_extreme,14314,0.4785524661170882,-4.977872119380004,-71253.26151680537,1872,0.469017094017094,-3.664647008593531,-6860.21920008709,1.313225110786473,-0.009535372099994166,0.1307810535140422
btc_5m_momo_v7_proxy,g_mp_change_with,13766,0.49469707976173183,-2.691462762724469,-37050.67639166504,661,0.5204236006051437,-1.382010015320863,-913.5086201270905,1.309452747403606,0.02572652084341187,0.04801685311637367
all_bet_up,g_mp_no_extreme,266926,0.49681185047541265,-2.7303917142042025,-728812.538705671,35205,0.5006959238744496,-1.4298359674863368,-50337.375235356485,1.3005557467178657,0.003884073399036958,0.13189048650187693
eth_5m_s6_hybrid_v1_proxy,g_mp_change_with,363,0.4022038567493113,-8.070756883531478,-2929.6847487219266,42,0.40476190476190477,-6.8195085932209505,-286.4193609152799,1.251248290310528,0.0025580480125934613,0.11570247933884298
btc_15m_s7_off_late_proxy,g_mp_both_favor_bet,2170,0.5009216589861751,-2.9809213430444714,-6468.599314406503,1106,0.5108499095840868,-1.7310253657613313,-1914.5140545320323,1.2498959772831402,0.009928250597911692,0.5096774193548387
btc_15m_s7_off_late_proxy,g_mp_imbalance_extreme,2170,0.5009216589861751,-2.9809213430444714,-6468.599314406503,1107,0.5103884372177055,-1.7520452163794333,-1939.5140545320328,1.228876126665038,0.009466778231530415,0.5101382488479262
btc_15m_s7_off_late_proxy,g_mp_imbalance_with,2170,0.5009216589861751,-2.9809213430444714,-6468.599314406503,1107,0.5103884372177055,-1.7520452163794333,-1939.5140545320328,1.228876126665038,0.009466778231530415,0.5101382488479262
btc_15m_s7_off_late_proxy,g_mp_skew_with,2170,0.5009216589861751,-2.9809213430444714,-6468.599314406503,1107,0.5103884372177055,-1.7520452163794333,-1939.5140545320328,1.228876126665038,0.009466778231530415,0.5101382488479262
all_5m_momo_proxy,g_mp_skew_extreme_against,2087,0.4168663152850982,-8.037018000826274,-16773.256567724435,891,0.4567901234567901,-6.848302951303891,-6101.837929611767,1.1887150495223828,0.03992380817169189,0.4269286056540489
