stack,depth,n,wr,dpt,dd,ls,score
g_hl_long_cascade_with_15m|g_q_15m_sparse,2,82,0.5975609756097561,18.500196095127276,338.88154959703803,6,167.52640077244342
g_hl_short_cascade_with_15m|g_sms_liq_reclaim_with,2,95,0.6210526315789474,9.913448350224014,601.1880582099803,15,96.62434231751917
g_R1_full|g_hl_long_cascade_with,2,295,0.7559322033898305,3.875186715010014,366.765883267249,4,66.55851758021718
g_R1_full|g_hl_long_cascade_with_15m,2,373,0.7774798927613941,3.3477167298565353,417.71696259894844,9,64.65514924701495
g_btc_f7_strong_with|g_hl_short_cascade_with_15m,2,159,0.6226415094339622,4.750717001215996,615.0428371367934,17,59.90426205268862
g_R1_full|g_hl_high_activity_dir_dn,2,370,0.7891891891891892,2.8183677944479215,483.35680059516085,4,54.21238695325137
g_f7_v7_with|g_q_15m_sparse,2,230,0.5869565217391305,3.1234986986998168,1123.2911218392937,14,47.37020316379563
g_cci_extreme_with|g_tod_eu_open,2,783,0.7254150702426565,1.6042080645472145,452.3642173275713,6,44.889170094161514
g_cci_extreme_with|g_hl_high_activity_dir_dn,2,335,0.7253731343283583,2.3904182659611877,712.6748185263737,7,43.751837994428286
g_cci_extreme_with|g_hl_high_activity,2,687,0.7394468704512372,1.5168951374318416,1101.7832593598841,5,39.75886038886828
g_R1_full|g_tod_us_open,2,848,0.7841981132075472,1.352980287792192,897.346293074441,6,39.39938069263015
g_2asset_regime_trending_with|g_mp_wt_no_extreme_100,2,373,0.6863270777479893,1.9456722236085742,444.2472164926851,8,37.57717219060372
g_f7_v7_with_loose|g_q_15m_sparse,2,310,0.6,1.6729584086661347,1472.5440316163165,14,29.455472318557124
g_ribbon_slope_strong|g_tod_eu_open,2,144,0.625,2.4469763462988396,479.21124609025094,5,29.363716155586076
g_hl_short_dominant|g_mp_skew_change_with,2,67,0.6567164179104478,3.508458173969428,183.56534998566536,3,28.717967839299213
g_2asset_either_trending_with|g_cci_extreme_with,2,384,0.7135416666666666,1.462766621950399,673.5894908756339,5,28.664254692424805
g_q_15m_sparse|g_tr_above_cloud,2,597,0.6666666666666666,1.063048597788892,1122.5770708163411,9,25.9740866209531
g_cci_extreme_with|g_q_15m_sparse,2,127,0.7637795275590551,1.9971570566358698,175.13646519369047,4,22.5068169945585
g_cci_extreme_with|g_hl_long_cascade_with,2,361,0.6509695290858726,1.034705414185445,1007.4483957505162,6,19.659402869523454
g_hl_short_cascade_with_15m|g_rf_full_align,2,145,0.6,1.2518044656151577,711.6458740152325,7,15.07372186685947
g_rf_strict_align|g_tod_asia_early,2,48,0.6458333333333334,1.4674446280629594,150.0,6,10.166754612396238
g_hl_long_cascade_with_15m|g_q_15m_sparse|g_tod_asia_late,3,20,0.95,97.72549106568034,25.0,1,437.04168231481924
g_2asset_confluence_btc_eth|g_hl_long_cascade_with_15m|g_q_15m_sparse,3,34,0.8235294117647058,59.99134327376708,100.0,4,349.80663673648706
g_2asset_confluence_strong|g_hl_long_cascade_with_15m|g_q_15m_sparse,3,34,0.8235294117647058,59.99134327376708,100.0,4,349.80663673648706
g_hl_long_cascade_with_15m|g_q_15m_sparse|g_rf_with,3,40,0.7,42.290287126185284,218.64363339060228,4,267.4672604424843
g_hl_long_cascade_with_15m|g_q_15m_sparse|g_tod_asia,3,42,0.6904761904761905,41.18440824208191,227.8798618808653,5,266.9054706343043
g_f7_v7_with|g_q_15m_sparse|g_tod_asia_late,3,45,0.7555555555555555,39.72099282314587,175.0,7,266.45652025900637
g_f7_v7_with_loose|g_q_15m_sparse|g_tod_asia_late,3,63,0.7301587301587301,28.16202067632148,195.45471128272857,7,223.529109379817
g_btc_f7_strong_with|g_hl_short_cascade_with_15m|g_tod_eu_open,3,29,0.7241379310344828,39.435652047415715,200.0,8,212.36748555214484
g_cci_with|g_hl_long_cascade_with_15m|g_q_15m_sparse,3,44,0.6818181818181818,31.836596661404236,160.7429386922343,3,211.1800914555185
g_bb_pos_with|g_hl_long_cascade_with_15m|g_q_15m_sparse,3,44,0.6818181818181818,31.836596661404236,160.7429386922343,3,211.1800914555185
g_hl_high_activity_dir_up|g_ribbon_slope_strong|g_tod_eu_open,3,21,0.6666666666666666,46.00582115197512,114.13420201515135,2,210.82515783752646
g_hl_long_cascade_with_15m|g_q_15m_sparse|g_tr_above_ema50,3,42,0.6666666666666666,32.01186901648816,160.74293869223428,3,207.46062236725643
g_R1_full|g_hl_long_cascade_with|g_tod_us_open,3,46,0.9130434782608695,30.315072463716685,50.0,2,205.60682491128085
g_btc_f7_strong_with|g_hl_short_cascade_with_15m|g_tod_european,3,36,0.7777777777777778,32.505249489435656,200.0,8,195.03149693661393
g_hl_long_cascade_with_15m|g_q_15m_sparse|g_tr_above_cloud,3,49,0.673469387755102,26.549771935968103,183.68954022891103,4,185.84840355177673
