stack,depth,n_train,wr_train,dpt_train,n_val,wr_val,dpt_val,n_lockbox,wr_lockbox,dpt_lockbox,dd_lockbox,ls_lockbox,sum_lockbox,sharpe_lockbox,n_full,wr_full,dpt_full,sum_full,proj_32d,proj_full,proj_honest,boot_p_lockbox
g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting|g_mfi_strong_with,4,331,0.7190332326283988,3.794200571239607,229,0.7860262008733624,9.21457444416985,89,0.7865168539325843,6.516735557918239,116.11408310176064,3,579.9894646547233,2.142733349570651,649,0.7519260400616333,6.080134670955205,3946.007401449928,3157.07598593721,3905.351567616808,3157.07598593721,0.0045
g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting|g_mfi_with,4,371,0.7196765498652291,3.4222029323466403,249,0.7911646586345381,8.816216975262801,100,0.77,5.404047997104449,148.6041005743361,3,540.4047997104449,1.939216258535499,720,0.7513888888888889,5.562889047849287,4005.280114451486,2941.6034597571884,3964.013592060168,2941.6034597571884,0.018
g_R1_six|g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting,4,429,0.7132867132867133,3.2161541034634293,279,0.7921146953405018,7.874583264411533,110,0.7636363636363637,4.857661292946692,172.7527296979536,2,534.3427422241361,1.87787986081844,818,0.7469437652811736,5.02577210682245,4111.081583380765,2908.605660173381,4068.724985248962,2908.605660173381,0.0215
g_f7_v7_with|g_tod_us_afternoon|g_tr_above_ema200|g_vwap_in_45_85,4,1054,0.7125237191650854,1.562865249119773,257,0.6614785992217899,-0.1995689210768852,290,0.7862068965517242,4.589859697488579,377.8817976462046,8,1331.0593122716878,4.728584429361434,1601,0.7176764522173642,1.828251138118157,2927.030072127169,7245.39952313222,2896.8727925961616,2896.8727925961616,0.0
g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting|g_ribbon_agrees,4,464,0.7004310344827587,2.552588016609378,290,0.7793103448275862,7.333594106299252,118,0.7542372881355932,4.193743952892729,208.1101122177408,3,494.861786441342,1.7105824826251514,872,0.7339449541284404,4.364684537815226,3806.004916974877,2693.6976575290378,3766.791532981802,2693.6976575290378,0.0385
g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting|g_tr_partial_stack_with,4,440,0.7204545454545455,1.725126373423569,283,0.7915194346289752,7.803079118999715,110,0.7727272727272727,4.288068086309958,190.1372852861058,3,471.6874894940954,1.7182370774916549,833,0.751500600240096,4.128468768880415,3439.014484477386,2567.552234479526,3403.582214031255,2567.552234479526,0.0295
g_2asset_either_trending_with|g_cci_extreme_with|g_rf_with|g_tr_above_ema200,4,344,0.7325581395348837,2.448563286650352,227,0.7533039647577092,4.4966399212876365,114,0.7631578947368421,4.232190649800845,134.07881213344064,3,482.4697340772964,1.789600562095433,685,0.7445255474452555,3.424106228930381,2345.512766817311,2626.243585827416,2321.346877704648,2321.346877704648,0.03
g_2asset_either_trending_with|g_cci_extreme_with|g_hurst_reverting|g_tr_partial_stack_with,4,239,0.7196652719665272,3.5623315439725878,152,0.7631578947368421,6.063815406704252,70,0.8571428571428571,7.880162302400608,75.0,3,551.6113611680425,2.530074471946953,461,0.754880694143167,5.042751717996828,2324.708541996538,3002.604509291378,2300.756999442634,2300.756999442634,0.001
g_btc_f7_with|g_f7_v7_overbought|g_tr_above_ema800|g_vwap_in_45_85,4,615,0.7252032520325203,1.9940245564202623,208,0.6538461538461539,-0.9387709479259184,245,0.7836734693877551,4.714391921339897,282.61457148660725,8,1155.0260207282747,4.451748797517763,1068,0.7247191011235955,2.0468977207473267,2186.086765758145,6287.191639497575,2163.563447565485,2163.563447565485,0.0
g_2asset_either_trending_with|g_cci_extreme_with|g_hurst_reverting|g_tr_above_cloud,4,241,0.7136929460580913,3.325299746927172,155,0.7483870967741936,5.4625802698002985,71,0.8450704225352113,7.417061424902009,75.0,3,526.6113611680427,2.388772918661942,467,0.7451820128479657,4.656763473225991,2174.7085419965374,2866.521175958045,2152.3024539880885,2152.3024539880885,0.004
