stack,depth,n_train,wr_train,dpt_train,n_val,wr_val,dpt_val,n_lockbox,wr_lockbox,dpt_lockbox,dd_lockbox,ls_lockbox,sum_lockbox,sharpe_lockbox,n_full,wr_full,dpt_full,sum_full,proj_32d,proj_full,proj_honest
g_2asset_confluence_against|g_rf_full_align|g_tr_above_ema200|g_vwap_in_55_80,4,1436,0.7249303621169917,1.5944118652681434,744,0.6827956989247311,0.3126967755694179,852,0.7183098591549296,1.4368686488384816,485.21802079909276,5,1224.2120888103864,2.4882958527395562,3032,0.712730870712401,1.2356312428624958,3746.433928359087,6663.794470091202,3707.8343060669026,3707.8343060669026
g_2asset_confluence_against|g_rf_full_align|g_tr_partial_stack_with|g_vwap_in_55_80,4,1418,0.7242595204513399,1.569645827442678,734,0.6811989100817438,0.24392030155915437,846,0.7174940898345153,1.417590797151872,460.21802079909276,5,1199.2818143904838,2.4433978658928357,2998,0.7118078719146097,1.2021604733317615,3604.0770990486208,6528.090676332199,3566.944183482665,3566.944183482665
g_f7_v7_with|g_favorite|g_tod_us_afternoon,3,2026,0.7981243830207305,1.0353282685849752,531,0.7589453860640302,-0.1568596945161955,564,0.8191489361702128,2.278786675277972,465.51710759062865,11,1285.2356848567763,3.765342000058548,3121,0.7952579301505928,1.057199057744901,3299.518259221836,6995.966244570384,3265.523222611672,3265.523222611672
g_2asset_confluence_against|g_rf_full_align|g_vwap_in_55_80,3,1642,0.7095006090133983,1.2163918626535688,844,0.6765402843601895,0.2508058920013186,978,0.7024539877300614,1.0728875022414448,558.9169990913317,6,1049.283977192133,1.9426228388203384,3464,0.6994803695150116,0.9406118904498862,3258.279588518406,5711.60244918251,3224.7094351821556,3224.7094351821556
g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting|g_mfi_strong_with,4,331,0.7190332326283988,3.7942005712396067,229,0.7860262008733624,9.21457444416985,89,0.7865168539325843,6.516735557918239,116.11408310176064,3,579.9894646547233,2.142733349570651,649,0.7519260400616333,6.080134670955205,3946.0074014499282,3157.07598593721,3905.3515676168076,3157.07598593721
g_2asset_confluence_against|g_cci_strong_with|g_rf_full_align|g_vwap_in_55_80,4,1197,0.7276524644945698,1.719260594195791,615,0.6796747967479675,0.27781785204427834,693,0.7142857142857143,1.3179489181983466,390.8299771116697,5,913.3386003114542,2.049126166357988,2505,0.7121756487025949,1.2543519004275638,3142.1515105710473,4971.606447695348,3109.777828340921,3109.777828340921
g_f7_v7_with|g_favorite|g_tod_us_afternoon|g_tr_above_ema50,4,1417,0.8256880733944955,1.5561592101461843,352,0.78125,0.03593938514623186,397,0.836272040302267,2.231518851260022,381.1166942630886,7,885.9129839502287,3.2800334436721283,2166,0.8204062788550324,1.4328906963521908,3103.6412482988453,4822.319675969077,3071.6643384678873,3071.6643384678873
g_2asset_confluence_against|g_cci_strong_with|g_rf_strong|g_vwap_in_55_80,4,1285,0.7245136186770428,1.664545844769045,650,0.6753846153846154,0.055690646624903,733,0.7107776261937244,1.196142508560049,371.42905007501804,5,876.7724587745159,1.9054644013091313,2668,0.7087706146926537,1.143895348429133,3051.9127896089267,4772.564750595948,3020.4688396553797,3020.4688396553797
g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting|g_mfi_with,4,371,0.7196765498652291,3.4222029323466403,249,0.7911646586345381,8.816216975262801,100,0.77,5.404047997104449,148.6041005743361,3,540.4047997104449,1.939216258535499,720,0.7513888888888889,5.5628890478492865,4005.280114451486,2941.6034597571884,3964.0135920601674,2941.6034597571884
g_btc_f7_with|g_tod_us_afternoon|g_tr_above_ema200|g_vwap_in_45_85,4,972,0.7253086419753086,2.053231315353582,223,0.672645739910314,0.5283870503672063,280,0.7357142857142858,2.97541492575733,332.87910365379275,10,833.1161792120524,2.802779371020234,1475,0.7193220338983051,1.997754122011947,2946.6873299676217,4534.929068844272,2916.3275211134096,2916.3275211134096
