g,n,wr,dpt
g_rf_fresh,51336,0.4829943899018233,-4.488966850394751
mgf_g_imb5_strong_with,617,0.4829821717990275,-6.6937703468375735
g_f7_v7_oversold,17124,0.48294790936697035,-4.384822671351419
g_hl_short_cascade_with_15m,491,0.48268839103869654,-5.519799000697554
g_hod_overnight,14314,0.48267430487634483,-4.820141679201603
g_tr_in_active_session,51649,0.48248756026254136,-4.673889640452435
g_hurst_reverting,23700,0.48240506329113925,-4.62060942635655
g_hod_avoid_us_pm,49559,0.48233418753405033,-4.46864795949812
g_tod_asia,16595,0.4822536908707442,-4.786849189510787
g_f7_v7_neutral,16150,0.4821671826625387,-4.991768641663274
g_vol_med,9597,0.4820256330103157,-4.928731032542698
g_hod_us_afternoon,12546,0.4819065837717201,-4.796340632339131
g_hod_late,12208,0.4818152031454784,-4.555387601942694
g_adx_low,14785,0.48150152181264794,-4.823813527793048
g_hod_active,32421,0.4811079238764998,-4.67127452015201
g_f7_v7_overbought,11858,0.48094113678529266,-4.643831371486159
g_tod_asia_early,9295,0.4807961269499731,-5.097517549365997
g_rf_aged,5771,0.4798128573904003,-5.1871560158703085
g_regime_ranging,35441,0.47972687000931125,-4.971940575137953
g_dir_dn,29777,0.47966551365147597,-4.41222043958518
g_parent_ranging,38212,0.47882864021773264,-4.803748461969546
g_2asset_both_ranging,35773,0.4787129958348475,-5.201933554585092
g_parent_trending_dn,2158,0.47775718257645966,-5.893612175129297
g_tod_us_afternoon,14427,0.4777153947459624,-5.196452761904858
g_parent_slope_strong_with,21396,0.4773789493363245,-5.256204904225618
g_parent_slope_with,21396,0.4773789493363245,-5.256204904225618
g_rf_in_band,18022,0.4763067362112973,-5.115493991126194
g_hod_us_morning,9507,0.4761754496686652,-5.079576686020161
g_hod_us_morning_v6,9507,0.4761754496686652,-5.079576686020161
g_adx_strong,18079,0.4754134631340229,-5.0008679561765375
g_parent_trending_up,3294,0.4751062537947784,-6.009703910155045
g_regime_trending_up,3263,0.4750229849831443,-4.645517664013994
g_tod_us_open,7126,0.4748807184956497,-5.352157744866161
g_adx_extreme,7586,0.47376746638544687,-5.684499295313934
g_regime_trending_dn,2408,0.4730066445182724,-5.041492833143943
g_vol_contracting,2316,0.47063903281519864,-6.499771751177039
g_offset_mid_late,13434,0.47044811671877323,-6.82438564329662
g_atr_high,12533,0.4697199393600894,-5.643463491194993
g_mp_skew_extreme_with,28525,0.4689570552147239,-4.658227930308307
g_mp_skew_strong_with,28525,0.4689570552147239,-4.658227930308307
g_mp_skew_with,28525,0.4689570552147239,-4.658227930308307
g_mp_imbalance_with,28525,0.4689570552147239,-4.658227930308307
g_mp_imbalance_strong_with,28523,0.4689198190933633,-4.660741748345649
g_parent_with_dir,2715,0.4662983425414365,-6.818012742977043
g_offset_ge_180,26483,0.46029528376694484,-7.205550568074952
g_vol_high,10366,0.45967586339957556,-6.059806463360307
g_vol_pct_high,9389,0.45808925338161677,-6.250793113916197
g_hl_high_activity_dir_up,3454,0.4571511291256514,-7.149900039113115
g_3asset_unanimity,16045,0.45696478653786227,-5.725731235704853
g_btc_trend_15m_with,9894,0.4567414594703861,-5.302901170234089
g_2asset_either_trending_with,3898,0.4563878912262699,-3.854481528853246
g_2asset_regime_trending_with,1584,0.4551767676767677,-4.402676382940754
g_trend_slope_strong_with,20080,0.45483067729083665,-6.171686537583116
g_trend_slope_very_strong_with,20080,0.45483067729083665,-6.171686537583116
g_2asset_confluence_btc_eth,18666,0.45381977927783135,-5.667085480886615
g_2asset_confluence_strong,18666,0.45381977927783135,-5.667085480886615
g_vol_v7_high,8374,0.4533078576546453,-6.877894985445216
g_hl_high_activity,6879,0.4522459659834278,-6.199215531565416
g_btc_trend_5m_with,11303,0.45209236485888704,-5.6875550646149025
g_btc_f7_against,14548,0.45043992301347263,-5.801410798816718
g_btc_trend_30m_with,9164,0.4496944565691838,-5.739003996271568
g_hurst_trending_with_dir,370,0.4486486486486487,-7.106756557729257
