source,strategy_id,hypothesis,asset,tf,n_trades,win_rate,dpt_usd,sharpe,max_dd_usd,p_value,perm_p,boot_lo,gates_passed,n_gates_total,notes,n_gates_passed,rank_score
,SOL_4h_bos_AND_liq_hold5,N_sms_port,SOL,4h,2.0,1.0,7.224640936144404,53.04669166992903,0.0,0.5,,,G2,4,,1,52.17169166992903
,SOL_1m_liq_long_1000k_60m_reversion,N1,SOL,1m,5.0,1.0,5.643,43.226,0.0,0.0625,,,G2,4,liq_long_>=$1000k_60m_reversion,1,42.351
,SOL_1m_liq_long_1000k_30m_reversion,N1,SOL,1m,5.0,1.0,7.7294,30.854,0.0,0.0625,,,G2,4,liq_long_>=$1000k_30m_reversion,1,29.979
,SOL_1m_liq_long_500k_30m_reversion,N1,SOL,1m,6.0,1.0,9.4017,28.637,0.0,0.03125,0.44,,"G1,G2",4,liq_long_>=$500k_30m_reversion,2,27.887
,SOL_1m_liq_long_500k_60m_reversion,N1,SOL,1m,6.0,1.0,7.3678,27.227,0.0,0.03125,0.4,,"G1,G2",4,liq_long_>=$500k_60m_reversion,2,26.477
,ETH_4h_bos_AND_liq_hold5,N_sms_port,ETH,4h,2.0,1.0,1.961629708433889,23.564903207694584,0.0,0.5,,,G2,4,,1,22.689903207694584
,N5.2_sweep_nan_to_SOL,N5,SOL,,3.0,1.0,6.835264404536656,22.07713976505687,,0.1376381106486548,,,"G_pos_sharpe,G_pos_pnl",4,UP/1.0,2,21.32713976505687
,BTC_1m_liq_long_100k_60m_reversion,N1,BTC,1m,8.0,0.875,4.1954,21.697,0.0,0.07031,,,G2,4,liq_long_>=$100k_60m_reversion,1,20.822
,N5.2_sweep_nan_to_ETH,N5,ETH,,7.0,0.8571428571428571,4.789043441545049,20.377602783305665,,0.0145627255135949,,,"G_pos_sharpe,G_pos_pnl,G1",4,UP/0.5,3,19.752602783305665
,SOL_1m_liq_long_100k_60m_reversion,N1,SOL,1m,8.0,1.0,5.2883,18.016,0.0,0.00781,0.57,,"G1,G2",4,liq_long_>=$100k_60m_reversion,2,17.266
,SOL_1m_liq_long_250k_60m_reversion,N1,SOL,1m,7.0,1.0,5.5063,17.683,0.0,0.01562,0.62,,"G1,G2",4,liq_long_>=$250k_60m_reversion,2,16.933
,BTC_1m_liq_long_500k_60m_reversion,N1,BTC,1m,5.0,0.8,3.6322,17.04,0.0,0.375,,,G2,4,liq_long_>=$500k_60m_reversion,1,16.165
,BTC_1m_liq_long_250k_60m_reversion,N1,BTC,1m,6.0,0.8333,3.3314,16.728,0.0,0.21875,,,G2,4,liq_long_>=$250k_60m_reversion,1,15.853000000000002
,N5.2_sweep_nan_to_SOL,N5,SOL,,3.0,0.6666666666666666,2.3552919353755035,16.407456052397833,,0.2153086209085053,,,"G_pos_sharpe,G_pos_pnl",4,DOWN/1.0,2,15.657456052397833
,SOL_1m_liq_long_250k_30m_reversion,N1,SOL,1m,7.0,0.8571,6.8565,16.371,-1.48,0.125,,,G2,4,liq_long_>=$250k_30m_reversion,1,15.495999999999999
,SOL_1m_liq_long_100k_30m_reversion,N1,SOL,1m,8.0,0.875,6.4795,16.331,-1.48,0.07031,,,G2,4,liq_long_>=$100k_30m_reversion,1,15.456
,ETH_1m_cascade_60m_reversion_filt_ranging,N1,ETH,1m,13.0,0.8462,10.2074,15.294,-1.22,0.02246,0.03,,"G1,G2,G4",4,base=ETH_1m_cascade_60m_reversion+filt=ranging,3,14.669
,ETH_1m_cascade_60m_reversion_filt_markov_contra,N1,ETH,1m,13.0,0.8462,10.2074,15.294,-1.22,0.02246,0.03,,"G1,G2,G4",4,base=ETH_1m_cascade_60m_reversion+filt=markov_contra,3,14.669
,N5.2_sweep_nan_to_SOL,N5,SOL,,7.0,0.7142857142857143,1.8575612180413092,14.113763170080748,,0.0568798355132325,,,"G_pos_sharpe,G_pos_pnl",4,DOWN/0.5,2,13.363763170080748
,ETH_1m_cascade_60m_reversion_filt_ldn_ny,N1,ETH,1m,13.0,0.7692,9.6288,13.879,-2.99,0.09229,,,G2,4,base=ETH_1m_cascade_60m_reversion+filt=ldn_ny,1,13.004
,N5.2_sweep_nan_to_ETH,N5,ETH,,7.0,0.8571428571428571,6.495004585264952,13.747076491601204,,0.0618439261710275,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.5,2,12.997076491601204
,BTC_1m_liq_long_100k_30m_reversion,N1,BTC,1m,8.0,0.75,3.4704,13.818,-0.45,0.28906,,,G2,4,liq_long_>=$100k_30m_reversion,1,12.943
,ETH_1m_cascade_60m_reversion,N1,ETH,1m,15.0,0.8,8.7672,13.213,-2.99,0.03516,0.05,,"G1,G2",4,cascade_5+_60s_60m_reversion,2,12.463
,N5.2_sweep_nan_to_ETH,N5,ETH,,7.0,0.7142857142857143,3.308913070256708,11.515988598673236,,0.1033619000777987,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.5,2,10.765988598673236
,SOL_4h_sms_markov_sized_hold3,N_sms_port,SOL,4h,31.0,0.8064516129032258,5.507069432078258,10.13601670828808,-15.85648942689174,0.0008779102936387,,2.940136233022165,"G1,G2,G6",4,,3,10.51101670828808
,SOL_1h_sms_regime_trending_hold3,N_sms_port,SOL,1h,4.0,0.75,1.716737723631274,11.258988514008328,-1.696812223784641,0.625,,,G2,4,,1,10.383988514008328
