source,strategy_id,family,asset,tf,n_trades,win_rate,avg_pnl_usd,total_pnl_usd,sharpe_ann,oos_sharpe_ann,calmar,max_dd_usd,profit_factor,avg_bars_held,avg_fees,avg_funding,perm_p,gates_passed,beats_bh,notes,rank_score
,D1|SOL|z3.0|h168h|zwin90d|fund30davg|atr0,D1,SOL,h168,45,0.9555555555555556,13.443434255549702,604.9545414997366,25.765871621410724,156.01360375251775,,,,,0.2249999999999999,-0.2208969499999748,0.0009990009990009,7/7,,z=3.0,156.01360375251775
,D1|SOL|z3.0|h168h|zwin90d|zero_fund|atr0,D1,SOL,h168,35,0.9714285714285714,14.268393784519624,499.3937824581868,31.394067120367,104.74763216706248,,,,,0.2249999999999999,-0.251833563571402,0.0009990009990009,7/7,,z=3.0,104.74763216706248
,D1|SOL|z3.0|h168h|zwin60d|zero_fund|atr0,D1,SOL,h168,33,0.9696969696969696,14.114162356967096,465.76735777991416,30.37127482993226,102.42378407348764,,,,,0.225,-0.2534571499999732,0.0009990009990009,7/7,,z=3.0,102.42378407348764
,D1|SOL|z2.5|h168h|zwin60d|zero_fund|atr0,D1,SOL,h168,52,0.8846153846153846,10.98378856119485,571.1570051821321,16.399652132093305,85.84712772450041,,,,,0.2249999999999999,-0.1875428177884376,0.0009990009990009,7/7,,z=2.5,85.84712772450041
,D1|SOL|z2.5|h168h|zwin90d|zero_fund|atr0,D1,SOL,h168,50,0.92,12.616649751773856,630.8324875886929,19.68604659861993,83.45396134738895,,,,,0.225,-0.198374245999976,0.0009990009990009,7/7,,z=2.5,83.45396134738895
,D1|SOL|z2.0|h168h|zwin90d|term_next|atr0,D1,SOL,h168,51,0.9019607843137256,13.198968506531616,673.1473938331125,20.796376407461835,73.78134478463427,,,,,0.225,-0.286944796078408,0.0009990009990009,7/7,,z=2.0,73.78134478463427
,D1|SOL|z3.0|h168h|zwin60d|fund30davg|atr0,D1,SOL,h168,42,0.9285714285714286,12.007916221334424,504.3324812960458,21.84349247364212,72.08681838567124,,,,,0.2249999999999999,-0.1807798517856901,0.0009990009990009,7/7,,z=3.0,72.08681838567124
,D1|SOL|z3.0|h168h|zwin30d|fund30davg|atr0,D1,SOL,h168,32,0.90625,11.591147394743547,370.9167166317935,21.66535532984473,63.24903895507602,,,,,0.225,-0.1695272859374766,0.0009990009990009,7/7,,z=3.0,63.24903895507602
,D1|SOL|z3.0|h168h|zwin7d|zero_fund|atr0,D1,SOL,h168,30,0.8333333333333334,7.3920460443998195,221.76138133199456,11.207164765588496,42.92657008018893,,,,,0.2249999999999999,-0.2657447874999818,0.0009990009990009,7/7,,z=3.0,42.92657008018893
,D1|SOL|z2.5|h168h|zwin90d|fund30davg|atr0,D1,SOL,h168,69,0.7971014492753623,9.121231178825964,629.3649513389915,12.019455921504882,41.788316835604775,,,,,0.225,-0.1855986300724418,0.0009990009990009,7/7,,z=2.5,41.788316835604775
