slug,slot_start_us,outcome
btc-updown-15m-1787439600,1787439600000000,Down
btc-updown-15m-1787440500,1787440500000000,Down
btc-updown-15m-1787441400,1787441400000000,Up
btc-updown-15m-1787442300,1787442300000000,Up
btc-updown-15m-1787443200,1787443200000000,Up
btc-updown-15m-1787444100,1787444100000000,Up
btc-updown-15m-1787445000,1787445000000000,Up
btc-updown-15m-1787445900,1787445900000000,Up
btc-updown-15m-1787446800,1787446800000000,Down
btc-updown-15m-1787447700,1787447700000000,Down
btc-updown-15m-1787448600,1787448600000000,Down
btc-updown-15m-1787449500,1787449500000000,Down
btc-updown-15m-1787450400,1787450400000000,Down
btc-updown-15m-1787451300,1787451300000000,Down
btc-updown-15m-1787452200,1787452200000000,Up
btc-updown-15m-1787453100,1787453100000000,Down
btc-updown-15m-1787454000,1787454000000000,Up
btc-updown-15m-1787454900,1787454900000000,Down
btc-updown-15m-1787455800,1787455800000000,Down
btc-updown-15m-1787456700,1787456700000000,Up
btc-updown-15m-1787457600,1787457600000000,Up
btc-updown-15m-1787458500,1787458500000000,Down
btc-updown-15m-1787459400,1787459400000000,Down
btc-updown-15m-1787460300,1787460300000000,Down
btc-updown-15m-1787461200,1787461200000000,Down
btc-updown-15m-1787462100,1787462100000000,Up
btc-updown-15m-1787463000,1787463000000000,Down
btc-updown-15m-1787463900,1787463900000000,Down
btc-updown-15m-1787464800,1787464800000000,Up
btc-updown-15m-1787465700,1787465700000000,Up
btc-updown-15m-1787466600,1787466600000000,Up
btc-updown-15m-1787467500,1787467500000000,Down
btc-updown-15m-1787468400,1787468400000000,Up
btc-updown-15m-1787469300,1787469300000000,Down
btc-updown-15m-1787470200,1787470200000000,Down
btc-updown-15m-1787471100,1787471100000000,Down
btc-updown-15m-1787472000,1787472000000000,Up
btc-updown-15m-1787472900,1787472900000000,Up
btc-updown-15m-1787473800,1787473800000000,Up
btc-updown-15m-1787474700,1787474700000000,Down
btc-updown-15m-1787475600,1787475600000000,Up
btc-updown-15m-1787476500,1787476500000000,Down
btc-updown-15m-1787477400,1787477400000000,Down
btc-updown-15m-1787478300,1787478300000000,Up
btc-updown-15m-1787479200,1787479200000000,Up
btc-updown-15m-1787480100,1787480100000000,Up
btc-updown-15m-1787481000,1787481000000000,Up
btc-updown-15m-1787481900,1787481900000000,Down
btc-updown-15m-1787482800,1787482800000000,Up
btc-updown-15m-1787483700,1787483700000000,Up
btc-updown-15m-1787484600,1787484600000000,Up
btc-updown-15m-1787485500,1787485500000000,Up
btc-updown-15m-1787486400,1787486400000000,Down
btc-updown-15m-1787487300,1787487300000000,Down
btc-updown-15m-1787488200,1787488200000000,Up
btc-updown-15m-1787489100,1787489100000000,Down
btc-updown-15m-1787490000,1787490000000000,Up
btc-updown-15m-1787490900,1787490900000000,Up
btc-updown-15m-1787491800,1787491800000000,Up
btc-updown-15m-1787492700,1787492700000000,Down
