n,wr,dpt,tot_pnl,n_wins,n_losses,market,tod,stack,wr_all,dpt_all,n_all,wr_lift_pp,dpt_lift,tod_share
144061,0.4870367413803875,-2.2958627261960807,-330744.28019853355,70163,73898,BTC_5m,ALL,baseline_all,0.4870367413803875,-2.2958627261960807,144061,0.0,0.0,1.0
42604,0.48957844333865363,-2.059723205201622,-87752.4474344099,20858,21746,BTC_5m,asia_morning,baseline_tod,0.4870367413803875,-2.2958627261960807,144061,0.25417019582661404,0.23613952099445878,0.2957358341258217
36794,0.4869815730825678,-2.2777502474139983,-83807.54260335065,17918,18876,BTC_5m,european_morning,baseline_tod,0.4870367413803875,-2.2958627261960807,144061,-0.005516829781970767,0.01811247878208233,0.2554056961981383
34329,0.48320661831104894,-2.313440720169402,-79418.1064826954,16588,17741,BTC_5m,us_afternoon,baseline_tod,0.4870367413803875,-2.2958627261960807,144061,-0.38301230693385535,-0.01757799397332116,0.23829488897064438
30334,0.48786839849673636,-2.629596613637423,-79766.18367807759,14799,15535,BTC_5m,us_evening,baseline_tod,0.4870367413803875,-2.2958627261960807,144061,0.08316571163488606,-0.33373388744134225,0.21056358070539563
133497,0.4844528341460857,-3.1023027399328553,-414148.1088728164,64673,68824,ETH_5m,ALL,baseline_all,0.4844528341460857,-3.1023027399328553,133497,0.0,0.0,1.0
38656,0.4852286837748344,-3.1228047722434122,-120715.14127584134,18757,19899,ETH_5m,asia_morning,baseline_tod,0.4844528341460857,-3.1023027399328553,133497,0.07758496287487149,-0.020502032310556917,0.2895645595032098
34177,0.48535564853556484,-2.975372445863984,-101689.30408229338,16588,17589,ETH_5m,european_morning,baseline_tod,0.4844528341460857,-3.1023027399328553,133497,0.09028143894791452,0.12693029406887124,0.2560132437433051
32197,0.48125601764139514,-3.2558953399156625,-104830.06225926458,15495,16702,ETH_5m,us_afternoon,baseline_tod,0.4844528341460857,-3.1023027399328553,133497,-0.31968165046905583,-0.15359259998280717,0.2411814497704068
28467,0.48593107809042047,-3.053135253290375,-86913.6012554171,13833,14634,ETH_5m,us_evening,baseline_tod,0.4844528341460857,-3.1023027399328553,133497,0.14782439443347672,0.049167486642480274,0.21324074698307827
101500,0.48274876847290643,-4.328602481619213,-439353.1518843501,48999,52501,SOL_5m,ALL,baseline_all,0.48274876847290643,-4.328602481619213,101500,0.0,0.0,1.0
28624,0.4832308552263834,-4.328460896071574,-123897.86468915275,13832,14792,SOL_5m,asia_morning,baseline_tod,0.48274876847290643,-4.328602481619213,101500,0.04820867534769957,0.00014158554763898934,0.2820098522167488
26891,0.4849206054070135,-4.046778577302042,-108821.92272222922,13040,13851,SOL_5m,european_morning,baseline_tod,0.48274876847290643,-4.328602481619213,101500,0.2171836934107052,0.28182390431717064,0.264935960591133
23836,0.4779744923644907,-4.946177118465578,-117897.07779574553,11393,12443,SOL_5m,us_afternoon,baseline_tod,0.48274876847290643,-4.328602481619213,101500,-0.47742761084157426,-0.6175746368463653,0.23483743842364532
22149,0.4846268454557768,-4.006333770247982,-88736.28667722257,10734,11415,SOL_5m,us_evening,baseline_tod,0.48274876847290643,-4.328602481619213,101500,0.1878076982870347,0.3222687113712306,0.2182167487684729
43456,0.4841218703976436,-2.4362673037629117,-105870.43195232109,21038,22418,BTC_15m,ALL,baseline_all,0.4841218703976436,-2.4362673037629117,43456,0.0,0.0,1.0
