market,label,n,wr,dpt,tot_pnl,wr_lift_pp,dpt_lift,pct_universe
BTC_5m,baseline_all,144061,0.4870367413803875,-2.2958627261960807,-330744.28019853355,0.0,0.0,1.0
BTC_5m,g_5m_trend_with,8391,0.4843284471457514,-2.6379569744683686,-22135.09697276408,-0.27082942346360883,-0.34209424827228796,0.05824615961294174
BTC_5m,g_15m_trend_with,8392,0.47878932316491896,-2.090621558761767,-17544.49612112875,-0.8247418215468538,0.20524116743431353,0.05825310111688799
BTC_5m,g_1h_trend_with,32277,0.4718840040895994,-2.675407196213552,-86354.11807218482,-1.5152737290788088,-0.37954447001747127,0.22405092287294964
BTC_5m,s_5m_slope_with,62773,0.4818154302008825,-2.1110760707685623,-132518.57819035495,-0.5221311179504973,0.18478665542751838,0.43573902721763696
BTC_5m,s_15m_slope_with,62744,0.47335203366058903,-2.281109226881324,-143125.91733144177,-1.3684707719798461,0.01475349931475689,0.43553772360319587
BTC_5m,s_1h_slope_with,71929,0.4749822741870456,-2.455161567469224,-176597.3163864938,-1.2054467193341911,-0.1592988412731433,0.49929543734945614
BTC_5m,cascade_15m+1h_trend_with,3556,0.47750281214848145,-1.3334917065493601,-4741.896508489524,-0.9533929231906046,0.9623710196467206,0.024683988032847198
BTC_5m,cascade_5m+15m_trend_with,2467,0.49858127280097286,-0.6409076219711817,-1581.1191034029052,1.1544531420585369,1.654955104224899,0.0171246902353864
BTC_5m,cascade_5m+15m+1h_trend_with,1058,0.5302457466918714,2.2253879048257708,2354.4604033056653,4.320900531148392,4.521250631021852,0.007344111175127203
BTC_5m,cascade_15m+1h_slope_with,29959,0.4614306218498615,-2.5108148697509773,-75221.50268286953,-2.5606119530525993,-0.21495214355489667,0.20796051672555377
BTC_5m,cascade_5m+15m+1h_slope_with,24776,0.4609299321924443,-2.868378101333538,-71066.93583863974,-2.610680918794317,-0.5725153751374572,0.17198270177216596
BTC_5m,rf+1h_grandparent,15869,0.553469027663999,-1.8812325175633606,-29853.27882121297,6.643228628361148,0.41463020863272004,0.1101547261229618
BTC_5m,rf+15m+1h_grandparent,1748,0.5549199084668193,-0.6040589666066468,-1055.8950736284187,6.788316708643177,1.6918037595894337,0.01213374889803625
BTC_5m,rf+slope_1h,34646,0.5582462621947699,-1.4555206759620338,-50427.96933938062,7.120952081438242,0.8403420502340468,0.24049534572160405
BTC_5m,rf+slope_15m+slope_1h,14340,0.5432357043235704,-1.6049713624579869,-23015.289337647533,5.619896294318289,0.6908913637380938,0.09954116658915321
BTC_5m,diag_1h_label_distribution_at_fires,144061,,,0.0,,,1.0
BTC_5m,  diag_1h_label=trending_up,30214,,,0.0,,,0.20973060023184623
BTC_5m,  diag_1h_label=trending_dn,34420,,,0.0,,,0.23892656582975266
BTC_5m,  diag_1h_label=ranging,79427,,,0.0,,,0.5513428339384011
BTC_5m,  diag_1h_label=missing,0,,,0.0,,,0.0
ETH_5m,baseline_all,133497,0.4844528341460857,-3.1023027399328553,-414148.1088728164,0.0,0.0,1.0
ETH_5m,g_5m_trend_with,7630,0.4584534731323722,-4.7627756117560525,-36339.97791769868,-2.5999361013713473,-1.6604728718231971,0.05715484243091605
ETH_5m,g_15m_trend_with,6576,0.45316301703163014,-4.995649590457548,-32851.39170684884,-3.1289817114455554,-1.8933468505246926,0.04925953392211061
ETH_5m,g_1h_trend_with,29755,0.47181986220803224,-3.8917440206998943,-115798.84333592535,-1.263297193805346,-0.789441280767039,0.22288890387049895
ETH_5m,s_5m_slope_with,57958,0.45767624831774734,-4.0075245161951525,-232268.10590963866,-2.6776585828338364,-0.9052217762622972,0.43415207832385744
ETH_5m,s_15m_slope_with,57994,0.4645825430216919,-3.8247656567792,-221813.45949925293,-1.9870291124393813,-0.7224629168463448,0.4344217473051829
ETH_5m,s_1h_slope_with,66743,0.4757502659454924,-3.468411685113704,-231492.20109954395,-0.8702568200593286,-0.3661089451808488,0.4999588005722975
ETH_5m,cascade_15m+1h_trend_with,2474,0.45715440582053357,-5.672633775220087,-14034.095959894494,-2.729842832555213,-2.5703310352872313,0.018532251661086015
ETH_5m,cascade_5m+15m_trend_with,2183,0.4608337150710032,-3.5075579847432645,-7656.999080694546,-2.3619119075082518,-0.4052552448104092,0.016352427395372182
ETH_5m,cascade_5m+15m+1h_trend_with,890,0.4730337078651685,-4.205551809515205,-3742.9411104685323,-1.141912628091718,-1.1032490695823496,0.006666816482767403
ETH_5m,cascade_15m+1h_slope_with,27510,0.45328971283169756,-4.2956529571454505,-118173.41285107135,-3.1163121314388142,-1.1933502172125952,0.2060720465628441
ETH_5m,cascade_5m+15m+1h_slope_with,22440,0.44402852049910874,-4.644043677516879,-104212.34012347876,-4.042431364697697,-1.5417409375840236,0.16809366502618037
ETH_5m,rf+1h_grandparent,13811,0.5439142712330751,-2.986256525540663,-41243.1888742421,5.946143708698942,0.11604621439219232,0.10345550836348383
ETH_5m,rf+15m+1h_grandparent,1168,0.5496575342465754,-3.229804377037529,-3772.4115123798338,6.520470010048967,-0.12750163710467355,0.008749260283002614
ETH_5m,rf+slope_1h,32252,0.5527719211211708,-2.459694251622042,-79330.0590033141,6.83190869750851,0.6426084883108132,0.24159344404743177
ETH_5m,rf+slope_15m+slope_1h,13326,0.5326429536244934,-3.1108561690594083,-41455.269308885676,4.819011947840774,-0.008553429126552992,0.09982246792062743
ETH_5m,diag_1h_label_distribution_at_fires,133497,,,0.0,,,1.0
ETH_5m,  diag_1h_label=trending_up,20077,,,0.0,,,0.15039289272418108
ETH_5m,  diag_1h_label=trending_dn,39435,,,0.0,,,0.2953998966268905
ETH_5m,  diag_1h_label=ranging,73985,,,0.0,,,0.5542072106489284
ETH_5m,  diag_1h_label=missing,0,,,0.0,,,0.0
SOL_5m,baseline_all,101500,0.48274876847290643,-4.328602481619213,-439353.1518843501,0.0,0.0,1.0
SOL_5m,g_5m_trend_with,6489,0.47803975959315764,-3.9172680880667583,-25419.152623465194,-0.47090088797487883,0.4113343935524547,0.06393103448275862
SOL_5m,g_15m_trend_with,4826,0.467260671363448,-5.7427548508046,-27714.534909983,-1.548809710945842,-1.4141523691853868,0.04754679802955665
SOL_5m,g_1h_trend_with,20474,0.46810589039757744,-4.921398663194196,-100760.71623023797,-1.464287807532899,-0.5927961815749834,0.2017142857142857
SOL_5m,s_5m_slope_with,41917,0.461292554333564,-5.174392396688007,-216895.00609197118,-2.1456214139342453,-0.845789915068794,0.41297536945812807
SOL_5m,s_15m_slope_with,41911,0.4700198038701057,-4.912572223873205,-205890.8144747499,-1.2728964602800708,-0.5839697422539922,0.41291625615763544
SOL_5m,s_1h_slope_with,50589,0.46883709897408526,-4.959734331386215,-250908.0000904972,-1.3911669498821166,-0.6311318497670015,0.4984137931034483
SOL_5m,cascade_15m+1h_trend_with,1663,0.4485868911605532,-6.86240987069412,-11412.187614964321,-3.4161877312353206,-2.533807389074907,0.01638423645320197
SOL_5m,cascade_5m+15m_trend_with,1447,0.4809951624049758,-4.826526474035192,-6983.983807928922,-0.17536060679306242,-0.49792399241597884,0.01425615763546798
SOL_5m,cascade_5m+15m+1h_trend_with,474,0.41983122362869196,-5.086993065672374,-2411.234713128705,-6.291754484421447,-0.7583905840531608,0.004669950738916256
SOL_5m,cascade_15m+1h_slope_with,21728,0.46258284241531666,-5.014673711850706,-108958.83041109213,-2.0165926057589765,-0.6860712302314926,0.2140689655172414
SOL_5m,cascade_5m+15m+1h_slope_with,18080,0.4558075221238938,-5.113816194955933,-92457.79680480328,-2.6941246349012626,-0.7852137133367201,0.178128078817734
SOL_5m,rf+1h_grandparent,9475,0.5437467018469657,-3.703822292707035,-35093.716223399155,6.099793337405929,0.6247801889121782,0.09334975369458128
SOL_5m,rf+15m+1h_grandparent,821,0.5347137637028014,-5.235958860803953,-4298.722224720045,5.196499522989501,-0.9073563791847397,0.008088669950738916
SOL_5m,rf+slope_1h,24211,0.550658791458428,-3.2534614614242616,-78769.5554425428,6.791002298552157,1.0751410201949514,0.2385320197044335
SOL_5m,rf+slope_15m+slope_1h,10004,0.5446821271491403,-3.2711970790796494,-32725.055579112814,6.193335867623389,1.0574054025395636,0.0985615763546798
SOL_5m,diag_1h_label_distribution_at_fires,101500,,,0.0,,,1.0
SOL_5m,  diag_1h_label=trending_up,15684,,,0.0,,,0.15452216748768474
SOL_5m,  diag_1h_label=trending_dn,25235,,,0.0,,,0.24862068965517242
SOL_5m,  diag_1h_label=ranging,60581,,,0.0,,,0.5968571428571429
SOL_5m,  diag_1h_label=missing,0,,,0.0,,,0.0
BTC_15m,baseline_all,43456,0.4841218703976436,-2.4362673037629117,-105870.43195232109,0.0,0.0,1.0
BTC_15m,g_5m_trend_with,2540,0.48385826771653545,-3.107282742218493,-7892.4981652349725,-0.026360268110814378,-0.6710154384555813,0.0584499263622975
BTC_15m,g_15m_trend_with,2581,0.45370011623401785,-0.08255015673886662,-213.06195454301474,-3.042175416362575,2.353717147024045,0.05939340942562592
BTC_15m,g_1h_trend_with,9686,0.4624199876109849,-3.6836680815610974,-35680.00903800079,-2.1701882786658686,-1.2474007777981857,0.22289212076583212
BTC_15m,s_5m_slope_with,18637,0.5293233889574502,-2.2078063546331994,-41146.88703129894,4.520151855980664,0.22846094912971227,0.42887058173784975
BTC_15m,s_15m_slope_with,19004,0.4575352557356346,-3.574623828514272,-67932.15123708523,-2.6586614662009014,-1.1383565247513605,0.4373159057437408
BTC_15m,s_1h_slope_with,21767,0.4681857858225755,-2.8434561339710793,-61893.50966814849,-1.5936084575068121,-0.40718883020816765,0.5008974594992637
BTC_15m,cascade_15m+1h_trend_with,1102,0.455535390199637,0.2580424779485449,284.36281069929646,-2.858648019800658,2.6943097817114565,0.02535898379970545
BTC_15m,cascade_5m+15m_trend_with,803,0.44582814445828145,-2.622912892322022,-2106.1990525345836,-3.829372593936214,-0.1866455885591103,0.018478460972017673
BTC_15m,cascade_5m+15m+1h_trend_with,354,0.4463276836158192,-1.6314495048374753,-577.5331247124662,-3.779418678182439,0.8048177989254364,0.008146170839469809
BTC_15m,cascade_15m+1h_slope_with,9087,0.4406294706723891,-4.354224260214054,-39566.83585256511,-4.3492399725254485,-1.9179569564511425,0.20910806332842416
BTC_15m,cascade_5m+15m+1h_slope_with,7652,0.48248823836905386,-3.2357759588226034,-24760.15763691056,-0.16336320285897377,-0.7995086550596917,0.17608615611192932
BTC_15m,rf+1h_grandparent,4825,0.5081865284974093,-2.9774862062923093,-14366.370945360391,2.406465809976571,-0.5412189025293976,0.11103184830633284
BTC_15m,rf+15m+1h_grandparent,565,0.49911504424778763,0.5623455870086136,317.72525665986666,1.4993173850144037,2.9986128907715255,0.013001656848306333
BTC_15m,rf+slope_1h,10511,0.5136523641898963,-2.1044096232915104,-22119.449550417066,2.953049379225275,0.3318576804714013,0.2418768409425626
