label,n,sharpe,cagr,mdd,calmar,wr,min_yr,pos_yrs,pf,coin,variant,exit
,61,-0.645,-0.1043,-0.4612,-0.226,0.262,-0.3132,3,0.6,ETH,VWAP_BF_std,baseline
,60,0.065,-0.0067,-0.3118,-0.021,0.283,-0.1012,3,1.06,ETH,VWAP_BF_std,V41
,163,0.069,-0.0161,-0.4921,-0.033,0.301,-0.2299,4,1.04,ETH,VWAP_BF_lax,baseline
,178,-0.05,-0.0681,-0.6405,-0.106,0.236,-0.3265,3,0.98,ETH,VWAP_BF_lax,V41
,54,-0.351,-0.0625,-0.3176,-0.197,0.259,-0.1424,1,0.74,ETH,VWAP_BF_tight,baseline
,58,0.315,0.0436,-0.2996,0.146,0.293,-0.1333,2,1.28,ETH,VWAP_BF_tight,V41
,233,0.624,0.1606,-0.4666,0.344,0.326,-0.1083,4,1.26,ETH,MFI_75_25,baseline
,234,0.594,0.1711,-0.5053,0.339,0.261,-0.1126,3,1.25,ETH,MFI_75_25,V41
,261,0.663,0.1832,-0.5599,0.327,0.314,-0.2675,3,1.25,ETH,MFI_70_30,baseline
,264,0.709,0.2368,-0.5502,0.43,0.25,-0.3369,4,1.3,ETH,MFI_70_30,V41
,198,-0.152,-0.0797,-0.6559,-0.121,0.278,-0.4246,3,0.95,ETH,MFI_NoCross_80_20,baseline
,202,-0.472,-0.1908,-0.7381,-0.259,0.233,-0.4582,2,0.83,ETH,MFI_NoCross_80_20,V41
,109,0.365,0.0587,-0.3871,0.152,0.312,-0.1181,4,1.2,ETH,SVD_30,baseline
,116,-0.733,-0.1979,-0.7655,-0.259,0.181,-0.3541,1,0.62,ETH,SVD_30,V41
,100,-0.48,-0.1133,-0.4925,-0.23,0.21,-0.3157,2,0.76,ETH,SVD_50,baseline
,102,-0.622,-0.1682,-0.6333,-0.266,0.176,-0.3356,2,0.7,ETH,SVD_50,V41
,139,0.382,0.0666,-0.4604,0.145,0.317,-0.2452,3,1.19,ETH,SVD_tight,baseline
,143,0.267,0.0355,-0.5099,0.07,0.28,-0.3896,4,1.14,ETH,SVD_tight,V41
,254,0.82,0.2503,-0.3723,0.672,0.339,-0.2171,5,1.34,ETH,VP_ROT_60,baseline
,259,0.753,0.2649,-0.4511,0.587,0.278,-0.1008,5,1.33,ETH,VP_ROT_60,V41
,158,0.382,0.0704,-0.4881,0.144,0.348,-0.1746,4,1.19,ETH,VP_ROT_240,baseline
