size,sleeves,sharpe,cagr,max_dd,calmar,min_yr,pos_yrs,n_yrs,avg_pair_corr
3,CCI_ETH_4h + STF_DOGE_4h + TTM_SOL_4h,3.085,0.64,-0.0955,6.7,0.1761,3,3,0.077
2,CCI_ETH_4h + STF_DOGE_4h,2.938,0.7274,-0.1301,5.592,0.1601,3,3,0.14
2,CCI_ETH_4h + STF_ETH_4h,2.1,0.442,-0.113,3.912,0.1596,3,3,0.132
3,CCI_ETH_4h + STF_DOGE_4h + VWZ_SOL_4h,2.834,0.431,-0.0976,4.414,0.1582,3,3,0.005
4,CCI_ETH_4h + HTFD_SUI_4h + STF_DOGE_4h + TTM_SOL_4h,2.407,0.5193,-0.1193,4.354,0.1552,3,3,0.142
3,CCI_ETH_4h + REGSW_ETH_4h + STF_DOGE_4h,2.16,0.4961,-0.1595,3.111,0.1544,3,3,0.261
3,CCI_ETH_4h + LATBB_AVAX_4h + TTM_SOL_4h,2.705,0.4781,-0.0776,6.16,0.1534,3,3,0.068
4,BB_TON_4h + CCI_ETH_4h + STF_DOGE_4h + STF_ETH_4h,2.473,0.5084,-0.0798,6.374,0.1533,3,3,0.122
2,CCI_ETH_4h + HTFD_ETH_4h,1.991,0.5258,-0.143,3.676,0.1512,3,3,0.13
4,CCI_ETH_4h + STF_DOGE_4h + STF_TON_4h + TTM_SOL_4h,2.835,0.5809,-0.0792,7.335,0.1509,3,3,0.106
3,CCI_ETH_4h + STF_DOGE_4h + TGMT_ETH_4h,2.671,0.5541,-0.1091,5.077,0.1502,3,3,0.194
2,CCI_ETH_4h + LATBB_AVAX_4h,2.639,0.4823,-0.1101,4.38,0.1489,3,3,0.037
4,BB_TON_4h + CCI_ETH_4h + LATBB_AVAX_4h + STF_DOGE_4h,2.812,0.5299,-0.085,6.231,0.1483,3,3,0.049
4,CCI_ETH_4h + HTFD_SUI_4h + STF_DOGE_4h + VWZ_SOL_4h,2.185,0.3731,-0.1304,2.862,0.1477,3,3,0.052
4,BB_TON_4h + CCI_ETH_4h + HTFD_ETH_4h + STF_DOGE_4h,2.441,0.554,-0.0791,7.008,0.146,3,3,0.12
3,CCI_ETH_4h + HTFD_SUI_4h + STF_DOGE_4h,2.235,0.5337,-0.162,3.294,0.146,3,3,0.157
4,CCI_ETH_4h + HTFD_ETH_4h + STF_DOGE_4h + TTM_SOL_4h,2.767,0.6092,-0.0902,6.757,0.1448,3,3,0.147
3,CCI_ETH_4h + STF_DOGE_4h + STF_TON_4h,2.724,0.6175,-0.0931,6.629,0.1443,3,3,0.105
3,CCI_ETH_4h + LATBB_AVAX_4h + VWZ_SOL_4h,2.338,0.2893,-0.0986,2.935,0.144,3,3,0.052
4,CCI_ETH_4h + STF_DOGE_4h + STF_TON_4h + VWZ_SOL_4h,2.672,0.428,-0.0725,5.9,0.1436,3,3,0.025
4,CCI_ETH_4h + STF_DOGE_4h + TGMT_ETH_4h + TTM_SOL_4h,2.972,0.5361,-0.082,6.536,0.143,3,3,0.104
3,CCI_ETH_4h + LATBB_AVAX_4h + TGMT_ETH_4h,2.562,0.4045,-0.115,3.519,0.1429,3,3,0.058
4,CCI_ETH_4h + HTFD_SUI_4h + STF_DOGE_4h + TGMT_ETH_4h,2.259,0.4616,-0.1388,3.326,0.1424,3,3,0.165
3,CCI_ETH_4h + HTFD_SUI_4h + STF_ETH_4h,1.704,0.3604,-0.1452,2.482,0.1419,3,3,0.134
4,CCI_ETH_4h + STF_AVAX_4h + STF_DOGE_4h + TTM_SOL_4h,3.2,0.6454,-0.0824,7.829,0.1415,3,3,0.157
3,CCI_ETH_4h + HTFD_DOGE_4h + TTM_SOL_4h,2.45,0.5835,-0.1034,5.645,0.1414,3,3,0.127
4,CCI_ETH_4h + LATBB_SUI_4h + STF_DOGE_4h + TTM_SOL_4h,3.138,0.5177,-0.0717,7.222,0.1411,3,3,0.08
4,CCI_ETH_4h + STF_DOGE_4h + STF_TON_4h + TGMT_ETH_4h,2.636,0.52,-0.0815,6.381,0.141,3,3,0.142
3,CCI_ETH_4h + STF_DOGE_4h + TGMT_BTC_4h,2.346,0.4326,-0.1293,3.346,0.1409,3,3,0.116
4,CCI_AVAX_4h + CCI_ETH_4h + STF_DOGE_4h + TTM_SOL_4h,3.0,0.5276,-0.0825,6.396,0.1404,3,3,0.088
