WARN: failed to load _scan_run_v38_smc from C:\Users\alexandre bandarra\Desktop\global\strategy_lab\run_v38_smc.py: 'charmap' codec can't encode character '\u2b50' in position 47: character maps to <undefined>
WARN: failed to load _scan_run_v38_smc from C:\Users\alexandre bandarra\Desktop\global\strategy_lab\run_v38_smc.py: 'charmap' codec can't encode character '\u2b50' in position 47: character maps to <undefined>
WARN: failed to load _scan_run_v38_smc from C:\Users\alexandre bandarra\Desktop\global\strategy_lab\run_v38_smc.py: 'charmap' codec can't encode character '\u2b50' in position 47: character maps to <undefined>
WARN: failed to load _scan_run_v38_smc from C:\Users\alexandre bandarra\Desktop\global\strategy_lab\run_v38_smc.py: 'charmap' codec can't encode character '\u2b50' in position 47: character maps to <undefined>
WARN: failed to load _scan_run_v38_smc from C:\Users\alexandre bandarra\Desktop\global\strategy_lab\run_v38_smc.py: 'charmap' codec can't encode character '\u2b50' in position 47: character maps to <undefined>
WARN: failed to load _scan_run_v38_smc from C:\Users\alexandre bandarra\Desktop\global\strategy_lab\run_v38_smc.py: 'charmap' codec can't encode character '\u2b50' in position 47: character maps to <undefined>
WARN: failed to load _scan_run_v38_smc from C:\Users\alexandre bandarra\Desktop\global\strategy_lab\run_v38_smc.py: 'charmap' codec can't encode character '\u2b50' in position 47: character maps to <undefined>
[1/294] ema_trend_adx on BTCUSDT @ 4h ... n_trades= 34 | Sharpe_oos=+0.89 | Calmar=+1.10 | MDD= -20.2% | gates=1/7
[2/294] ema_trend_adx on ETHUSDT @ 4h ... n_trades= 34 | Sharpe_oos=+0.33 | Calmar=+0.21 | MDD= -26.2% | gates=1/7
[3/294] ema_trend_adx on SOLUSDT @ 4h ... n_trades= 30 | Sharpe_oos=+0.17 | Calmar=+0.03 | MDD= -19.9% | gates=3/7
[4/294] donchian_breakout on BTCUSDT @ 4h ... n_trades= 96 | Sharpe_oos=+1.19 | Calmar=+2.14 | MDD= -15.4% | gates=3/7
[5/294] donchian_breakout on ETHUSDT @ 4h ... n_trades=101 | Sharpe_oos=+1.02 | Calmar=+1.30 | MDD= -25.7% | gates=1/7
[6/294] donchian_breakout on SOLUSDT @ 4h ... n_trades= 95 | Sharpe_oos=+0.79 | Calmar=+1.62 | MDD= -16.4% | gates=4/7
[7/294] rsi_mean_reversion on BTCUSDT @ 4h ... n_trades= 10 | Sharpe_oos=-0.21 | Calmar=-0.23 | MDD= -21.4% | gates=2/7
[8/294] rsi_mean_reversion on ETHUSDT @ 4h ... n_trades=  9 | Sharpe_oos=+0.08 | Calmar=-0.03 | MDD= -16.2% | gates=2/7
[9/294] rsi_mean_reversion on SOLUSDT @ 4h ... n_trades=  9 | Sharpe_oos=-0.23 | Calmar=-0.31 | MDD= -31.8% | gates=2/7
[10/294] squeeze_breakout on BTCUSDT @ 4h ... n_trades= 99 | Sharpe_oos=+0.27 | Calmar=+0.22 | MDD= -14.9% | gates=3/7
[11/294] squeeze_breakout on ETHUSDT @ 4h ... n_trades=104 | Sharpe_oos=+0.75 | Calmar=+1.21 | MDD= -12.8% | gates=3/7
[12/294] squeeze_breakout on SOLUSDT @ 4h ... n_trades= 99 | Sharpe_oos=+1.18 | Calmar=+2.41 | MDD= -12.8% | gates=4/7
[13/294] macd_htf on BTCUSDT @ 4h ... n_trades=123 | Sharpe_oos=+0.81 | Calmar=+0.78 | MDD= -21.0% | gates=2/7
[14/294] macd_htf on ETHUSDT @ 4h ... n_trades=113 | Sharpe_oos=-0.84 | Calmar=-0.64 | MDD= -27.3% | gates=1/7
[15/294] macd_htf on SOLUSDT @ 4h ... n_trades=114 | Sharpe_oos=+0.86 | Calmar=+1.50 | MDD= -16.9% | gates=4/7
[16/294] supertrend on BTCUSDT @ 4h ... n_trades= 75 | Sharpe_oos=+1.04 | Calmar=+1.77 | MDD= -19.2% | gates=3/7
[17/294] supertrend on ETHUSDT @ 4h ... n_trades= 79 | Sharpe_oos=+0.42 | Calmar=+0.34 | MDD= -26.8% | gates=0/7
[18/294] supertrend on SOLUSDT @ 4h ... n_trades= 73 | Sharpe_oos=+0.14 | Calmar=-0.18 | MDD= -28.5% | gates=1/7
[19/294] gaussian_channel on BTCUSDT @ 4h ... n_trades= 10 | Sharpe_oos=+0.82 | Calmar=+1.15 | MDD= -21.3% | gates=1/7
