size,sleeves,avg_pair_corr,sharpe,cagr,max_dd,calmar,min_year_return,max_year_return,per_year_positive,per_year_total
2,CCI_BTC_4h + CCI_ETH_4h,0.081,0.92,0.1461,-0.219,0.667,-0.0278,0.3333,5,6
2,CCI_BTC_4h + CCI_SOL_4h,0.03,0.378,0.0479,-0.257,0.186,-0.0827,0.1857,4,6
2,CCI_BTC_4h + CCI_AVAX_4h,0.075,0.199,0.0191,-0.2121,0.09,-0.0417,0.1151,3,6
2,CCI_BTC_4h + CCI_LINK_4h,0.024,0.088,0.0013,-0.2684,0.005,-0.0968,0.1115,3,6
2,CCI_BTC_4h + STF_BTC_4h,0.081,0.084,-0.0003,-0.3242,-0.001,-0.0412,0.0487,3,6
2,CCI_BTC_4h + STF_ETH_4h,0.032,0.436,0.0621,-0.2508,0.248,-0.0423,0.2042,4,6
2,CCI_BTC_4h + STF_SOL_4h,0.02,1.385,0.2505,-0.2128,1.177,-0.0297,0.3286,5,6
2,CCI_BTC_4h + STF_AVAX_4h,-0.004,1.061,0.1735,-0.1724,1.006,-0.0127,0.3241,5,6
2,CCI_BTC_4h + STF_LINK_4h,0.01,0.251,0.0286,-0.3703,0.077,-0.1588,0.2758,2,6
2,CCI_BTC_4h + TTM_BTC_4h,0.05,-0.412,-0.089,-0.4355,-0.204,-0.242,0.0321,2,6
2,CCI_BTC_4h + TTM_SOL_4h,-0.003,0.581,0.0944,-0.2324,0.406,-0.1262,0.2742,5,6
2,CCI_BTC_4h + TTM_AVAX_4h,-0.037,0.32,0.0412,-0.3338,0.124,-0.2043,0.407,3,6
2,CCI_BTC_4h + TTM_DOGE_4h,0.08,0.159,0.0121,-0.3111,0.039,-0.1294,0.1746,3,6
2,CCI_BTC_4h + VWZ_ETH_4h,0.034,-0.241,-0.0372,-0.2989,-0.124,-0.1615,0.0737,3,6
2,CCI_BTC_4h + VWZ_DOGE_4h,-0.014,-0.075,-0.0156,-0.332,-0.047,-0.1577,0.1421,3,6
2,CCI_BTC_4h + VWZ_INJ_4h,0.003,0.132,0.0087,-0.2854,0.03,-0.12,0.2242,3,6
2,CCI_BTC_4h + BB_BTC_4h,0.073,0.05,-0.0125,-0.489,-0.026,-0.2852,0.4705,3,6
2,CCI_BTC_4h + BB_ETH_4h,0.062,0.379,0.0601,-0.3035,0.198,-0.1821,0.2925,5,6
2,CCI_BTC_4h + BB_SOL_4h,0.008,1.019,0.2207,-0.2333,0.946,-0.0841,0.411,5,6
2,CCI_BTC_4h + BB_DOGE_4h,0.088,0.322,0.0478,-0.312,0.153,-0.0798,0.241,4,6
2,CCI_BTC_4h + HTFD_DOGE_4h,0.08,0.785,0.1631,-0.2837,0.575,-0.0733,0.2892,4,6
