portfolio,window,sharpe,cagr,mdd,calmar,min_yr,pos_yrs
P3,60,1.66,0.39,-0.202,1.93,0.057,6
P3,120,1.7,0.336,-0.148,2.27,0.092,6
P3,250,1.93,0.352,-0.1,3.54,0.087,6
P3,500,2.09,0.377,-0.106,3.57,0.108,6
P5,60,1.8,0.429,-0.271,1.58,0.147,6
P5,120,1.92,0.379,-0.234,1.62,0.114,6
P5,250,1.84,0.297,-0.175,1.7,0.07,6
P5,500,2.1,0.313,-0.2,1.56,0.111,6
P7,60,1.64,0.452,-0.221,2.04,0.114,6
P7,120,1.87,0.468,-0.131,3.56,-0.002,5
P7,250,1.87,0.368,-0.144,2.57,0.096,6
P7,500,2.06,0.405,-0.13,3.12,0.15,6
