label,n,sharpe,cagr,mdd,calmar,win,min_yr,cap
CCI_ETH_4h,115,1.29,0.244,-0.162,1.51,0.47,0.061,2.0
CCI_ETH_4h,115,1.31,0.249,-0.162,1.54,0.47,0.061,3.0
CCI_ETH_4h,115,1.31,0.25,-0.162,1.55,0.47,0.061,5.0
CCI_ETH_4h,115,1.31,0.25,-0.162,1.55,0.47,0.061,8.0
CCI_ETH_4h,115,1.31,0.25,-0.162,1.55,0.47,0.061,10.0
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,2.0
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,3.0
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,5.0
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,8.0
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,10.0
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,2.0
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,3.0
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,5.0
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,8.0
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,10.0
STF_DOGE_4h,114,0.46,0.07,-0.447,0.16,0.36,-0.259,2.0
STF_DOGE_4h,114,0.46,0.07,-0.447,0.16,0.36,-0.259,3.0
STF_DOGE_4h,114,0.46,0.07,-0.447,0.16,0.36,-0.259,5.0
STF_DOGE_4h,114,0.46,0.07,-0.447,0.16,0.36,-0.259,8.0
STF_DOGE_4h,114,0.46,0.07,-0.447,0.16,0.36,-0.259,10.0
VWZ_INJ_4h,23,0.59,0.046,-0.116,0.39,0.48,-0.057,2.0
VWZ_INJ_4h,23,0.59,0.046,-0.116,0.39,0.48,-0.057,3.0
VWZ_INJ_4h,23,0.59,0.046,-0.116,0.39,0.48,-0.057,5.0
VWZ_INJ_4h,23,0.59,0.046,-0.116,0.39,0.48,-0.057,8.0
VWZ_INJ_4h,23,0.59,0.046,-0.116,0.39,0.48,-0.057,10.0
LATBB_AVAX_4h,55,0.53,0.055,-0.278,0.2,0.4,-0.19,2.0
LATBB_AVAX_4h,55,0.53,0.055,-0.278,0.2,0.4,-0.19,3.0
LATBB_AVAX_4h,55,0.53,0.055,-0.278,0.2,0.4,-0.19,5.0
LATBB_AVAX_4h,55,0.53,0.055,-0.278,0.2,0.4,-0.19,8.0
LATBB_AVAX_4h,55,0.53,0.055,-0.278,0.2,0.4,-0.19,10.0
BB_AVAX_4h,264,1.0,0.293,-0.25,1.17,0.39,0.085,2.0
BB_AVAX_4h,264,1.0,0.293,-0.25,1.17,0.39,0.085,3.0
BB_AVAX_4h,264,1.0,0.293,-0.25,1.17,0.39,0.085,5.0
BB_AVAX_4h,264,1.0,0.293,-0.25,1.17,0.39,0.085,8.0
BB_AVAX_4h,264,1.0,0.293,-0.25,1.17,0.39,0.085,10.0
