label,error,sharpe,cagr,max_dd,calmar,n_trades,win_rate,final_equity,n_bars,has_shorts,per_year,symbol,tf,module,fn,fn_kwargs,data_start
V22_BTC_RangeKalman_2h,C:\Users\alexandre bandarra\Desktop\global\data\binance\parquet\BTCUSDT\2h,,,,,,,,,,,,,,,,
V22_ETH_RangeKalman_1h,v4c_range_kalman() got an unexpected keyword argument 'alpha',,,,,,,,,,,,,,,,
V22_SOL_RangeKalman_2h,C:\Users\alexandre bandarra\Desktop\global\data\binance\parquet\SOLUSDT\2h,,,,,,,,,,,,,,,,
SOL_BBBreak_LS_4h,,0.801,0.3315,-0.6306,0.526,71.0,0.296,33725.05,9306.0,False,"{""2022"": {""sharpe"": -1.233, ""return"": -0.4531, ""n_bars"": 2190}, ""2023"": {""sharpe"": 2.726, ""return"": 4.7764, ""n_bars"": 2190}, ""2024"": {""sharpe"": 0.401, ""return"": 0.0707, ""n_bars"": 2196}, ""2025"": {""sharpe"": 0.498, ""return"": 0.1267, ""n_bars"": 2190}, ""2026"": {""sharpe"": -1.668, ""return"": -0.1151, ""n_bars"": 540}}",SOLUSDT,4h,run_v38b_smc_mixes.py,sig_bbbreak,{},2022-01-01
DOGE_TTM_Squeeze_Pop_4h,,-0.126,-0.1665,-0.6822,-0.244,84.0,0.262,4615.62,9306.0,False,"{""2022"": {""sharpe"": -1.183, ""return"": -0.478, ""n_bars"": 2190}, ""2023"": {""sharpe"": 1.651, ""return"": 1.0175, ""n_bars"": 2190}, ""2024"": {""sharpe"": 0.26, ""return"": -0.0132, ""n_bars"": 2196}, ""2025"": {""sharpe"": -1.327, ""return"": -0.524, ""n_bars"": 2190}, ""2026"": {""sharpe"": -0.872, ""return"": -0.0753, ""n_bars"": 540}}",DOGEUSDT,4h,run_v30_creative.py,sig_ttm_squeeze,{},2022-01-01
SOL_SuperTrend_Flip_4h,,0.463,0.1093,-0.5059,0.216,36.0,0.306,15532.82,9306.0,False,"{""2022"": {""sharpe"": -0.883, ""return"": -0.2441, ""n_bars"": 2190}, ""2023"": {""sharpe"": 1.697, ""return"": 0.8769, ""n_bars"": 2190}, ""2024"": {""sharpe"": 0.171, ""return"": -0.0444, ""n_bars"": 2196}, ""2025"": {""sharpe"": 0.861, ""return"": 0.2284, ""n_bars"": 2190}, ""2026"": {""sharpe"": -2.309, ""return"": -0.0674, ""n_bars"": 540}}",SOLUSDT,4h,run_v30_creative.py,sig_supertrend_flip,{},2022-01-01
DOGE_HTF_Donchian_4h,,0.933,0.4721,-0.6011,0.785,69.0,0.377,51650.6,9306.0,False,"{""2022"": {""sharpe"": 1.244, ""return"": 0.7924, ""n_bars"": 2190}, ""2023"": {""sharpe"": 0.788, ""return"": 0.3341, ""n_bars"": 2190}, ""2024"": {""sharpe"": 1.355, ""return"": 1.1343, ""n_bars"": 2196}, ""2025"": {""sharpe"": 0.543, ""return"": 0.1578, ""n_bars"": 2190}, ""2026"": {""sharpe"": -1.684, ""return"": -0.1224, ""n_bars"": 540}}",DOGEUSDT,4h,run_v34_expand.py,sig_htf_donchian_ls,{},2022-01-01
ETH_CCI_Extreme_Rev_4h,,-0.083,-0.0389,-0.4246,-0.092,49.0,0.49,8450.27,9306.0,False,"{""2022"": {""sharpe"": 0.214, ""return"": 0.0229, ""n_bars"": 2190}, ""2023"": {""sharpe"": -1.033, ""return"": -0.1542, ""n_bars"": 2190}, ""2024"": {""sharpe"": 0.353, ""return"": 0.0584, ""n_bars"": 2196}, ""2025"": {""sharpe"": 0.178, ""return"": 0.0146, ""n_bars"": 2190}, ""2026"": {""sharpe"": -2.482, ""return"": -0.0855, ""n_bars"": 540}}",ETHUSDT,4h,run_v30_creative.py,sig_cci_extreme,{},2022-01-01
