L,sharpe,cagr,mdd,calmar,wr_active_bars,wr_daily,n_bars,n_active_bars,liquidated
1.0,2.52,0.3145,-0.058,5.418,49.48,50.43,5001,4854,False
1.25,2.52,0.4047,-0.0721,5.612,49.48,50.43,5001,4854,False
1.5,2.52,0.5001,-0.086,5.812,49.48,50.43,5001,4854,False
1.75,2.52,0.6007,-0.0998,6.019,49.48,50.43,5001,4854,False
2.0,2.52,0.7067,-0.1134,6.233,49.48,50.43,5001,4854,False
2.25,2.52,0.8184,-0.1268,6.454,49.48,50.43,5001,4854,False
2.5,2.52,0.9359,-0.1401,6.682,49.48,50.43,5001,4854,False
