n_full,wr_full,sum_pnl_full,dpt_full_25,days_full,n_train,wr_train,dpt_train_25,sum_pnl_train,days_train,n_val,wr_val,dpt_val_25,sum_pnl_val,days_val,n_lock,wr_lock,dpt_lock_25,sum_pnl_lock,days_lock,max_dd_25,loss_streak,sharpe_daily,bootstrap_p_lockbox,passes_v8,fails,sleeve_id,gate_stack,split_kind,n_gates,proj_32d,proj_full,proj_honest
64,0.828125,609.2813630895398,9.52002129827406,21,35,0.8,9.618930418632388,336.6625646521336,13,8,0.625,1.8410422185987638,14.72833774879011,4,21,0.9523809523809523,12.28049812802934,257.89046068861614,4,75.0,3,12.101797663949993,0.0,True,,V8_BASELINE_V7_TOP_HUR22,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with,hur22,5,2105.6756115225508,947.5775865954461,947.5775865954461
64,0.828125,609.2813630895398,9.52002129827406,21,33,0.7878787878787878,8.98480699640766,296.49863088145275,12,19,0.7894736842105263,8.803513335681624,167.26675337795083,6,12,1.0,12.12633156917802,145.51597883013625,3,75.0,3,12.101797663949993,0.0,True,,V8_BASELINE_V7_TOP_V8SPLIT,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with,v8,5,1584.1839561974164,947.5775865954461,947.5775865954461
11,0.8181818181818182,121.16559398084563,11.015053998258693,5,6,0.8333333333333334,14.696914141323527,88.18148484794116,3,3,0.6666666666666666,2.0113698485339477,6.034109545601844,1,2,1.0,13.474999793651316,26.94999958730263,1,25.0,1,10.961633251504495,1.0,False,n_lock<5 (2),V8_JK_RG_V7TOP_3A_US_EVE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high_rg&g_pw_btc_15m_trend_with&g_3a_trend_unanimity_with&g_tod_us_eve,v8,7,880.1869865213039,791.4536598828836,791.4536598828836
12,0.8333333333333334,133.23275724908387,11.102729770756989,6,6,0.8333333333333334,14.696914141323527,88.18148484794116,3,3,0.6666666666666666,2.0113698485339477,6.034109545601844,1,3,1.0,13.005720951846959,39.017162855540874,2,25.0,1,11.092027903940359,0.0,False,n_lock<5 (3),V8_PK_RG_V7TOP_US_EVE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high_rg&g_pw_btc_15m_trend_with&g_tod_us_eve,v8,6,637.1502694309825,725.2303086258464,637.1502694309825
18,0.7777777777777778,144.43272356538696,8.024040198077053,10,9,0.6666666666666666,5.198843614374313,46.78959252936882,6,5,0.8,8.596117039332375,42.98058519666188,1,4,1.0,13.665636459839066,54.66254583935626,3,50.0,2,7.131819256633988,0.0,False,n_lock<5 (4),V8_PK_RG_CORE_US_EVE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high_rg&g_tod_us_eve,v8,5,595.0929157044584,471.71727516455377,471.71727516455377
54,0.6851851851851852,224.96150083691353,4.165953719202102,18,33,0.5757575757575758,0.8992645821979162,29.675731212531232,10,10,0.8,8.190795262569042,81.90795262569041,3,11,0.9090909090909091,10.307074272608356,113.37781699869191,5,110.78064120833818,3,5.276328019107229,0.059,True,,V8_PK_RG_CORE_US_PM,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high_rg&g_tod_us_pm,v8,5,740.5839006354555,408.18014540742195,408.18014540742195
60,0.7166666666666667,283.3899412113409,4.7231656868556815,23,24,0.6666666666666666,4.527142574473732,108.65142178736957,11,6,0.6666666666666666,2.8643218925041842,17.185931355025104,3,20,0.85,8.995975913026491,179.91951826052983,5,148.30444340118132,4,4.664956639037321,0.001,True,,V8_V7TOP_VOLRG_HUR22,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high_rg&g_pw_btc_15m_trend_with,hur22,5,1175.2342932777808,402.413716520104,402.413716520104
60,0.7166666666666667,283.3899412113409,4.7231656868556815,23,29,0.5862068965517241,0.23279795382632418,6.751140660963401,13,19,0.7368421052631579,6.045441145818359,114.86338177054881,6,12,1.0,13.481284898319053,161.77541877982864,4,148.30444340118132,4,4.664956639037321,0.0,True,,V8_V7TOP_VOLRG_V8,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high_rg&g_pw_btc_15m_trend_with,v8,5,1320.8962943373008,402.413716520104,402.413716520104
50,0.68,169.7361589592543,3.3947231791850863,21,24,0.5416666666666666,-1.493669905223465,-35.84807772536316,11,17,0.7058823529411765,4.39408519330612,74.69944828620405,6,9,1.0,14.542754266490382,130.88478839841343,4,110.33252380445099,4,3.247513317400156,0.0,True,,V8_PJ_RG_V7TOP_AND_BTC_SOL,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high_rg&g_pw_btc_15m_trend_with&g_2a_btc_sol_trend_with,v8,6,1068.6742972730456,263.9801405528212,263.9801405528212
50,0.68,169.7361589592543,3.3947231791850863,21,24,0.5416666666666666,-1.493669905223465,-35.84807772536316,11,17,0.7058823529411765,4.39408519330612,74.69944828620405,6,9,1.0,14.542754266490382,130.88478839841343,4,110.33252380445099,4,3.247513317400156,0.0,True,,V8_PJ_RG_BTC_SOL_TREND,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high_rg&g_2a_btc_sol_trend_with,v8,5,1068.6742972730456,263.9801405528212,263.9801405528212
