n_full,wr_full,sum_pnl_full,dpt_full_25,days_full,n_train,wr_train,dpt_train_25,sum_pnl_train,days_train,n_val,wr_val,dpt_val_25,sum_pnl_val,days_val,n_lock,wr_lock,dpt_lock_25,sum_pnl_lock,days_lock,max_dd_25,loss_streak,sharpe_daily,bootstrap_p_lockbox,passes_v8,fails,sleeve_id,gate_stack,split_kind,n_gates,proj_32d,proj_full,proj_honest
64,0.828125,609.2813630895398,9.52002129827406,21,33,0.7878787878787878,8.98480699640766,296.49863088145275,12,19,0.7894736842105263,8.803513335681624,167.26675337795083,6,12,1.0,12.12633156917802,145.51597883013625,3,75.0,3,12.101797663949991,0.0,True,,V8_BASELINE_V7_TOP,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with,v8,5,1584.1839561974164,947.577586595446,947.577586595446
64,0.828125,609.2813630895398,9.52002129827406,21,35,0.8,9.618930418632388,336.6625646521336,13,8,0.625,1.841042218598764,14.72833774879011,4,21,0.9523809523809524,12.28049812802934,257.89046068861614,4,75.0,3,12.101797663949991,0.0,True,,V8_BASELINE_V7_TOP_HUR22,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with,hur22,5,2105.6756115225508,947.577586595446,947.577586595446
15,0.8666666666666667,186.92481933802776,12.461654622535184,7,8,0.75,9.784090434331262,78.27272347465009,4,3,1.0,19.138703317596377,57.41610995278913,2,4,1.0,12.808996477647126,51.2359859105885,1,25.0,2,10.57026002312898,1.0,False,n_lock<5 (4),V8_PK_V7TOP_US_EVE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with&g_tod_us_eve,v8,6,1673.3672998398204,872.1377999399979,872.1377999399979
13,0.8461538461538461,138.67990875471304,10.66768528882408,6,8,0.75,9.784090434331262,78.27272347465009,4,2,1.0,15.517054772800922,31.034109545601844,1,3,1.0,9.791025244820371,29.37307573446112,1,25.0,2,8.658972934743684,1.0,False,n_lock<5 (3),V8_PK_PW_TS_US_EVE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_tod_us_eve,v8,6,959.3246534875,754.8809699881544,754.8809699881544
61,0.7868852459016393,459.36937802993583,7.530645541474358,20,35,0.7428571428571429,6.611027504825243,231.3859626688835,11,17,0.7647058823529411,7.598971906984534,129.18252241873708,6,9,1.0,10.977876993590582,98.80089294231524,3,60.96563374821619,2,9.699218518470284,0.0,True,,V8_PJ_SOL15M_ALONE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_sol_15m_trend_with,v8,5,1075.6123878320052,750.150194322885,750.150194322885
22,0.8181818181818182,200.3419771525864,9.106453506935743,9,11,0.6363636363636364,3.312671831028797,36.43939014131677,6,7,1.0,16.09522872866873,112.6666011006811,2,4,1.0,12.808996477647126,51.2359859105885,1,50.0,3,7.306722134272276,1.0,False,n_lock<5 (4),V8_PK_CORE_US_EVE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_tod_us_eve,v8,5,1673.3672998398204,727.0187748670522,727.0187748670522
51,0.803921568627451,436.04292391249504,8.549861253186178,20,27,0.7777777777777778,8.40909105172567,227.04545839659303,11,16,0.75,6.967877911338283,111.48604658141252,6,8,1.0,12.188927366811182,97.51141893448946,3,60.96563374821619,2,11.89492828875226,0.0,True,,V8_PJ_BTC_SOL_TREND,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_2a_btc_sol_trend_with,v8,5,1061.5743141334751,712.0580947491043,712.0580947491043
51,0.803921568627451,436.04292391249504,8.549861253186178,20,27,0.7777777777777778,8.40909105172567,227.04545839659303,11,16,0.75,6.967877911338283,111.48604658141252,6,8,1.0,12.188927366811182,97.51141893448946,3,60.96563374821619,2,11.89492828875226,0.0,True,,V8_PJ_V7TOP_AND_2A_BTC_SOL,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with&g_2a_btc_sol_trend_with,v8,6,1061.5743141334751,712.0580947491043,712.0580947491043
51,0.803921568627451,436.04292391249504,8.549861253186178,20,27,0.7777777777777778,8.40909105172567,227.04545839659303,11,16,0.75,6.967877911338283,111.48604658141252,6,8,1.0,12.188927366811182,97.51141893448946,3,60.96563374821619,2,11.89492828875226,0.0,True,,V8_PJ_BTC_AND_SOL_TREND_SEP,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with&g_pw_sol_15m_trend_with,v8,6,1061.5743141334751,712.0580947491043,712.0580947491043
50,0.8,409.66092350530784,8.193218470106157,20,27,0.7777777777777778,8.40909105172567,227.04545839659303,11,15,0.7333333333333333,5.673603078281684,85.10404617422526,6,8,1.0,12.188927366811182,97.51141893448946,3,60.96563374821619,2,10.84995589171512,0.0,True,,V8_PJ_V7TOP_AND_3A_TREND,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with&g_3a_trend_unanimity_with,v8,6,1061.5743141334751,668.9762880841677,668.9762880841677
