n_full,wr_full,sum_pnl_full,dpt_full_25,n_train,wr_train,dpt_train_25,sum_pnl_train,n_val,wr_val,dpt_val_25,sum_pnl_val,n_lock,wr_lock,dpt_lock_25,sum_pnl_lock,max_dd_25,loss_streak,sharpe_daily,fires_per_day,bootstrap_p,boot_ci_lo_$25,boot_ci_hi_$25,days_lock,passes_v7,fails,sleeve_id,gate_stack,cohort,n_gates,v7_score,threshold
64,0.828125,609.2813630895398,9.52002129827406,35,0.8,9.618930418632388,336.6625646521336,8,0.625,1.8410422185987638,14.72833774879011,21,0.9523809523809523,12.28049812802934,257.89046068861614,75.0,3,12.101797663949993,3.0476190476190474,0.0,111.01797111974469,395.67761409237073,4.0,True,,V7_PI_S1_BTC_15M_TREND,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with,HUR22,5,56.276312243457944,
90,0.7444444444444445,685.9996881398326,7.622218757109252,51,0.7058823529411765,6.997374990103838,356.8661244952957,13,0.6923076923076923,3.8764930789150887,50.39441002589615,26,0.8461538461538461,10.720736677640037,278.73915361864096,100.0,4,10.401029678445921,4.285714285714286,0.0,115.74031140498322,441.73799583229857,4.0,True,,V6_BASELINE_VWAP_3070,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_entry_vwap_in_30_70,HUR22,5,54.66524551937643,
57,0.8245614035087719,537.3414991649801,9.42704384499965,33,0.8181818181818182,10.527510658674515,347.40785173625903,7,0.5714285714285714,-1.6648089511995963,-11.653662658397174,17,0.9411764705882353,11.858077063948134,201.58731008711828,60.96563374821619,2,11.60015334340419,2.7142857142857144,0.0,92.1945040065677,326.96438397966267,4.0,True,,V7_PI_S1_TS_AND_BTC_15M,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_btc_15m_trend_with,HUR22,6,48.8921042513723,
63,0.8095238095238095,542.5361065234772,8.611684230531385,38,0.7894736842105263,9.245078554919223,351.3129850869305,7,0.5714285714285714,-1.6648089511995963,-11.653662658397174,18,0.9444444444444444,11.270932449719114,202.87678409494404,60.96563374821619,2,10.746098076263362,3.0,0.0,92.1945040065677,328.25385798748846,4.0,True,,V6_BASELINE_PW_TREND_SLOPE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with,HUR22,5,47.81851659295135,
56,0.8214285714285714,503.7629660158034,8.995767250282203,32,0.8125,10.2168088240936,326.9378823709952,6,0.5,-4.3419500750226545,-26.051700450135925,18,0.9444444444444444,11.270932449719114,202.87678409494404,60.96563374821619,2,11.363751628437416,2.6666666666666665,0.0,92.1945040065677,328.25385798748846,4.0,True,,V7_PG_RV_ABOVE_MED,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_rv_60_above_med,HUR22,6,47.81851659295135,
37,0.8648648648648649,328.8861795325737,8.888815663042532,19,0.8421052631578947,9.426029344850441,179.0945575521584,3,0.3333333333333333,-11.445355505218403,-34.33606651565521,15,1.0,12.275179233071366,184.1276884960705,50.0,2,11.100622803671184,2.3125,0.0,62.25711471745553,370.3561363387083,5.0,True,,V7_PG_VOL_EXTREME_CORE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_extreme_high&g_pw_trend_slope_with,HUR22,5,47.541564741396535,
35,0.8571428571428571,300.95381678872576,8.59868047967788,18,0.8333333333333334,9.038422566335676,162.69160619404215,3,0.3333333333333333,-11.445355505218403,-34.33606651565521,14,1.0,12.3284483650242,172.59827711033878,50.0,2,10.287758390159217,2.3333333333333335,0.0,55.33776112052074,336.48679276133794,4.0,True,,V7_PG_VOL_EXTREME_TS,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_vol_extreme_high,HUR22,6,46.128829892453915,
43,0.813953488372093,403.52822900877885,9.38437741880881,20,0.8,11.612804622957487,232.25609245914973,6,0.6666666666666666,-0.8479102142654681,-5.087461285592808,17,0.8823529411764706,10.37409399030717,176.35959783522188,50.0,2,11.76378643209673,3.0714285714285716,0.0,82.57637975524285,293.758749782881,3.0,True,,V6_BASELINE_DOWN_ONLY,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_dir_down,HUR22,5,42.773485292121855,
33,0.8484848484848485,328.26460982821357,9.947412419036775,21,0.8095238095238095,9.948301044548394,208.91432193551628,3,0.6666666666666666,1.1441346811741842,3.4324040435225527,9,1.0,12.879764872130528,115.91788384917474,25.0,1,11.317078764221664,1.9411764705882353,0.0,43.53196435107323,166.58576203155604,4.0,True,,V7_PI_S1_BTC_RF_AND_BTC_15M,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_rf_with&g_pw_btc_15m_trend_with,HUR22,6,38.63929461639158,
45,0.8222222222222222,377.0899886421684,8.37977752538152,25,0.84,10.362391869718879,259.05979674297197,6,0.5,-4.3419500750226545,-26.051700450135925,14,0.9285714285714286,10.291563739238025,144.08189234933235,60.96563374821619,2,11.144434361491331,2.6470588235294117,0.0,33.32326812151821,305.9139257958498,4.0,True,,V7_PI_S1_TS_AND_M1V,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_m1v_with,HUR22,6,38.507505486374804,
