n_full,wr_full,sum_pnl_full,dpt_full_25,n_train,wr_train,dpt_train_25,sum_pnl_train,n_val,wr_val,dpt_val_25,sum_pnl_val,n_lock,wr_lock,dpt_lock_25,sum_pnl_lock,max_dd_25,loss_streak,sharpe_daily,fires_per_day,bootstrap_p,boot_ci_lo_$25,boot_ci_hi_$25,days_lock,passes_v7,fails,sleeve_id,gate_stack,cohort,n_gates,v7_score,threshold
21,0.8095238095238095,179.01800686345797,8.524666993497998,8,0.875,14.720717007068664,117.76573605654931,3,0.3333333333333333,-11.988544582738733,-35.9656337482162,10,0.9,9.721790455512483,97.21790455512483,50.0,2,9.865778250130738,2.1,0.0,46.92240047097205,152.74366396754175,3.0,True,,V7_PI_DOWN_TS_M1V,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_m1v_with&g_dir_down,HUR22,7,30.7430007743053,
40,0.75,244.6283881578549,6.115709703946373,25,0.72,6.792858691155351,169.82146727888377,3,0.3333333333333333,-10.250000062088171,-30.750000186264515,12,0.9166666666666666,8.796410088769639,105.55692106523567,50.0,2,7.184934078847242,2.2222222222222223,0.0,33.32326812151821,177.79057400895314,4.0,True,,V7_PI_S1_TS_AND_MARKOV,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_markov_with,HUR22,6,30.471658395920944,
30,0.8,241.52330184596707,8.050776728198903,21,0.7619047619047619,8.288130249206164,174.05073523332945,2,0.5,-5.482816874108099,-10.965633748216199,7,1.0,11.205457194407689,78.43820036085383,50.0,2,8.161658197473663,1.875,0.0,21.52418531453868,135.35221540716893,4.0,True,,V7_PI_S1_TS_AND_XA_BTC_ETH,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_xa_btc_eth_with,HUR22,6,29.646853063182295,
27,0.7777777777777778,176.23883569108995,6.527364284855183,13,0.7692307692307693,8.3653921091124,108.75009741846121,3,0.3333333333333333,-10.250000062088171,-30.750000186264515,11,0.9090909090909091,8.930794405353932,98.23873845889325,50.0,2,11.045537757216541,2.25,0.0,33.32326812151821,168.38446412453243,4.0,True,,V7_PI_S1_TS_M1V_MARKOV,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_m1v_with&g_pw_markov_with,HUR22,7,29.620094122364165,
36,0.8333333333333334,320.9795336983899,8.916098158288609,25,0.8,9.51277821144751,237.81945528618775,3,0.6666666666666666,1.1441346811741842,3.4324040435225527,8,1.0,9.965959296084947,79.72767436867957,50.0,2,9.233892808654193,2.1176470588235294,0.0,24.103133330190236,135.35221540716893,4.0,True,,V7_PI_S1_TS_AND_BTC_RF,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_btc_rf_with,HUR22,6,28.187989597163114,
31,0.7741935483870968,214.28276840378538,6.912347367864045,18,0.7222222222222222,6.526053064578712,117.46895516241682,4,0.75,5.350456682349007,21.401826729396028,9,0.8888888888888888,8.379109612441392,75.41198651197253,25.500001622570807,1,8.691541557676862,1.8235294117647058,0.019,0.613640454108598,150.21033256983645,4.0,True,,V7_PI_S1_XA_UNANIMITY,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_xa_unanimity_with,HUR22,5,25.137328837324176,
15,0.8,135.11207639602628,9.007471759735086,8,0.75,11.361056356248623,90.88845084998898,2,0.5,-5.482816874108099,-10.965633748216199,5,1.0,11.037851858850697,55.18925929425349,50.0,2,7.07888087128145,1.3636363636363635,0.0,11.137650464952806,121.40838791930389,3.0,True,,V7_PI_DOWN_TS_BTC_RF,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_btc_rf_with&g_dir_down,HUR22,7,24.681387081962573,
20,0.8,161.6511499370892,8.08255749685446,13,0.7692307692307693,9.053551115008405,117.69616449510926,2,0.5,-5.482816874108099,-10.965633748216199,5,1.0,10.984123838039228,54.920619190196135,25.0,1,8.716628235907201,1.3333333333333333,0.0,6.887820101853826,123.83146406646239,4.0,True,,V7_PI_S1_TS_XA_BTC_15M,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_xa_unanimity_with&g_pw_btc_15m_trend_with,HUR22,7,24.561247575131606,
21,0.7619047619047619,136.6511499370892,6.507197616051867,14,0.7142857142857143,6.621154606793518,92.69616449510926,2,0.5,-5.482816874108099,-10.965633748216199,5,1.0,10.984123838039228,54.920619190196135,33.66666828923749,1,6.467079056723673,1.3125,0.0,6.887820101853826,123.83146406646239,4.0,True,,V7_PI_S1_TS_AND_XA,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_xa_unanimity_with,HUR22,6,24.561247575131606,
29,0.7931034482758621,189.89813010644508,6.548211382980865,19,0.7894736842105263,8.233897433882689,156.4440512437711,2,0.5,-5.482816874108099,-10.965633748216199,8,0.875,5.552464076361266,44.41971261089013,25.0,1,9.432759066926584,2.230769230769231,0.0,1.7263809933349639,128.47025512803015,3.0,True,,V7_PI_S1_M1V_AND_BTC_RF,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_m1v_with&g_pw_btc_rf_with,HUR22,6,15.704740002759008,
24,0.7916666666666666,204.85418209399685,8.535590920583202,14,0.7857142857142857,10.570734904304212,147.99028866025895,4,0.75,5.350456682349007,21.401826729396028,6,0.8333333333333334,5.910344450723643,35.46206670434186,33.66666828923749,1,8.90131866110944,1.5,0.193,-50.19447084457683,118.88246560114689,4.0,True,,V7_PI_S1_XA_UNANIMITY_STR,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_xa_unanimity_strong_with,HUR22,5,14.477328108363038,
25,0.84,202.4184466181241,8.096737864724965,18,0.8333333333333334,10.080225069098397,181.44405124377113,2,0.5,-5.482816874108099,-10.965633748216199,5,1.0,6.388005824513838,31.940029122569193,25.0,1,10.014359849611274,1.9230769230769231,0.0,3.062501711305266,81.61993519144951,3.0,True,,V7_PI_S1_TS_M1V_BTC_RF,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_m1v_with&g_pw_btc_rf_with,HUR22,7,14.284015264277535,
