tf,mode,s_now,tau_s,reason,signal,strike,symbol,cvd_30s,cvd_60s,fair_up,fee_usd,fill_qty,macd_hist,fill_price,kelly_mult,kelly_rule,entry_phase,fill_status,rvol_30_300,condition_id,fair_edge_bp,qty_intended,vwap_dev_bps,strategy_mode,predicted_edge_pp,kelly_notional_usd,predicted_cost_bps,_at
5m,paper,85.04,180.0,order_placed,DOWN,85.11,SOL,-322758.88823,-258466.34651,0.22478257460444362,2.6214759648,150.0000,-0.012862525154771057,0.51832,3.0,S4,t_plus_120,filled,3.6202115610779773,0x546656bf7ba9cc5f25d0b69dc7860d8fa7cd5e0a6cca0d7e53da3f4312289ad5,-2852.174253955564,25,-15.308330566898812,vwap_kelly_ensemble,3.0,75.0,400.0,2026-05-26 15:22:06.307423+02
5m,paper,2116.19,180.0,order_placed,DOWN,2118.86,ETH,-670681.3637139999,-777217.7129979999,0.016870003757822105,2.7882360064427627,159.5744,-0.30932382212774634,0.4803433382798243327250486294,3.0,S4,t_plus_120,filled,3.5482287987698835,0x9b7c65f8d54d60a9549ca2df7a7ac6fd809b609d73e975d3739b97c0a07a0471,-5231.299962421779,25,-17.08608459928603,vwap_kelly_ensemble,3.0,75.0,400.0,2026-05-26 15:22:06.45699+02
5m,paper,76824.02,180.0,order_placed,DOWN,76879.32,BTC,-25563.50001209999,-108166.8036644,0.17485621696203113,3.783602793866537,217.3913,0.3697639582349992,0.4630779198615583972311679446,4.0,S4,t_plus_120,filled,0.151191274525998,0x9f3a5ff333285a06dceecbdd7d19d2bb9326243c5be5474841478098b0e49be5,-3751.4378303796893,25,-8.10039175662035,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 15:27:11.603816+02
5m,paper,85.01,180.0,order_placed,DOWN,85.12,SOL,-58666.48297,-44586.54426,0.13198243498666384,3.4905432786,200.0000,0.0010181482735475006,0.52599,4.0,S4,t_plus_120,filled,0.667952430855508,0x1697c12add391bbaa04af4b409732c6f0231d725d85e801f34f11dae399a2353,-3780.1756501333616,25,-12.693651311210122,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 15:27:11.604408+02
5m,paper,76748.4,180.0,order_placed,DOWN,76798.04,BTC,314836.93217820005,-291842.0558557997,0.24524476231278852,2.73,156.2500,-1.3453003627346294,0.48,3.0,S8,t_plus_120,filled,1.407050697188254,0xf6ab81c8a992b7f6c142cbdc51c61be264acd4f778823a559d1e6a693e1987e2,-2847.552376872115,25,-2.5801424708951446,vwap_kelly_ensemble,3.0,75.0,400.0,2026-05-26 15:32:10.9364+02
5m,paper,85.07,180.0,order_placed,UP,85.01,SOL,93986.72416000003,218339.78410999995,0.6598957750035203,1.6782009474158097,96.1538,0.0028340643396158856,0.5258295979982070391393787869,2.0,S4,t_plus_120,filled,2.777249617682125,0x8c66a713e62a35fff7a40711e2f687db457c952858633525eb146b4e3a546a02,1398.9577500352025,25,20.059714588915355,vwap_kelly_ensemble,3.0,50.0,400.0,2026-05-26 15:42:11.762418+02
5m,paper,77062.44,180.0,order_placed,UP,76906.01,BTC,294789.41864259995,363641.450148,0.987085154578425,3.5,200.0000,0.015253748029737224,0.5,4.0,S4,t_plus_120,filled,0.7526364471090226,0x701e07300445b603dfde1216c0587b09f6033379eae18b7a86dbeacb73b329c9,4870.85154578425,25,9.941205213474706,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 15:47:07.965684+02
5m,paper,85.61,180.0,order_placed,UP,85.45,SOL,88056.65567,167268.56903000004,0.845678960264391,3.429102984798715,196.0784,0.0032209942453458205,0.5128574488571918171506907441,4.0,S4,t_plus_120,filled,0.8367889959091741,0xa8cea2757ce6f7ebfb45f9d1f9ab5aff9ce8fafd4cc86884dcb9f0ce6da0fd06,3356.7896026439103,25,12.665984366736385,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 15:57:09.780825+02
5m,paper,77271.45,180.0,order_placed,UP,77231.56,BTC,-91975.0059465,44078.790552499995,0.6698494282727221,1.7849997144,102.0408,1.188300767300376,0.49,2.0,S8,t_plus_120,filled,1.5775629425624318,0xda0f6524c82843bea1f33a11262d81596ef25e753be06d392d9799c0b4a59990,1798.494282727221,25,4.801067049401549,vwap_kelly_ensemble,3.0,50.0,400.0,2026-05-26 16:02:04.269828+02
5m,paper,77220.0,180.0,order_placed,UP,77188.0,BTC,315958.2633578,368858.0639579,0.6697884536571005,1.7149997256,98.0392,1.8297815666142823,0.51,2.0,S8,t_plus_120,filled,1.3492672131716923,0x0ec486b6c2f43d03012557510e101955ad84b5524bb61759232347db84ee95cb,1597.884536571005,25,0.9327366983362935,vwap_kelly_ensemble,3.0,50.0,400.0,2026-05-26 16:07:07.95753+02
