proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,BUY,41159759489201808159182108303550986739712281249688086046555093078929049554321,0x383a434d0918c17a8efccf5a494e01b2b638a9517d4be28f89750ec0f4e48ff5,30,0.8,1782979187,"Bitcoin Up or Down - July 2, 3:45AM-4:00AM ET",btc-updown-15m-1782978300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-15m-1782978300,Up,0,l5Zn1bWoM8eTsK,Noisy-Colonisation,,,,0xb8ee31680502b44491e8574c4be11a833741889dd83959c854cbce4c48e8258e
0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,BUY,41159759489201808159182108303550986739712281249688086046555093078929049554321,0x383a434d0918c17a8efccf5a494e01b2b638a9517d4be28f89750ec0f4e48ff5,30,0.8,1782979187,"Bitcoin Up or Down - July 2, 3:45AM-4:00AM ET",btc-updown-15m-1782978300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-15m-1782978300,Up,0,l5Zn1bWoM8eTsK,Noisy-Colonisation,,,,0x61aab7aacb2d10ea7d5684e3749d1e8139fee1c9230d8df9a9d26f9b3851340d
0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,BUY,50296623403455970637660688494241581450137744744800918454934519003194094440831,0xf9f5ce604030e965827e405652c34595fca9803264f266f106ead15d7fbb64ac,30,0.3,1782979187,"Bitcoin Up or Down - July 2, 3:55AM-4:00AM ET",btc-updown-5m-1782978900,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1782978900,Up,0,l5Zn1bWoM8eTsK,Noisy-Colonisation,,,,0x6aeadd1b764ea0bfcb8aaabe729e10baf911002503618035c06491a2e1cdbbdb
0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,BUY,58189821378428648753264188403768342571489279111049550633758639306792999940283,0x383a434d0918c17a8efccf5a494e01b2b638a9517d4be28f89750ec0f4e48ff5,6.24,0.22,1782979183,"Bitcoin Up or Down - July 2, 3:45AM-4:00AM ET",btc-updown-15m-1782978300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-15m-1782978300,Down,1,l5Zn1bWoM8eTsK,Noisy-Colonisation,,,,0xe00a8aad41beaf9960ec0e047884f76730e6010f1075088537387775bf720ea2
0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,BUY,58189821378428648753264188403768342571489279111049550633758639306792999940283,0x383a434d0918c17a8efccf5a494e01b2b638a9517d4be28f89750ec0f4e48ff5,5.535713,0.2799998844,1782979180,"Bitcoin Up or Down - July 2, 3:45AM-4:00AM ET",btc-updown-15m-1782978300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-15m-1782978300,Down,1,l5Zn1bWoM8eTsK,Noisy-Colonisation,,,,0x186ea7ac69d644f98c34b3359be9f47aa74a7a257ceffd669e58339a2c0d3d6f
0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,BUY,58189821378428648753264188403768342571489279111049550633758639306792999940283,0x383a434d0918c17a8efccf5a494e01b2b638a9517d4be28f89750ec0f4e48ff5,5.535713,0.2799998844,1782979180,"Bitcoin Up or Down - July 2, 3:45AM-4:00AM ET",btc-updown-15m-1782978300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-15m-1782978300,Down,1,l5Zn1bWoM8eTsK,Noisy-Colonisation,,,,0x110668783aa8156ccc548ab68abd46dbdc3546dd86185d9d8ba80d47bdc1ede3
0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,BUY,58189821378428648753264188403768342571489279111049550633758639306792999940283,0x383a434d0918c17a8efccf5a494e01b2b638a9517d4be28f89750ec0f4e48ff5,30,0.64,1782979102,"Bitcoin Up or Down - July 2, 3:45AM-4:00AM ET",btc-updown-15m-1782978300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-15m-1782978300,Down,1,l5Zn1bWoM8eTsK,Noisy-Colonisation,,,,0x4b0ba245068976a107739ae49e308c440220e0bf276b58e7da691014abff50c0
0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,BUY,58189821378428648753264188403768342571489279111049550633758639306792999940283,0x383a434d0918c17a8efccf5a494e01b2b638a9517d4be28f89750ec0f4e48ff5,30,0.74,1782979082,"Bitcoin Up or Down - July 2, 3:45AM-4:00AM ET",btc-updown-15m-1782978300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-15m-1782978300,Down,1,l5Zn1bWoM8eTsK,Noisy-Colonisation,,,,0xc205c696752f5d3a1ccd4f75de32634d2cd678bc596e57b07909b66748164476
0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,BUY,41159759489201808159182108303550986739712281249688086046555093078929049554321,0x383a434d0918c17a8efccf5a494e01b2b638a9517d4be28f89750ec0f4e48ff5,5,0.85,1782979048,"Bitcoin Up or Down - July 2, 3:45AM-4:00AM ET",btc-updown-15m-1782978300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-15m-1782978300,Up,0,l5Zn1bWoM8eTsK,Noisy-Colonisation,,,,0x1f050f2d3951b38873956a13ba42d5f6f071861e91f2012db54b531666a71b3f
0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,BUY,41159759489201808159182108303550986739712281249688086046555093078929049554321,0x383a434d0918c17a8efccf5a494e01b2b638a9517d4be28f89750ec0f4e48ff5,5,0.85,1782979048,"Bitcoin Up or Down - July 2, 3:45AM-4:00AM ET",btc-updown-15m-1782978300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-15m-1782978300,Up,0,l5Zn1bWoM8eTsK,Noisy-Colonisation,,,,0xd06ec0da91a7eb89f89e677312d8ed488f4749288c6cdf4ca9ed0cf8b0103e3a
