slug,c_dn,c_up,s_dn,s_up,paired,pf,pvs,win,win_sh,win_cost,win_px,gross,fee,net
btc-updown-5m-1782908100,0.0,13.6038,0.0,17.22,0.0,0.0,,Up,17.22,13.6038,0.79,3.616199999999999,0.19997585999999998,3.4162241399999993
btc-updown-5m-1782908400,46.8,0.0,60.0,0.0,0.0,0.0,,Up,0.0,0.0,,-46.8,0.0,-46.8
btc-updown-5m-1782908700,10.9713,82.1566,26.77,102.88,26.77,0.26020606531881807,1.2084028997374676,Up,102.88,82.1566,0.7985672628304821,9.752099999999999,1.158432017017885,8.593667982982113
btc-updown-5m-1782909000,62.2,0.0,120.0,0.0,0.0,0.0,,Down,120.0,62.2,0.5183333333333333,57.8,2.097176666666667,55.70282333333333
btc-updown-5m-1782909300,26.939999999999998,0.0,50.4,0.0,0.0,0.0,,Down,50.4,26.939999999999998,0.5345238095238095,23.46,0.8777950000000001,22.582205000000002
btc-updown-5m-1782909600,0.0,41.7478,0.0,65.5,0.0,0.0,,Down,0.0,0.0,,-41.7478,0.0,-41.7478
btc-updown-5m-1782909900,92.29998900000001,3.5999999999999996,100.326075,30.0,30.0,0.29902495438000537,1.04,Down,100.326075,92.29998900000001,0.92,4.426085999999998,0.5168799383999999,3.909206061599998
btc-updown-5m-1782910200,6.3,95.3324,30.0,114.58,30.0,0.26182579856868565,1.042016058648979,Up,114.58,95.3324,0.832016058648979,12.947599999999994,1.1210018603316456,11.826598139668349
btc-updown-5m-1782910500,0.0,15.0,0.0,30.0,0.0,0.0,,Up,30.0,15.0,0.5,15.0,0.525,14.475
btc-updown-5m-1782910800,1.2,42.0,30.0,60.0,30.0,0.5,0.74,Up,60.0,42.0,0.7,16.799999999999997,0.8820000000000002,15.917999999999997
btc-updown-5m-1782911100,0.0,28.799999999999997,0.0,60.0,0.0,0.0,,Up,60.0,28.799999999999997,0.4799999999999999,31.200000000000003,1.04832,30.151680000000002
btc-updown-5m-1782911400,0.0,115.69998900000002,0.0,130.326075,0.0,0.0,,Up,130.326075,115.69998900000002,0.8877731413303134,14.626085999999987,0.9089252419511111,13.717160758048875
btc-updown-5m-1782911700,10.799999999999999,27.981298001238166,30.0,43.083073999999996,30.0,0.696329143087608,1.0094731086560391,Down,30.0,10.799999999999999,0.36,-8.781298001238163,0.48384,-9.265138001238164
btc-updown-5m-1782912000,0.0,28.799999999999997,0.0,60.0,0.0,0.0,,Up,60.0,28.799999999999997,0.4799999999999999,31.200000000000003,1.04832,30.151680000000002
btc-updown-5m-1782912300,8.6204,0.0,9.37,0.0,0.0,0.0,,Down,9.37,8.6204,0.92,0.7495999999999992,0.04827423999999998,0.7013257599999991
btc-updown-5m-1782912600,252.8277969982706,0.0,323.350016,0.0,0.0,0.0,,Down,323.350016,252.8277969982706,0.7819012973182305,70.52221900172938,3.859899016904881,66.6623199848245
btc-updown-5m-1782912900,67.3522,175.50249700045376,125.91,243.401798,125.91,0.5172928098090713,1.2559636232378115,Up,243.401798,175.50249700045376,0.7210402652837172,0.5471009995462452,3.4270691003704257,-2.8799681008241804
btc-updown-5m-1782913200,0.0,55.949999000000005,0.0,65.35294,0.0,0.0,,Up,65.35294,55.949999000000005,0.8561206121713882,9.402940999999998,0.563503612359201,8.839437387640798
btc-updown-5m-1782913500,5.04999900000008,0.0,56.11111,0.0,0.0,0.0,,Up,0.0,0.0,,-5.04999900000008,0.0,-5.04999900000008
btc-updown-5m-1782913800,25.743299999999998,0.0,149.37,0.0,0.0,0.0,,Up,0.0,0.0,,-25.743299999999998,0.0,-25.743299999999998
btc-updown-5m-1782914100,0.0,15.299999999999999,0.0,60.0,0.0,0.0,,Up,60.0,15.299999999999999,0.255,44.7,0.797895,43.902105000000006
btc-updown-5m-1782914400,40.7,1.45,55.0,35.0,35.0,0.6363636363636364,0.7814285714285716,Down,55.0,40.7,0.7400000000000001,12.849999999999994,0.7407399999999998,12.109259999999994
btc-updown-5m-1782914700,0.0,55.19999599934067,0.0,60.329666,0.0,0.0,,Up,60.329666,55.19999599934067,0.9149726769470374,5.129670000659331,0.32854555246507267,4.801124448194258
btc-updown-5m-1782915300,21.900000000000002,51.6,60.0,90.0,60.0,0.6666666666666666,0.9383333333333335,Up,90.0,51.6,0.5733333333333334,16.5,1.5411200000000003,14.95888
btc-updown-5m-1782915600,0.0,1.05,0.0,35.0,0.0,0.0,,Down,0.0,0.0,,-1.05,0.0,-1.05
btc-updown-5m-1782915900,0.0,15.0,0.0,30.0,0.0,0.0,,Down,0.0,0.0,,-15.0,0.0,-15.0
