84,btc-updown-5m-1782273600,Up,1782273605000000,1782273665085000
85,btc-updown-5m-1782279600,Down,1782279605000000,1782279665085000
86,btc-updown-5m-1782301800,Down,1782301805000000,1782301865085000
87,btc-updown-5m-1782302100,Down,1782302105000000,1782302165085000
88,btc-updown-5m-1782306900,Up,1782306905000000,1782306965085000
89,btc-updown-5m-1782307500,Down,1782307505000000,1782307565085000
90,btc-updown-5m-1782308100,Down,1782308105000000,1782308165085000
91,btc-updown-5m-1782308700,Up,1782308705000000,1782308765085000
92,btc-updown-5m-1782309300,Down,1782309305000000,1782309365085000
93,btc-updown-5m-1782312000,Up,1782312005000000,1782312065085000
94,btc-updown-5m-1782312600,Up,1782312605000000,1782312665085000
95,btc-updown-5m-1782313200,Down,1782313205000000,1782313265085000
96,btc-updown-5m-1782314400,Up,1782314405000000,1782314465085000
97,btc-updown-5m-1782315000,Down,1782315005000000,1782315065085000
98,btc-updown-5m-1782315300,Down,1782315305000000,1782315365085000
99,btc-updown-5m-1782315900,Down,1782315905000000,1782315965085000
100,btc-updown-5m-1782316200,Up,1782316205000000,1782316265085000
101,btc-updown-5m-1782318900,Up,1782318905000000,1782318965085000
102,btc-updown-5m-1782319800,Up,1782319805000000,1782319865085000
103,btc-updown-5m-1782321900,Down,1782321905000000,1782321965085000
104,btc-updown-5m-1782322800,Down,1782322805000000,1782322865085000
105,btc-updown-5m-1782324000,Up,1782324005000000,1782324065085000
106,btc-updown-5m-1782324600,Down,1782324605000000,1782324665085000
107,btc-updown-5m-1782327600,Up,1782327605000000,1782327665085000
108,btc-updown-5m-1782328200,Down,1782328205000000,1782328265085000
109,btc-updown-5m-1782328500,Down,1782328505000000,1782328565085000
110,btc-updown-5m-1782329100,Up,1782329105000000,1782329165085000
111,btc-updown-5m-1782330300,Up,1782330305000000,1782330365085000
112,btc-updown-5m-1782330900,Down,1782330905000000,1782330965085000
113,btc-updown-5m-1782333600,Up,1782333605000000,1782333665085000
114,btc-updown-5m-1782334500,Down,1782334505000000,1782334565085000
115,btc-updown-5m-1782334800,Up,1782334805000000,1782334865085000
116,btc-updown-5m-1782335700,Down,1782335705000000,1782335765085000
117,btc-updown-5m-1782342300,Down,1782342305000000,1782342365085000
118,btc-updown-5m-1782342900,Up,1782342905000000,1782342965085000
119,btc-updown-5m-1782363900,Up,1782363905000000,1782363965085000
120,btc-updown-5m-1782365100,Down,1782365105000000,1782365165085000
121,btc-updown-5m-1782371400,Down,1782371405000000,1782371465085000
122,btc-updown-5m-1782386100,Down,1782386105000000,1782386165085000
123,btc-updown-5m-1782387000,Up,1782387005000000,1782387065085000
124,btc-updown-5m-1782388800,Up,1782388805000000,1782388865085000
125,btc-updown-5m-1782390600,Up,1782390605000000,1782390665085000
126,btc-updown-5m-1782393900,Down,1782393905000000,1782393965085000
127,btc-updown-5m-1782395100,Up,1782395105000000,1782395165085000
128,btc-updown-5m-1782395400,Up,1782395405000000,1782395465085000
129,btc-updown-5m-1782396600,Up,1782396605000000,1782396665085000
130,btc-updown-5m-1782396900,Up,1782396905000000,1782396965085000
131,btc-updown-5m-1782397200,Up,1782397205000000,1782397265085000
132,btc-updown-5m-1782397500,Up,1782397505000000,1782397565085000
133,btc-updown-5m-1782398100,Down,1782398105000000,1782398165085000
134,btc-updown-5m-1782398700,Up,1782398705000000,1782398765085000
135,btc-updown-5m-1782399000,Up,1782399005000000,1782399065085000
136,btc-updown-5m-1782399300,Down,1782399305000000,1782399365085000
137,btc-updown-5m-1782399900,Down,1782399905000000,1782399965085000
138,btc-updown-5m-1782400500,Down,1782400505000000,1782400565085000
139,btc-updown-5m-1782400800,Down,1782400805000000,1782400865085000
140,btc-updown-5m-1782401700,Up,1782401705000000,1782401765085000
141,btc-updown-5m-1782403200,Up,1782403205000000,1782403265085000
142,btc-updown-5m-1782403500,Down,1782403505000000,1782403565085000
143,btc-updown-5m-1782405000,Down,1782405005000000,1782405065085000
144,btc-updown-5m-1782407700,Up,1782407705000000,1782407765085000
145,btc-updown-5m-1782408000,Down,1782408005000000,1782408065085000
146,btc-updown-5m-1782408900,Down,1782408905000000,1782408965085000
147,btc-updown-5m-1782409500,Down,1782409505000000,1782409565085000
148,btc-updown-5m-1782409800,Down,1782409805000000,1782409865085000
149,btc-updown-5m-1782414600,Up,1782414605000000,1782414665085000
150,btc-updown-5m-1782415200,Up,1782415205000000,1782415265085000
151,btc-updown-5m-1782416100,Down,1782416105000000,1782416165085000
152,btc-updown-5m-1782416400,Up,1782416405000000,1782416465085000
153,btc-updown-5m-1782416700,Down,1782416705000000,1782416765085000
154,btc-updown-5m-1782417000,Up,1782417005000000,1782417065085000
155,btc-updown-5m-1782417600,Up,1782417605000000,1782417665085000
156,btc-updown-5m-1782421500,Up,1782421505000000,1782421565085000
157,btc-updown-5m-1782423300,Down,1782423305000000,1782423365085000
158,btc-updown-5m-1782423600,Down,1782423605000000,1782423665085000
159,btc-updown-5m-1782432900,Down,1782432905000000,1782432965085000
160,btc-updown-5m-1782433500,Down,1782433505000000,1782433565085000
161,btc-updown-5m-1782437400,Up,1782437405000000,1782437465085000
162,btc-updown-5m-1782438000,Up,1782438005000000,1782438065085000
163,btc-updown-5m-1782438600,Up,1782438605000000,1782438665085000
164,btc-updown-5m-1782439200,Up,1782439205000000,1782439265085000
165,btc-updown-5m-1782440100,Up,1782440105000000,1782440165085000
166,btc-updown-5m-1782440400,Up,1782440405000000,1782440465085000
167,btc-updown-5m-1782441000,Down,1782441005000000,1782441065085000
168,btc-updown-5m-1782441300,Up,1782441305000000,1782441365085000
169,btc-updown-5m-1782442500,Up,1782442505000000,1782442565085000
170,btc-updown-5m-1782443700,Down,1782443705000000,1782443765085000
171,btc-updown-5m-1782445800,Down,1782445805000000,1782445865085000
172,btc-updown-5m-1782448200,Down,1782448205000000,1782448265085000
173,btc-updown-5m-1782453600,Down,1782453605000000,1782453665085000
174,btc-updown-5m-1782456300,Down,1782456305000000,1782456365085000
175,btc-updown-5m-1782460800,Up,1782460805000000,1782460865085000
176,btc-updown-5m-1782464700,Up,1782464705000000,1782464765085000
177,btc-updown-5m-1782466800,Down,1782466805000000,1782466865085000
178,btc-updown-5m-1782467400,Up,1782467405000000,1782467465085000
179,btc-updown-5m-1782470400,Up,1782470405000000,1782470465085000
180,btc-updown-5m-1782474300,Down,1782474305000000,1782474365085000
181,btc-updown-5m-1782474900,Up,1782474905000000,1782474965085000
182,btc-updown-5m-1782476700,Up,1782476705000000,1782476765085000
183,btc-updown-5m-1782477300,Down,1782477305000000,1782477365085000
184,btc-updown-5m-1782478200,Up,1782478205000000,1782478265085000
185,btc-updown-5m-1782478800,Up,1782478805000000,1782478865085000
186,btc-updown-5m-1782479400,Up,1782479405000000,1782479465085000
187,btc-updown-5m-1782479700,Up,1782479705000000,1782479765085000
188,btc-updown-5m-1782480000,Up,1782480005000000,1782480065085000
189,btc-updown-5m-1782480300,Down,1782480305000000,1782480365085000
190,btc-updown-5m-1782480600,Up,1782480605000000,1782480665085000
191,btc-updown-5m-1782480900,Down,1782480905000000,1782480965085000
192,btc-updown-5m-1782481500,Down,1782481505000000,1782481565085000
193,btc-updown-5m-1782482100,Up,1782482105000000,1782482165085000
194,btc-updown-5m-1782482400,Down,1782482405000000,1782482465085000
195,btc-updown-5m-1782483300,Down,1782483305000000,1782483365085000
196,btc-updown-5m-1782483600,Up,1782483605000000,1782483665085000
197,btc-updown-5m-1782484200,Down,1782484205000000,1782484265085000
198,btc-updown-5m-1782486000,Up,1782486005000000,1782486065085000
199,btc-updown-5m-1782486300,Down,1782486305000000,1782486365085000
200,btc-updown-5m-1782486900,Down,1782486905000000,1782486965085000
201,btc-updown-5m-1782487200,Up,1782487205000000,1782487265085000
202,btc-updown-5m-1782488100,Up,1782488105000000,1782488165085000
203,btc-updown-5m-1782491100,Up,1782491105000000,1782491165085000
204,btc-updown-5m-1782491400,Up,1782491405000000,1782491465085000
205,btc-updown-5m-1782491700,Up,1782491705000000,1782491765085000
206,btc-updown-5m-1782492600,Down,1782492605000000,1782492665085000
