fid,slug,outcome,ts,price,size,bid0,ask0,snap_us,age_s,cls,ticks_vs_bid
42,btc-updown-15m-1782969300,Down,1782969880,0.8,52.67,0.82,0.83,1782969879729000.0,0.271,MAKER_at_bid,-2.0
43,eth-updown-15m-1782969300,Down,1782969877,0.65,17.0,0.64,0.67,1782969873743000.0,3.257,INSIDE_spread,1.0
44,btc-updown-15m-1782969300,Down,1782969859,0.79,25.61,0.79,0.8,1782969857228000.0,1.772,MAKER_at_bid,0.0
45,eth-updown-15m-1782969300,Down,1782969859,0.66,14.99,0.65,0.66,1782969857496000.0,1.504,TAKER_at_ask,1.0
46,btc-updown-15m-1782969300,Up,1782969850,0.22,10.0,0.23,0.24,1782969849616000.0,0.384,MAKER_at_bid,-1.0
47,btc-updown-15m-1782969300,Up,1782969850,0.23,17.0,0.23,0.24,1782969849616000.0,0.384,MAKER_at_bid,0.0
48,eth-updown-15m-1782969300,Down,1782969829,0.68,34.0,0.69,0.7,1782969828241000.0,0.759,MAKER_at_bid,-1.0
49,btc-updown-15m-1782969300,Up,1782969826,0.23,3.0,0.23,0.24,1782969823991000.0,2.009,MAKER_at_bid,0.0
50,btc-updown-15m-1782969300,Down,1782969796,0.72,20.0,0.77,0.78,1782969795957000.0,0.043,MAKER_at_bid,-5.0
51,sol-updown-15m-1782969300,Up,1782969779,0.2516615171,34.490768,0.24,0.26,1782969776584000.0,2.416,INSIDE_spread,1.0
52,eth-updown-15m-1782969300,Up,1782969551,0.5,45.0,0.51,0.52,1782969549045000.0,1.955,MAKER_at_bid,-1.0
53,eth-updown-15m-1782969300,Up,1782969542,0.5,13.0,0.49,0.5,1782969540393000.0,1.607,TAKER_at_ask,1.0
54,sol-updown-15m-1782969300,Up,1782969484,0.52,7.32,0.51,0.55,1782969480760000.0,3.24,INSIDE_spread,1.0
55,eth-updown-15m-1782969300,Up,1782969484,0.47,14.77,0.47,0.49,1782969480720000.0,3.28,MAKER_at_bid,0.0
56,btc-updown-15m-1782969300,Up,1782969484,0.41,17.0,0.43,0.44,1782969482815000.0,1.185,MAKER_at_bid,-2.0
57,btc-updown-15m-1782969300,Down,1782969445,0.63,5.0,0.62,0.64,1782969443069000.0,1.931,INSIDE_spread,1.0
58,sol-updown-15m-1782969300,Down,1782969410,0.55,9.67,0.54,0.6,1782969408442000.0,1.558,INSIDE_spread,1.0
59,eth-updown-15m-1782969300,Down,1782969407,0.59,8.69,0.61,0.63,1782969406471000.0,0.529,MAKER_at_bid,-2.0
60,btc-updown-15m-1782969300,Down,1782969406,0.64,15.0,0.65,0.66,1782969405513000.0,0.487,MAKER_at_bid,-1.0
61,btc-updown-15m-1782969300,Down,1782969401,0.6,5.0,0.6,0.61,1782969398703000.0,2.297,MAKER_at_bid,0.0
62,btc-updown-15m-1782969300,Down,1782969394,0.6,0.31,0.61,0.62,1782969393375000.0,0.625,MAKER_at_bid,-1.0
63,btc-updown-15m-1782969300,Down,1782969356,0.59,30.0,0.58,0.59,1782969355063000.0,0.937,TAKER_at_ask,1.0
65,eth-updown-15m-1782968400,Up,1782969275,0.94,39.0,0.93,0.94,1782969273346000.0,1.654,TAKER_at_ask,1.0
66,eth-updown-15m-1782968400,Up,1782969271,0.96,58.0,0.93,0.94,1782969270180000.0,0.82,TAKER_at_ask,3.0
67,eth-updown-15m-1782968400,Up,1782969262,0.94,44.0,0.93,0.94,1782969259823000.0,2.177,TAKER_at_ask,1.0
68,btc-updown-15m-1782968400,Up,1782969262,0.97,60.0,0.96,0.97,1782969260592000.0,1.408,TAKER_at_ask,1.0
69,btc-updown-15m-1782968400,Up,1782969259,0.96,29.0,0.96,0.97,1782969258866000.0,0.134,MAKER_at_bid,0.0
70,btc-updown-15m-1782968400,Up,1782969257,0.96,56.0,0.95,0.97,1782969256328000.0,0.672,INSIDE_spread,1.0
71,btc-updown-15m-1782968400,Up,1782969256,0.95,50.0,0.95,0.96,1782969255776000.0,0.224,MAKER_at_bid,0.0
72,btc-updown-15m-1782968400,Up,1782969254,0.9541204418,191.170825,0.94,0.95,1782969253962000.0,0.038,TAKER_at_ask,1.0
73,eth-updown-15m-1782968400,Up,1782969254,0.9,70.0,0.85,0.86,1782969253695000.0,0.305,TAKER_at_ask,5.0
78,btc-updown-15m-1782968400,Down,1782969154,0.13,23.0,0.12,0.13,1782969152198000.0,1.802,TAKER_at_ask,1.0
79,eth-updown-15m-1782968400,Up,1782969077,0.67,6.45,0.65,0.71,1782969074463000.0,2.537,INSIDE_spread,2.0
80,sol-updown-15m-1782968400,Down,1782969064,0.62,5.12,0.61,0.62,1782969063358000.0,0.642,TAKER_at_ask,1.0
81,eth-updown-15m-1782968400,Up,1782969056,0.66,2.86,0.72,0.74,1782969054788000.0,1.212,MAKER_at_bid,-6.0
82,eth-updown-15m-1782968400,Down,1782969038,0.41,18.0,0.4,0.42,1782969036800000.0,1.2,INSIDE_spread,1.0
83,eth-updown-15m-1782968400,Down,1782969032,0.45,32.0,0.44,0.45,1782969030295000.0,1.705,TAKER_at_ask,1.0
85,btc-updown-15m-1782968400,Down,1782969026,0.24,38.0,0.28,0.33,1782969025999000.0,0.001,MAKER_at_bid,-4.0
86,eth-updown-15m-1782968400,Down,1782969025,0.36,5.0,0.35,0.38,1782969023341000.0,1.659,INSIDE_spread,1.0
87,eth-updown-15m-1782968400,Down,1782969017,0.3,21.0,0.29,0.31,1782969015847000.0,1.153,INSIDE_spread,1.0
88,eth-updown-15m-1782968400,Down,1782969016,0.3,1.88,0.29,0.31,1782969015847000.0,0.153,INSIDE_spread,1.0
90,btc-updown-15m-1782968400,Down,1782969013,0.26,77.92,0.25,0.26,1782969012243000.0,0.757,TAKER_at_ask,1.0
93,sol-updown-15m-1782968400,Up,1782968971,0.47,2.58,0.51,0.53,1782968969809000.0,1.191,MAKER_at_bid,-4.0
94,btc-updown-15m-1782968400,Up,1782968969,0.77,23.0,0.8,0.82,1782968968698000.0,0.302,MAKER_at_bid,-3.0
95,sol-updown-15m-1782968400,Up,1782968966,0.46,5.0,0.46,0.47,1782968965380000.0,0.62,MAKER_at_bid,0.0
96,btc-updown-15m-1782968400,Up,1782968966,0.74,24.0,0.76,0.77,1782968965926000.0,0.074,MAKER_at_bid,-2.0
97,sol-updown-15m-1782968400,Up,1782968960,0.4,8.33,0.39,0.44,1782968958376000.0,1.624,INSIDE_spread,1.0
98,sol-updown-15m-1782968400,Up,1782968960,0.38,10.0,0.39,0.44,1782968958376000.0,1.624,MAKER_at_bid,-1.0
99,btc-updown-15m-1782968400,Up,1782968957,0.64,17.0,0.63,0.65,1782968956238000.0,0.762,INSIDE_spread,1.0
100,btc-updown-15m-1782968400,Up,1782968953,0.51,36.0,0.52,0.53,1782968952971000.0,0.029,MAKER_at_bid,-1.0
101,eth-updown-15m-1782968400,Up,1782968944,0.24,8.0,0.26,0.27,1782968942689000.0,1.311,MAKER_at_bid,-2.0
102,btc-updown-15m-1782968400,Up,1782968942,0.18,10.42,0.24,0.25,1782968941786000.0,0.214,MAKER_at_bid,-6.0
103,eth-updown-15m-1782968400,Down,1782968897,0.68,5.45,0.7,0.71,1782968894825000.0,2.175,MAKER_at_bid,-2.0
104,eth-updown-15m-1782968400,Down,1782968840,0.66,9.99,0.65,0.68,1782968836966000.0,3.034,INSIDE_spread,1.0
105,eth-updown-15m-1782968400,Down,1782968801,0.8,15.0,0.79,0.82,1782968798548000.0,2.452,INSIDE_spread,1.0
106,btc-updown-15m-1782968400,Down,1782968764,0.77,3.0,0.81,0.82,1782968761844000.0,2.156,MAKER_at_bid,-4.0
108,btc-updown-15m-1782968400,Down,1782968588,0.85,17.0,0.88,0.89,1782968587901000.0,0.099,MAKER_at_bid,-3.0
109,btc-updown-15m-1782968400,Up,1782968497,0.16,56.0,0.15,0.16,1782968496189000.0,0.811,TAKER_at_ask,1.0
110,btc-updown-15m-1782968400,Up,1782968497,0.16,17.0,0.15,0.16,1782968496189000.0,0.811,TAKER_at_ask,1.0
111,btc-updown-15m-1782968400,Up,1782968495,0.16,16.0,0.15,0.16,1782968494586000.0,0.414,TAKER_at_ask,1.0
112,btc-updown-15m-1782968400,Up,1782968494,0.16,22.0,0.15,0.16,1782968493995000.0,0.005,TAKER_at_ask,1.0
118,btc-updown-15m-1782968400,Down,1782968462,0.7,25.0,0.64,0.65,1782968447498000.0,14.502,TAKER_at_ask,6.0
121,btc-updown-15m-1782968400,Down,1782968461,0.66,33.0,0.64,0.65,1782968447498000.0,13.502,TAKER_at_ask,2.0
122,btc-updown-15m-1782968400,Down,1782968461,0.65,18.0,0.64,0.65,1782968447498000.0,13.502,TAKER_at_ask,1.0
123,btc-updown-15m-1782968400,Down,1782968449,0.64,19.0,0.64,0.65,1782968447498000.0,1.502,MAKER_at_bid,0.0
126,eth-updown-15m-1782967500,Up,1782968335,0.97,30.0,0.94,0.95,1782968331427000.0,3.573,TAKER_at_ask,3.0
127,btc-updown-15m-1782967500,Up,1782968335,0.98,43.0,0.85,0.86,1782968331448000.0,3.552,TAKER_at_ask,13.0
128,eth-updown-15m-1782967500,Up,1782968332,0.92,15.0,0.94,0.95,1782968331427000.0,0.573,MAKER_at_bid,-2.0
129,sol-updown-15m-1782967500,Up,1782968318,0.97,21.0,0.96,0.97,1782968317587000.0,0.413,TAKER_at_ask,1.0
131,btc-updown-15m-1782967500,Up,1782968297,0.78,25.0,0.78,0.8,1782968295620000.0,1.38,MAKER_at_bid,0.0
132,btc-updown-15m-1782967500,Up,1782968285,0.77,15.0,0.8,0.82,1782968283730000.0,1.27,MAKER_at_bid,-3.0
133,btc-updown-15m-1782967500,Up,1782968282,0.77,10.88,0.76,0.77,1782968281563000.0,0.437,TAKER_at_ask,1.0
134,eth-updown-15m-1782967500,Down,1782968279,0.22,4.0,0.18,0.23,1782968277345000.0,1.655,INSIDE_spread,4.0
135,sol-updown-15m-1782967500,Up,1782968255,0.83,30.0,0.83,0.85,1782968254214000.0,0.786,MAKER_at_bid,0.0
136,btc-updown-15m-1782967500,Up,1782968249,0.92,25.0,0.93,0.94,1782968247466000.0,1.534,MAKER_at_bid,-1.0
137,btc-updown-15m-1782967500,Up,1782968227,0.95,24.0,0.89,0.9,1782968226382000.0,0.618,TAKER_at_ask,6.0
138,btc-updown-15m-1782967500,Up,1782968210,0.93,38.0,0.95,0.96,1782968208907000.0,1.093,MAKER_at_bid,-2.0
139,btc-updown-15m-1782967500,Up,1782968207,0.93,21.0,0.92,0.93,1782968205461000.0,1.539,TAKER_at_ask,1.0
140,btc-updown-15m-1782967500,Up,1782968207,0.93,36.0,0.92,0.93,1782968205461000.0,1.539,TAKER_at_ask,1.0
141,sol-updown-15m-1782967500,Up,1782968188,0.93,15.0,0.92,0.94,1782968185090000.0,2.91,INSIDE_spread,1.0
147,eth-updown-15m-1782967500,Down,1782967939,0.23,10.0,0.22,0.31,1782967935650000.0,3.35,INSIDE_spread,1.0
148,btc-updown-15m-1782967500,Down,1782967916,0.16,29.0,0.19,0.2,1782967915425000.0,0.575,MAKER_at_bid,-3.0
149,btc-updown-15m-1782967500,Down,1782967916,0.16,19.0,0.19,0.2,1782967915425000.0,0.575,MAKER_at_bid,-3.0
150,btc-updown-15m-1782967500,Down,1782967907,0.22,21.0,0.21,0.22,1782967906150000.0,0.85,TAKER_at_ask,1.0
151,eth-updown-15m-1782967500,Down,1782967907,0.27,11.62,0.29,0.3,1782967906879000.0,0.121,MAKER_at_bid,-2.0
152,btc-updown-15m-1782967500,Down,1782967868,0.37,10.95,0.39,0.4,1782967867912000.0,0.088,MAKER_at_bid,-2.0
153,btc-updown-15m-1782967500,Up,1782967829,0.52,5.0,0.53,0.54,1782967828306000.0,0.694,MAKER_at_bid,-1.0
154,btc-updown-15m-1782967500,Down,1782967678,0.5,34.0,0.49,0.5,1782967674728000.0,3.272,TAKER_at_ask,1.0
155,eth-updown-15m-1782967500,Down,1782967676,0.51,9.93,0.52,0.54,1782967674844000.0,1.156,MAKER_at_bid,-1.0
156,eth-updown-15m-1782967500,Down,1782967676,0.47,9.0,0.52,0.54,1782967674844000.0,1.156,MAKER_at_bid,-5.0
158,btc-updown-15m-1782967500,Down,1782967633,0.41,20.0,0.44,0.45,1782967632511000.0,0.489,MAKER_at_bid,-3.0
159,btc-updown-15m-1782967500,Down,1782967631,0.41,18.0,0.4,0.43,1782967630833000.0,0.167,INSIDE_spread,1.0
167,btc-updown-15m-1782966600,Down,1782967217,0.78,4.4,0.83,0.84,1782967216367000.0,0.633,MAKER_at_bid,-5.0
168,btc-updown-15m-1782966600,Up,1782967172,0.25,15.0,0.24,0.25,1782967171729000.0,0.271,TAKER_at_ask,1.0
169,btc-updown-15m-1782966600,Down,1782966980,0.88,19.0,0.86,0.87,1782966976695000.0,3.305,TAKER_at_ask,2.0
170,eth-updown-15m-1782966600,Up,1782966841,0.18,26.0,0.18,0.19,1782966839979000.0,1.021,MAKER_at_bid,0.0
171,btc-updown-15m-1782966600,Up,1782966838,0.17,8.0,0.17,0.18,1782966836430000.0,1.57,MAKER_at_bid,0.0
172,eth-updown-15m-1782966600,Up,1782966836,0.17,9.0,0.17,0.19,1782966835948000.0,0.052,MAKER_at_bid,0.0
173,eth-updown-15m-1782966600,Up,1782966833,0.16,15.0,0.15,0.16,1782966830666000.0,2.334,TAKER_at_ask,1.0
175,eth-updown-15m-1782966600,Up,1782966781,0.22,5.36,0.2,0.22,1782966780398000.0,0.602,TAKER_at_ask,2.0
176,sol-updown-15m-1782966600,Up,1782966778,0.32,17.0,0.31,0.32,1782966775457000.0,2.543,TAKER_at_ask,1.0
177,eth-updown-15m-1782966600,Up,1782966770,0.21,0.65,0.2,0.22,1782966768906000.0,1.094,INSIDE_spread,1.0
178,eth-updown-15m-1782966600,Up,1782966763,0.22,15.0,0.22,0.25,1782966762806000.0,0.194,MAKER_at_bid,0.0
179,eth-updown-15m-1782966600,Up,1782966749,0.21,17.0,0.21,0.22,1782966748775000.0,0.225,MAKER_at_bid,0.0
180,btc-updown-15m-1782966600,Up,1782966748,0.2,18.0,0.19,0.2,1782966746252000.0,1.748,TAKER_at_ask,1.0
181,btc-updown-15m-1782966600,Up,1782966742,0.18,36.0,0.17,0.18,1782966741925000.0,0.075,TAKER_at_ask,1.0
183,btc-updown-15m-1782966600,Up,1782966730,0.2,18.0,0.18,0.19,1782966729695000.0,0.305,TAKER_at_ask,2.0
184,eth-updown-15m-1782966600,Up,1782966728,0.22,5.72,0.19,0.2,1782966727978000.0,0.022,TAKER_at_ask,3.0
185,eth-updown-15m-1782966600,Down,1782966710,0.7,5.84,0.77,0.78,1782966709960000.0,0.04,MAKER_at_bid,-7.0
195,btc-updown-15m-1782965700,Down,1782966442,0.98,28.0,0.98,0.99,1782966440744000.0,1.256,MAKER_at_bid,0.0
196,btc-updown-15m-1782965700,Up,1782966353,0.08,31.0,0.07,0.09,1782966350887000.0,2.113,INSIDE_spread,1.0
197,btc-updown-15m-1782965700,Up,1782966353,0.08,2.0,0.07,0.09,1782966350887000.0,2.113,INSIDE_spread,1.0
198,btc-updown-15m-1782965700,Down,1782966331,0.93,44.0,0.94,0.95,1782966330810000.0,0.19,MAKER_at_bid,-1.0
199,btc-updown-15m-1782965700,Up,1782966311,0.1,50.0,0.1,0.11,1782966310818000.0,0.182,MAKER_at_bid,0.0
200,eth-updown-15m-1782965700,Up,1782966311,0.06,24.33,0.06,0.08,1782966308997000.0,2.003,MAKER_at_bid,0.0
201,eth-updown-15m-1782965700,Up,1782966310,0.05,20.0,0.06,0.08,1782966308997000.0,1.003,MAKER_at_bid,-1.0
202,btc-updown-15m-1782965700,Up,1782966263,0.09,27.0,0.1,0.11,1782966261179000.0,1.821,MAKER_at_bid,-1.0
203,btc-updown-15m-1782965700,Up,1782966239,0.12,30.0,0.12,0.13,1782966237169000.0,1.831,MAKER_at_bid,0.0
204,btc-updown-15m-1782965700,Up,1782966196,0.2,17.95,0.21,0.22,1782966195181000.0,0.819,MAKER_at_bid,-1.0
205,btc-updown-15m-1782965700,Up,1782966191,0.19,37.02,0.19,0.2,1782966190699000.0,0.301,MAKER_at_bid,0.0
206,eth-updown-15m-1782965700,Down,1782966182,0.78,16.0,0.78,0.79,1782966181068000.0,0.932,MAKER_at_bid,0.0
207,eth-updown-15m-1782965700,Down,1782966176,0.77,8.19,0.76,0.78,1782966174782000.0,1.218,INSIDE_spread,1.0
208,btc-updown-15m-1782965700,Up,1782966170,0.25,22.0,0.21,0.22,1782966169622000.0,0.378,TAKER_at_ask,4.0
209,btc-updown-15m-1782965700,Up,1782966164,0.24,36.0,0.24,0.25,1782966163026000.0,0.974,MAKER_at_bid,0.0
210,btc-updown-15m-1782965700,Up,1782966163,0.23,66.0,0.24,0.25,1782966161972000.0,1.028,MAKER_at_bid,-1.0
211,btc-updown-15m-1782965700,Down,1782966155,0.69,157.0,0.77,0.78,1782966154840000.0,0.16,MAKER_at_bid,-8.0
212,btc-updown-15m-1782965700,Down,1782966154,0.69,69.0,0.77,0.78,1782966153329000.0,0.671,MAKER_at_bid,-8.0
213,eth-updown-15m-1782965700,Down,1782966154,0.79,25.0,0.83,0.84,1782966153219000.0,0.781,MAKER_at_bid,-4.0
214,eth-updown-15m-1782965700,Up,1782966140,0.32,22.2,0.31,0.33,1782966137820000.0,2.18,INSIDE_spread,1.0
215,btc-updown-15m-1782965700,Down,1782966022,0.69,25.0,0.68,0.69,1782966021386000.0,0.614,TAKER_at_ask,1.0
217,eth-updown-15m-1782965700,Down,1782965935,0.53,22.47,0.54,0.55,1782965934063000.0,0.937,MAKER_at_bid,-1.0
218,btc-updown-15m-1782965700,Down,1782965923,0.52,10.4,0.54,0.55,1782965921316000.0,1.684,MAKER_at_bid,-2.0
221,eth-updown-15m-1782965700,Up,1782965747,0.43,10.0,0.43,0.44,1782965746746000.0,0.254,MAKER_at_bid,0.0
225,sol-updown-15m-1782964800,Up,1782965432,0.08,15.0,0.09,0.1,1782965430903000.0,1.097,MAKER_at_bid,-1.0
226,eth-updown-15m-1782964800,Up,1782965374,0.04,20.0,0.03,0.05,1782965371832000.0,2.168,INSIDE_spread,1.0
229,eth-updown-15m-1782964800,Down,1782965252,0.87,9.6,0.88,0.91,1782965251560000.0,0.44,MAKER_at_bid,-1.0
230,btc-updown-15m-1782964800,Down,1782965237,0.92,44.0,0.94,0.95,1782965236716000.0,0.284,MAKER_at_bid,-2.0
231,btc-updown-15m-1782964800,Down,1782965237,0.92,24.0,0.94,0.95,1782965236716000.0,0.284,MAKER_at_bid,-2.0
232,btc-updown-15m-1782964800,Down,1782965236,0.92,21.0,0.91,0.93,1782965235547000.0,0.453,INSIDE_spread,1.0
233,sol-updown-15m-1782964800,Down,1782965236,0.76,16.0,0.8,0.81,1782965234856000.0,1.144,MAKER_at_bid,-4.0
234,sol-updown-15m-1782964800,Down,1782965234,0.76,17.0,0.75,0.76,1782965233621000.0,0.379,TAKER_at_ask,1.0
235,eth-updown-15m-1782964800,Down,1782965111,0.71,10.0,0.7,0.75,1782965108267000.0,2.733,INSIDE_spread,1.0
236,eth-updown-15m-1782964800,Down,1782965086,0.68,5.0,0.67,0.7,1782965083270000.0,2.73,INSIDE_spread,1.0
237,sol-updown-15m-1782964800,Up,1782964994,0.35,26.91,0.37,0.39,1782964991974000.0,2.026,MAKER_at_bid,-2.0
238,eth-updown-15m-1782964800,Up,1782964931,0.25,1.0,0.24,0.3,1782964929232000.0,1.768,INSIDE_spread,1.0
239,sol-updown-15m-1782964800,Up,1782964925,0.2779491256,6.29,0.26,0.29,1782964922381000.0,2.619,INSIDE_spread,2.0
250,sol-updown-15m-1782963900,Up,1782964751,0.97,37.0,0.965,0.998,1782964750539000.0,0.461,INSIDE_spread,1.0
251,sol-updown-15m-1782963900,Up,1782964736,0.99,25.0,0.98,0.99,1782964735845000.0,0.155,TAKER_at_ask,1.0
252,sol-updown-15m-1782963900,Up,1782964729,0.98,1.0,0.98,0.99,1782964727179000.0,1.821,MAKER_at_bid,0.0
253,sol-updown-15m-1782963900,Up,1782964636,0.97,21.0,0.96,0.97,1782964635003000.0,0.997,TAKER_at_ask,1.0
254,eth-updown-15m-1782963900,Up,1782964636,0.97,27.0,0.97,0.98,1782964635963000.0,0.037,MAKER_at_bid,0.0
255,btc-updown-15m-1782963900,Down,1782964484,0.04,31.25,0.04,0.05,1782964483498000.0,0.502,MAKER_at_bid,0.0
256,btc-updown-15m-1782963900,Down,1782964483,0.0410374261,60.92,0.04,0.05,1782964482786000.0,0.214,INSIDE_spread,0.0
257,eth-updown-15m-1782963900,Down,1782964480,0.1,5.0,0.1,0.11,1782964479654000.0,0.346,MAKER_at_bid,0.0
258,btc-updown-15m-1782963900,Down,1782964480,0.06,20.0,0.03,0.06,1782964479943000.0,0.057,TAKER_at_ask,3.0
259,eth-updown-15m-1782963900,Down,1782964474,0.08,21.0,0.07,0.09,1782964473794000.0,0.206,INSIDE_spread,1.0
261,btc-updown-15m-1782963900,Down,1782964429,0.11,21.0,0.1,0.11,1782964428135000.0,0.865,TAKER_at_ask,1.0
263,eth-updown-15m-1782963900,Down,1782964423,0.17,19.0,0.16,0.17,1782964422435000.0,0.565,TAKER_at_ask,1.0
264,btc-updown-15m-1782963900,Down,1782964415,0.08,22.0,0.07,0.08,1782964414855000.0,0.145,TAKER_at_ask,1.0
265,sol-updown-15m-1782963900,Down,1782964415,0.09,18.0,0.1,0.11,1782964414108000.0,0.892,MAKER_at_bid,-1.0
266,btc-updown-15m-1782963900,Down,1782964405,0.07,23.0,0.07,0.08,1782964404098000.0,0.902,MAKER_at_bid,0.0
267,eth-updown-15m-1782963900,Down,1782964396,0.15,18.0,0.15,0.17,1782964394861000.0,1.139,MAKER_at_bid,0.0
270,eth-updown-15m-1782963900,Down,1782964366,0.11,19.0,0.09,0.12,1782964365612000.0,0.388,INSIDE_spread,2.0
273,btc-updown-15m-1782963900,Up,1782964343,0.93,34.0,0.93,0.94,1782964342658000.0,0.342,MAKER_at_bid,0.0
275,eth-updown-15m-1782963900,Up,1782964342,0.8902173892,20.44444,0.89,0.9,1782964341657000.0,0.343,INSIDE_spread,0.0
277,sol-updown-15m-1782963900,Up,1782964342,0.94,22.0,0.94,0.96,1782964341489000.0,0.511,MAKER_at_bid,0.0
279,eth-updown-15m-1782963900,Up,1782964330,0.5,34.0,0.49,0.5,1782964328560000.0,1.44,TAKER_at_ask,1.0
280,eth-updown-15m-1782963900,Up,1782964327,0.5,24.0,0.49,0.5,1782964326916000.0,0.084,TAKER_at_ask,1.0
281,btc-updown-15m-1782963900,Up,1782964327,0.74,28.0,0.74,0.75,1782964325950000.0,1.05,MAKER_at_bid,0.0
284,sol-updown-15m-1782963900,Down,1782964309,0.28,11.88,0.26,0.27,1782964306472000.0,2.528,TAKER_at_ask,2.0
285,btc-updown-15m-1782963900,Down,1782964307,0.34,20.0,0.33,0.35,1782964306436000.0,0.564,INSIDE_spread,1.0
286,eth-updown-15m-1782963900,Down,1782964295,0.57,15.74,0.58,0.59,1782964292684000.0,2.316,MAKER_at_bid,-1.0
287,eth-updown-15m-1782963900,Down,1782964276,0.53,10.0,0.53,0.54,1782964273117000.0,2.883,MAKER_at_bid,0.0
289,eth-updown-15m-1782963900,Down,1782964265,0.53,15.0,0.52,0.53,1782964263101000.0,1.899,TAKER_at_ask,1.0
290,eth-updown-15m-1782963900,Down,1782964258,0.57,10.0,0.56,0.58,1782964256864000.0,1.136,INSIDE_spread,1.0
293,eth-updown-15m-1782963900,Down,1782964252,0.54,26.4,0.48,0.49,1782964251662000.0,0.338,TAKER_at_ask,6.0
294,btc-updown-15m-1782963900,Down,1782964220,0.2451720716,101.9692,0.21,0.22,1782964219514000.0,0.486,TAKER_at_ask,4.0
295,btc-updown-15m-1782963900,Down,1782964217,0.22,27.0,0.22,0.23,1782964216848000.0,0.152,MAKER_at_bid,0.0
296,btc-updown-15m-1782963900,Down,1782964216,0.21,5.0,0.21,0.22,1782964215246000.0,0.754,MAKER_at_bid,0.0
297,sol-updown-15m-1782963900,Down,1782964213,0.16,4.62,0.21,0.22,1782964212442000.0,0.558,MAKER_at_bid,-5.0
298,btc-updown-15m-1782963900,Down,1782964213,0.17,27.0,0.2,0.21,1782964212774000.0,0.226,MAKER_at_bid,-3.0
299,sol-updown-15m-1782963900,Down,1782964211,0.1699999578,15.882351,0.15,0.19,1782964210690000.0,0.31,INSIDE_spread,2.0
300,sol-updown-15m-1782963900,Up,1782964198,0.44,6.32,0.46,0.48,1782964196036000.0,1.964,MAKER_at_bid,-2.0
301,sol-updown-15m-1782963900,Up,1782964195,0.43,21.0,0.42,0.43,1782964193925000.0,1.075,TAKER_at_ask,1.0
302,btc-updown-15m-1782963900,Up,1782964195,0.46,81.7,0.48,0.49,1782964194348000.0,0.652,MAKER_at_bid,-2.0
303,sol-updown-15m-1782963900,Up,1782964193,0.4,17.0,0.42,0.44,1782964192634000.0,0.366,MAKER_at_bid,-2.0
304,sol-updown-15m-1782963900,Up,1782964183,0.36,10.0,0.36,0.38,1782964180462000.0,2.538,MAKER_at_bid,0.0
305,btc-updown-15m-1782963900,Up,1782964169,0.3,85.0,0.34,0.35,1782964168843000.0,0.157,MAKER_at_bid,-4.0
306,btc-updown-15m-1782963900,Up,1782964169,0.3,15.0,0.34,0.35,1782964168843000.0,0.157,MAKER_at_bid,-4.0
307,btc-updown-15m-1782963900,Up,1782964168,0.3,29.0,0.32,0.33,1782964167773000.0,0.227,MAKER_at_bid,-2.0
308,btc-updown-15m-1782963900,Up,1782964168,0.3,48.0,0.32,0.33,1782964167773000.0,0.227,MAKER_at_bid,-2.0
309,btc-updown-15m-1782963900,Down,1782964106,0.72,43.0,0.74,0.75,1782964104965000.0,1.035,MAKER_at_bid,-2.0
310,btc-updown-15m-1782963900,Down,1782964105,0.72,40.0,0.74,0.75,1782964104965000.0,0.035,MAKER_at_bid,-2.0
311,sol-updown-15m-1782963900,Down,1782964027,0.68,15.0,0.67,0.68,1782964024376000.0,2.624,TAKER_at_ask,1.0
312,sol-updown-15m-1782963900,Down,1782963985,0.68,0.69,0.67,0.69,1782963981837000.0,3.163,INSIDE_spread,1.0
315,btc-updown-15m-1782963900,Down,1782963928,0.64,14.0,0.64,0.65,1782963927194000.0,0.806,MAKER_at_bid,0.0
316,btc-updown-15m-1782963900,Down,1782963925,0.63,19.0,0.63,0.64,1782963923551000.0,1.449,MAKER_at_bid,0.0
317,btc-updown-15m-1782963900,Down,1782963923,0.63,16.0,0.62,0.63,1782963922243000.0,0.757,TAKER_at_ask,1.0
318,eth-updown-15m-1782963900,Down,1782963923,0.61,8.36,0.6,0.63,1782963921081000.0,1.919,INSIDE_spread,1.0
319,btc-updown-15m-1782963900,Down,1782963923,0.61,16.66,0.62,0.63,1782963922243000.0,0.757,MAKER_at_bid,-1.0
320,eth-updown-15m-1782963900,Down,1782963920,0.58,6.0,0.58,0.59,1782963919308000.0,0.692,MAKER_at_bid,0.0
321,sol-updown-15m-1782963900,Down,1782963917,0.53,5.0,0.52,0.54,1782963914535000.0,2.465,INSIDE_spread,1.0
325,sol-updown-15m-1782963000,Down,1782963863,0.19,14.0,0.22,0.27,1782963862716000.0,0.284,MAKER_at_bid,-3.0
326,sol-updown-15m-1782963000,Down,1782963844,0.1,31.0,0.09,0.1,1782963843254000.0,0.746,TAKER_at_ask,1.0
327,sol-updown-15m-1782963000,Down,1782963839,0.07,7.0,0.11,0.13,1782963838742000.0,0.258,MAKER_at_bid,-4.0
328,eth-updown-15m-1782963000,Up,1782963788,0.97,83.0,0.98,0.99,1782963786880000.0,1.12,MAKER_at_bid,-1.0
329,sol-updown-15m-1782963000,Up,1782963788,0.8439481535,21.150586,0.84,0.85,1782963786796000.0,1.204,INSIDE_spread,0.0
