2026-07-02 02:15:05.002886+00	fire	{"mode": "paper", "fired": true, "reason": "paper_fill", "fire_us": 1782958505000000, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.7199999999999999733546474088"}
2026-07-02 02:24:15.061491+00	resolve	{"won": true, "mode": "paper", "outcome": "up", "pnl_usd": 1.9444444444444446, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.7199999999999999733546474088", "event_type": "sleeve_fire_resolved", "slot_end_us": 1782958800000000, "condition_id": "0x588452a01bc0dc9c74492e7cb2de03e19916cccbde3f63a07da20a4f9e2ce6b8", "resolve_at_us": 1782958845000000}
2026-07-02 06:55:05.002078+00	fire	{"mode": "paper", "fired": true, "reason": "paper_fill", "fire_us": 1782975305000000, "direction": "DOWN", "stake_usd": "5", "entry_vwap": "0.5400000000000000355271367879"}
2026-07-02 06:56:05.0011+00	scalp_exit	{"mode": "paper", "slug": "btc-updown-5m-1782975300", "entry_sh": 9.25925925925926, "direction": "DOWN", "sell_vwap": 0.57, "entry_vwap": 0.54, "exit_at_us": 1782975365000000, "sell_source": "book", "pnl_exit_usd": 0.277777777777777, "sell_filled_sh": 9.25925925925926}
2026-07-02 07:02:15.059924+00	resolve	{"won": true, "mode": "paper", "outcome": "down", "pnl_usd": 0.277777777777777, "direction": "DOWN", "stake_usd": "5", "entry_vwap": "0.5400000000000000355271367879", "event_type": "sleeve_fire_resolved", "slot_end_us": 1782975600000000, "condition_id": "0xb91ab70ada17fa89c46c3b9abdf95dd69c803a153ca5c883ecfe0f3540153c7c", "exit_fallback": false, "resolve_at_us": 1782975645000000, "pnl_hold_virtual_usd": 4.259259259259259}
2026-07-02 09:55:05.00276+00	fire	{"mode": "paper", "fired": true, "reason": "paper_fill", "fire_us": 1782986105000000, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.4700000000000000288657986401"}
2026-07-02 09:56:05.000789+00	scalp_exit	{"mode": "paper", "slug": "btc-updown-5m-1782986100", "entry_sh": 10.638297872340425, "direction": "UP", "sell_vwap": 0.66, "entry_vwap": 0.47000000000000003, "exit_at_us": 1782986165000000, "sell_source": "book", "pnl_exit_usd": 2.021276595744681, "sell_filled_sh": 10.638297872340425}
2026-07-02 10:00:45.010529+00	resolve	{"won": false, "mode": "paper", "outcome": "down", "pnl_usd": 2.021276595744681, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.4700000000000000288657986401", "event_type": "sleeve_fire_resolved", "slot_end_us": 1782986400000000, "condition_id": "0x76314474e6d37d9996d64a209cef82a7d8ccbce36c7c87add2f24e7497a7816c", "exit_fallback": false, "resolve_at_us": 1782986445000000, "pnl_hold_virtual_usd": -5.0}
2026-07-02 13:40:05.004368+00	fire	{"mode": "paper", "fired": true, "reason": "paper_fill", "fire_us": 1782999605000000, "direction": "DOWN", "stake_usd": "5", "entry_vwap": "0.5"}
2026-07-02 13:41:05.000894+00	scalp_exit	{"mode": "paper", "slug": "btc-updown-5m-1782999600", "entry_sh": 10.0, "direction": "DOWN", "sell_vwap": 0.68, "entry_vwap": 0.5, "exit_at_us": 1782999665000000, "sell_source": "book", "pnl_exit_usd": 1.8000000000000005, "sell_filled_sh": 10.0}
2026-07-02 13:49:45.105391+00	resolve	{"won": false, "mode": "paper", "outcome": "up", "pnl_usd": 1.8000000000000005, "direction": "DOWN", "stake_usd": "5", "entry_vwap": "0.5", "event_type": "sleeve_fire_resolved", "slot_end_us": 1782999900000000, "condition_id": "0x2c470741387896539a1da8178a5d08920dbab1ca7cf13df0d4aa9aec8537fd41", "exit_fallback": false, "resolve_at_us": 1782999945000000, "pnl_hold_virtual_usd": -5.0}
2026-07-04 15:35:05.003186+00	fire	{"mode": "paper", "fired": true, "reason": "paper_fill", "fire_us": 1783179305000000, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.5300000000000000266453525908"}
2026-07-04 15:36:05.000833+00	scalp_exit	{"mode": "paper", "slug": "btc-updown-5m-1783179300", "entry_sh": 9.433962264150942, "direction": "UP", "sell_vwap": 0.63, "entry_vwap": 0.53, "exit_at_us": 1783179365000000, "sell_source": "book", "pnl_exit_usd": 0.943396226415094, "sell_filled_sh": 9.433962264150942}
2026-07-04 15:43:15.072089+00	resolve	{"won": false, "mode": "paper", "outcome": "down", "pnl_usd": 0.943396226415094, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.5300000000000000266453525908", "event_type": "sleeve_fire_resolved", "slot_end_us": 1783179600000000, "condition_id": "0x57a9767e63a0d5f738ac689f55bc6aabf78531a4164e77ef16ca6130ee5160fb", "exit_fallback": false, "resolve_at_us": 1783179645000000, "pnl_hold_virtual_usd": -5.0}
2026-07-04 17:35:05.002698+00	fire	{"mode": "paper", "fired": true, "reason": "paper_fill", "fire_us": 1783186505000000, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.5300000000000000266453525908"}
2026-07-04 17:36:05.000504+00	scalp_exit	{"mode": "paper", "slug": "btc-updown-5m-1783186500", "entry_sh": 9.433962264150942, "direction": "UP", "sell_vwap": 0.26, "entry_vwap": 0.53, "exit_at_us": 1783186565000000, "sell_source": "book", "pnl_exit_usd": -2.5471698113207544, "sell_filled_sh": 9.433962264150942}
2026-07-04 17:44:45.074193+00	resolve	{"won": true, "mode": "paper", "outcome": "up", "pnl_usd": -2.5471698113207544, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.5300000000000000266453525908", "event_type": "sleeve_fire_resolved", "slot_end_us": 1783186800000000, "condition_id": "0x10edf978ed6bfe2e184c5ac71f29bfd8413be82fb28b5d18e786bf4a251e7532", "exit_fallback": false, "resolve_at_us": 1783186845000000, "pnl_hold_virtual_usd": 4.433962264150942}
2026-07-06 15:10:05.001868+00	fire	{"mode": "paper", "fired": true, "reason": "paper_fill", "fire_us": 1783350605000000, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.4799999999999999267252803745"}
2026-07-06 15:11:05.001411+00	scalp_exit	{"mode": "paper", "slug": "btc-updown-5m-1783350600", "entry_sh": 10.416666666666668, "direction": "UP", "sell_vwap": 0.57, "entry_vwap": 0.48, "exit_at_us": 1783350665000000, "sell_source": "book", "pnl_exit_usd": 0.9374999999999998, "sell_filled_sh": 10.416666666666668}
2026-07-06 15:18:15.054011+00	resolve	{"won": true, "mode": "paper", "outcome": "up", "pnl_usd": 0.9374999999999998, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.4799999999999999267252803745", "event_type": "sleeve_fire_resolved", "slot_end_us": 1783350900000000, "condition_id": "0xc009a3ef277f8ea3d06b77877deac19f8bed63a522c98ac692f9a0170f7be078", "exit_fallback": false, "resolve_at_us": 1783350945000000, "pnl_hold_virtual_usd": 5.416666666666668}
2026-07-07 13:30:05.003072+00	fire	{"mode": "paper", "fired": true, "reason": "paper_fill", "fire_us": 1783431005000000, "direction": "UP", "stake_usd": "5", "entry_vwap": "0.5400000000000000355271367879"}
2026-07-07 13:31:05.001811+00	scalp_exit	{"mode": "paper", "slug": "btc-updown-5m-1783431000", "entry_sh": 9.25925925925926, "direction": "UP", "sell_vwap": 0.76, "entry_vwap": 0.54, "exit_at_us": 1783431065000000, "sell_source": "book", "pnl_exit_usd": 2.0370370370370368, "sell_filled_sh": 9.25925925925926}
