fid,slug,outcome,ts,price,size
150,btc-updown-15m-1783962000,Up,1783962854,0.91,30.0
151,btc-updown-15m-1783962000,Down,1783962851,0.1,20.0
152,btc-updown-15m-1783962000,Down,1783962851,0.1,30.0
153,btc-updown-15m-1783962000,Down,1783962851,0.1,30.0
154,btc-updown-15m-1783962000,Up,1783962847,0.91,30.0
155,btc-updown-15m-1783962000,Up,1783962847,0.91,30.0
156,btc-updown-5m-1783962600,Down,1783962845,0.76,50.0
157,btc-updown-5m-1783962600,Down,1783962845,0.76,50.0
158,btc-updown-15m-1783962000,Up,1783962832,0.94,25.0
159,btc-updown-15m-1783962000,Up,1783962824,0.92,30.0
160,btc-updown-15m-1783962000,Down,1783962821,0.06,30.0
161,btc-updown-15m-1783962000,Up,1783962815,0.94,30.0
162,btc-updown-15m-1783962000,Down,1783962803,0.08,30.0
163,btc-updown-15m-1783962000,Up,1783962793,0.91,30.0
164,btc-updown-15m-1783962000,Up,1783962784,0.9,30.0
165,btc-updown-15m-1783962000,Up,1783962718,0.81,5.0
166,btc-updown-15m-1783962000,Up,1783962718,0.8,2.0
167,btc-updown-15m-1783962000,Up,1783962718,0.8,10.0
168,btc-updown-5m-1783962600,Down,1783962712,0.64,50.0
169,btc-updown-15m-1783962000,Up,1783962653,0.86,5.0
170,btc-updown-15m-1783962000,Up,1783962653,0.86,5.0
171,btc-updown-15m-1783962000,Up,1783962653,0.86,5.0
172,btc-updown-15m-1783962000,Up,1783962647,0.89,30.0
173,btc-updown-15m-1783962000,Up,1783962647,0.89,30.0
174,btc-updown-15m-1783962000,Down,1783962631,0.07,30.0
175,btc-updown-15m-1783962000,Up,1783962620,0.85,30.0
176,btc-updown-5m-1783962300,Down,1783962566,0.06,50.0
177,btc-updown-5m-1783962300,Down,1783962566,0.06,50.0
178,btc-updown-15m-1783962000,Down,1783962527,0.23,0.48
179,btc-updown-15m-1783962000,Up,1783962502,0.75,30.0
180,btc-updown-5m-1783962300,Up,1783962493,0.82,50.0
181,btc-updown-15m-1783962000,Down,1783962476,0.15,30.0
