slug,coin,tf,slot_start,n_fills,up_cost,dn_cost,up_sh,dn_sh,total_cost,won_side,win_sh,win_px_avg,gross_pnl,fee_est,net_pnl
btc-updown-15m-1783603800,btc,15m,1783603800,20,97.98549999999999,182.18899899923082,168.17,339.869229,280.1744989992308,Up,168.17,0.5826574299815662,-112.00449899923083,2.862546427617887,-114.86704542684872
btc-updown-15m-1783604700,btc,15m,1783604700,15,138.59999299934069,60.324,180.659333,246.21,198.92399299934067,Up,180.659333,0.7671897747975228,-18.264659999340665,2.258724690826679,-20.523384690167344
btc-updown-15m-1783605600,btc,15m,1783605600,13,9.749999001428606,190.5776,84.285713,206.01,200.3275990014286,Down,206.01,0.925089073345954,5.6824009985713815,0.9993441230852879,4.683056875486094
btc-updown-15m-1783606500,btc,15m,1783606500,16,19.9422,140.99900000000002,287.87,179.1,160.94120000000004,Down,179.1,0.7872640982691236,18.158799999999957,2.0996884585706295,16.059111541429328
btc-updown-15m-1783607400,btc,15m,1783607400,24,239.58229999999998,63.4152,281.5,153.3,302.99749999999995,Up,281.5,0.8510916518650088,-21.497499999999945,2.497306317476733,-23.99480631747668
btc-updown-15m-1783608300,btc,15m,1783608300,12,26.8951,108.65169999999999,32.81,234.24,135.5468,Up,32.81,0.8197226455348978,-102.73679999999999,0.33940042332520587,-103.07620042332519
btc-updown-15m-1783609200,btc,15m,1783609200,30,231.765,80.05450000000002,263.05000000000007,368.41999999999996,311.8195,Up,263.05000000000007,0.8810682379775705,-48.76949999999994,1.9294953877589862,-50.69899538775892
btc-updown-15m-1783610100,btc,15m,1783610100,22,89.37389400146157,213.339,134.291531,353.1,302.71289400146156,Down,353.1,0.6041886151231946,50.38710599853846,5.910940352676296,44.47616564586216
btc-updown-15m-1783611000,btc,15m,1783611000,42,239.5138,300.84399999999994,507.77000000000004,524.28,540.3578,Down,524.28,0.5738231479362172,-16.077800000000025,8.974892421759366,-25.05269242175939
btc-updown-15m-1783611900,btc,15m,1783611900,8,31.55,92.39999999999999,119.0,120.0,123.94999999999999,Down,120.0,0.7699999999999999,-3.9499999999999886,1.4876400000000005,-5.437639999999989
