0							1781837770817000
1							1781840038960000
2							1781847771895000
3							1781856529691000
4							1781860548386000
5							1781862329317000
6							1781867542994000
7	1781872860126000	0.4900	529.390000				1781872819534000
8							
9							1781877191585000
10							1781900795035000
11	1781915765084000	0.8400	137.730000				1781915753558000
12							1781920949825000
13							1781962064847000
14							1781967997995000
15							1781969513048000
16							1781978429227000
17							1781992568045000
18							1781999181712000
19	1782030064936000	0.7100	555.060000				1782030013601000
20							1782040885404000
21							
22							
23	1782082864927000	0.9300	994.350000				1782082833811000
24							
25							1782088368202000
26							1782090490772000
27							1782091892002000
28							1782091914435000
29							1782093676674000
30							1782094656218000
31							1782098176009000
32	1782098744683000	0.7900	537.380000				1782098717914000
33							1782112214329000
34							1782115714164000
35							1782129164283000
36							1782129945818000
37	1782130537918000	0.4100	764.630000				1782130508938000
38							1782133281060000
39							1782135460100000
40							1782136247013000
41							1782137094639000
42							1782137806000000
43							
44							1782063802027000
45							
46							1782168238490000
47							
48							
49							
50							1782176181322000
51	1782177064951000	0.7800	1184.320000				1782177033526000
52							1782178596685000
53							
54							1782193159703000
55							1782196044799000
56	1782196256602000	0.5900	149.890000				1782196236788000
57							
58							
59	1782200765053000	0.7000	476.760000				1782200728196000
60							1782203271699000
61							1782203830344000
62							
63							1782204602661000
64	1782215145517000	0.7100	862.210000				1782215109022000
65							1782221411710000
66	1782221465068000	0.6500	38.200000				1782221413075000
67							1782221959483000
68							
69							
70	1782224164899000	0.6400	11.660000				1782224164558000
71							
72							
73							1782225699794000
74							
75							
76							
77							1782231476283000
78							1782231696099000
79	1782235265034000	0.5800	1655.290000				1782235214048000
80							
81							
82							
83							
84							
85							
86							
87							
88							
89							
90							
91							
92							
93							
94							
95							
96							
97							
98							
99							
100							
101							
102							
103							
104							
105							
106							
107							
108							
109							
110							
111							
112							
113							
114							
115							
116							
117							
118							
119							
120							
121							
122							
123							
124							
125							
126							
127							
128							
129							
130							
131							
132							
133							
134							
135							
136							
137							
138							
139							
140							
141							
142							
143							
144							
145							
146							
147							
148							
149							
150							
151							
152							
153							
154							
155							
156							
157							
158							
159							
160							
161							
162							
163							
164							
165							
166							
167							
168							
169							
170							
171							
172							
173							
174							
175							
176							
177							
178							
179							
180							
181							
182							
183							
184							
185							
186							
187							
188							
189							
190							
191							
192							
193							
194							
195							
196							
197							
198							
199							
200							
201							
202							
203							
204							
205							
206							
207							
208							
209							
210							
211							
212							
213							
214							
215							
216							
217							
218							
219							
220							
221							
222							
223							
224							
225							
226							
227							
228							
229							
230							
231							
232							
233							
234							
235							
236	1782777934759000	0.7200	282.510000				1782777921418000
237							
238							
239							
240							
241							
242							
243							
244							
245							
246							
247							
248							
249							
250	1782830164972000	0.7500	380.170000				1782830155068000
251							1782830765758000
252	1782832265078000	0.5100	51.080000				1782832212516000
253	1782832864921000	0.7000	4.680000				1782832851821000
254							1782833166913000
255	1782833465036000	0.4900	1452.340000				1782833437357000
256							
257							
258							
259							
260							
261							
262							
263							
264							
265							
266							
267							
268							
269							
270							
271							
272							
273							
274							
275							
276							
277							
278							
279							
280							
281							
282							
283							
284							
285							
286							
287							
288							
289							
290							
291							
292							
293							
294							
295							
296							
297							
298							
299							
300							
301							
302							
303							
304							
305							
306							
307							
308							
309							
310	1782946864956000	0.8900	733.820000				1782946864946000
311	1782951364895000	0.5500	1152.720000				1782951361029000
312	1782953165056000	0.7200	29.460000				1782953110462000
313	1782953465067000	0.6200	44.700000				1782953411131000
314	1782953765069000	0.3700	297.830000				1782953764909000
315	1782954054882000	0.5500	1190.140000				1782954026543000
316	1782954965023000	0.5700	8.700000				1782954908615000
317	1782955864583000	0.9200	586.080000				1782955828775000
318	1782957064773000	0.9100	191.470000				1782957034925000
319	1782957365076000	0.7100	682.280000				1782957356990000
320	1782958564596000	0.9100	154.010000				1782958532945000
