sleeve_idx,asset_pool,offset_bin,r4_gate_stack,added_r5_gate,train_n,train_WR,train_dpt,train_sum,val_n,val_WR,val_dpt,val_sum,lockbox_n,lockbox_WR,lockbox_dpt,lockbox_sum
0,POOL,120-240,g_trend_slope_with,NONE_baseline,307,0.8729641693811075,4.899275745902479,1504.077653992061,162,0.8888888888888888,6.052407607625843,980.4900324353865,466,0.7532188841201717,8.894888934585296,4145.018243516748
0,POOL,120-240,g_trend_slope_with,g_mp_no_extreme,303,0.8712871287128713,4.945656338178677,1498.533870468139,160,0.8875,6.1153022789240605,978.4483646278497,345,0.7536231884057971,8.185199978506208,2823.8939925846416
0,POOL,120-240,g_trend_slope_with,g_mp_very_no_extreme,222,0.8513513513513513,5.1907884408817715,1152.3550338757532,110,0.8636363636363636,7.062924185217607,776.9216603739368,315,0.746031746031746,8.567914149180112,2698.8929569917354
0,POOL,120-240,g_trend_slope_with,g_mp_with,162,0.8703703703703703,4.94245581096243,800.6778413759137,95,0.8842105263157894,5.940638676552751,564.3606742725113,187,0.7647058823529411,8.212246340850431,1535.6900657390306
0,POOL,120-240,g_trend_slope_with,g_mp_strong_with,74,0.8918918918918919,4.025113722360679,297.85841545469026,46,0.9130434782608695,3.5671393024272113,164.08840791165173,46,0.8478260869565217,6.763677316583707,311.12915656285054
0,POOL,120-240,g_trend_slope_with,g_mp_change_with,23,0.8695652173913043,3.1394446926144646,72.20722793013269,18,0.8333333333333334,4.800631261115616,86.4113627000811,12,0.9166666666666666,11.122006729544715,133.46408075453658
0,POOL,120-240,g_trend_slope_with,g_mp_change_strong_with,23,0.8695652173913043,3.1394446926144646,72.20722793013269,16,0.875,6.649580613586696,106.39328981738714,9,0.8888888888888888,8.164503384302373,73.48053045872136
0,POOL,120-240,g_trend_slope_with,g_lm_high_stat,51,0.9215686274509803,4.8518868085465865,247.4462272358759,27,0.9259259259259259,4.9309291589688184,133.1350872921581,15,0.6666666666666666,1.0699934782970433,16.04990217445565
0,POOL,120-240,g_trend_slope_with,g_lm_low_stat,189,0.8624338624338624,5.1954578491816985,981.941533495341,101,0.8613861386138614,5.415430436311336,546.958474067445,96,0.875,10.177827621176357,977.0714516329302
0,POOL,120-240,g_trend_slope_with,g_lm_last_jump_with_60s,53,0.9811320754716981,5.7799056799351956,306.33500103656536,28,1.0,5.9262344887499,165.9345656849972,12,0.9166666666666666,10.252394175249561,123.02873010299473
0,POOL,120-240,g_trend_slope_with,g_lm_extreme_against,307,0.8729641693811075,4.899275745902479,1504.077653992061,162,0.8888888888888888,6.052407607625843,980.4900324353865,466,0.7532188841201717,8.894888934585296,4145.018243516748
0,POOL,120-240,g_trend_slope_with,g_hawkes_imbalance_with,258,0.9108527131782945,5.498864217691773,1418.7069681644775,141,0.8794326241134752,5.520834669228079,778.4376883611591,87,0.8850574712643678,8.204609931033994,713.8010639999575
0,POOL,120-240,g_trend_slope_with,g_hawkes_imbalance_strong_with,177,0.9209039548022598,5.075161774483625,898.3036340836017,87,0.8735632183908046,4.502621972116998,391.72811157417885,42,0.8809523809523809,6.354327917237286,266.881772523966
0,POOL,120-240,g_trend_slope_with,g_hawkes_burst,92,0.9565217391304348,4.854299433845083,446.5955479137476,60,0.9333333333333333,5.209418310708882,312.5650986425329,30,0.8333333333333334,7.389727272643254,221.69181817929763
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,NONE_baseline,256,0.89453125,5.654341473316004,1447.511417168897,142,0.8732394366197183,5.580756629418086,792.4674413773681,315,0.780952380952381,10.822333352170544,3409.0350059337215
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_no_extreme,252,0.8928571428571429,5.722093784305457,1441.9676336449752,140,0.8714285714285714,5.6458983826416524,790.4257735698313,237,0.7805907172995781,9.976636039004454,2364.4627412440555
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_very_no_extreme,188,0.8776595744680851,6.031095910870795,1133.8460312437096,96,0.84375,6.499710591173752,623.9722167526802,217,0.7741935483870968,10.49736062482745,2277.927255587557
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_with,136,0.8823529411764706,5.368175330065733,730.0718448889397,82,0.8658536585365854,5.286947772116874,433.52971731358366,125,0.816,11.169733575609024,1396.2166969511281
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_strong_with,61,0.9016393442622951,4.216446371585819,257.20322866673496,42,0.9047619047619048,3.4688358882901724,145.69110730818724,31,0.8387096774193549,6.390604073962582,198.10872629284003
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_change_with,18,1.0,7.388484221984401,132.9927159957192,16,0.8125,3.4673853306814184,55.478165290902695,3,1.0,17.720135493644495,53.16040648093349
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_change_strong_with,18,1.0,7.388484221984401,132.9927159957192,14,0.8571428571428571,5.390006600586338,75.46009240820872,2,1.0,15.71699444560975,31.4339888912195
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_lm_high_stat,49,0.9183673469387755,4.8401503874421765,237.16736898466664,26,0.9230769230769231,4.910119298241685,127.6631017542838,6,0.5,-6.7418983578720715,-40.45139014723243
