added_r5_gate,sleeves,mean_n_kept,mean_lockbox_dpt,mean_dpt_lift,median_dpt_lift,mean_wr_lift,sleeves_improved,sleeves_better_wr
g_mp_change_with,25,0.024968711097592366,17.529227517668545,7.422001714321574,6.897802141473951,0.12850701930733469,21,21
g_mp_change_strong_with,25,0.02038820274096695,16.605339922607286,6.49811411926031,5.271873152722396,0.13313670709610173,20,22
g_lm_extreme_against,25,1.0,10.107225803346973,0.0,0.0,0.0,0,0
g_mp_very_no_extreme,25,0.6466309422287075,9.625868837647973,-0.4813569656990013,-0.34859850656972213,-0.008666692619555718,4,2
g_mp_with,25,0.39455144445653206,9.562065905392124,-0.5451598979548495,-0.6323844143507191,0.02777571601903601,9,20
g_mp_no_extreme,25,0.72548309473461,9.373533563200663,-0.7336922401463096,-0.7096889560790878,0.002059516144239817,1,5
g_lm_low_stat,25,0.20015573974352993,9.276051972809054,-0.8311738305379198,-1.2239360803060748,0.07190913365622326,9,25
g_hawkes_imbalance_strong_with,25,0.10241254064222333,8.329366642435794,-1.7778591609111793,-2.1753835019617416,0.14253919793269168,6,25
g_hawkes_imbalance_with,25,0.19048357826485385,8.271877778729912,-1.8353480246170613,-2.341198239637439,0.10963031874818437,5,25
g_lm_last_jump_with_60s,25,0.04065931093176776,6.32054635884202,-3.7866794445049528,-4.764992897957571,0.08917054225781414,5,20
g_mp_strong_with,25,0.09678329078186541,5.814053801949339,-4.293172001397633,-4.079444068132119,0.08549418183059658,1,24
g_hawkes_burst,25,0.06557502398827156,5.146708349400517,-4.960517453946457,-5.074939912201597,0.07981145169162977,1,22
g_lm_high_stat,25,0.03330081796153946,3.4836715504169917,-6.278994932647824,-7.502052730660235,0.018286506225677818,3,15
