sleeve_idx,asset_pool,offset_bin,r4_gate_stack,base_lb_n,kill_lb_n,removed,base_lb_dpt,kill_lb_dpt,base_lb_sum,kill_lb_sum,lift_sum,lift_dpt
0,POOL,120-240,g_trend_slope_with,466,466,0,8.894888934585296,8.894888934585296,4145.018243516748,4145.018243516748,0.0,0.0
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,315,315,0,10.822333352170544,10.822333352170544,3409.0350059337215,3409.0350059337215,0.0,0.0
2,POOL,120-240,g_di_with&g_trend_slope_with,314,314,0,10.445121292887354,10.445121292887354,3279.768085966629,3279.768085966629,0.0,0.0
3,POOL,120-240,g_tr_stack_with&g_trend_slope_with&g_vwap_ge_30,302,302,0,10.6767929694728,10.6767929694728,3224.3914767807855,3224.3914767807855,0.0,0.0
4,POOL,60-120,g_trend_slope_with&g_tr_stack_with,338,338,0,9.507625784110493,9.507625784110493,3213.5775150293466,3213.5775150293466,0.0,0.0
5,POOL,60-120,g_tr_stack_with&g_trend_slope_with&g_vwap_ge_30,334,334,0,9.256774074137082,9.256774074137082,3091.762540761785,3091.762540761785,0.0,0.0
6,POOL,60-120,g_di_with&g_trend_slope_with,330,330,0,9.01863284149585,9.01863284149585,2976.1488376936304,2976.1488376936304,0.0,0.0
7,POOL,240-360,g_trend_slope_with&g_vwap_ge_30,456,456,0,5.892094336694869,5.892094336694869,2686.79501753286,2686.79501753286,0.0,0.0
8,POOL,120-240,g_trend_slope_strong_with,158,158,0,14.183149585909808,14.183149585909808,2240.9376345737496,2240.9376345737496,0.0,0.0
9,POOL,120-240,g_tr_stack_with&g_tr_stack_full_with&g_trend_slope_with,202,202,0,11.083821362530738,11.083821362530738,2238.931915231209,2238.931915231209,0.0,0.0
10,POOL,120-240,g_tr_stack_full_with&g_trend_slope_with,202,202,0,11.083821362530738,11.083821362530738,2238.931915231209,2238.931915231209,0.0,0.0
11,POOL,60-120,g_trend_slope_with&g_trend_slope_strong_with,158,158,0,14.072858373816402,14.072858373816402,2223.5116230629915,2223.5116230629915,0.0,0.0
12,POOL,60-120,g_trend_slope_strong_with,158,158,0,14.072858373816402,14.072858373816402,2223.5116230629915,2223.5116230629915,0.0,0.0
13,POOL,120-240,g_tr_stack_full_with&g_trend_slope_with&g_vwap_ge_30,192,192,0,11.35763538686111,11.35763538686111,2180.665994277333,2180.665994277333,0.0,0.0
14,POOL,360-480,g_trend_slope_with,495,495,0,4.3437170085771415,4.3437170085771415,2150.139919245685,2150.139919245685,0.0,0.0
15,POOL,60-120,g_tr_stack_with&g_tr_stack_full_with&g_trend_slope_with,223,223,0,9.493894457828,9.493894457828,2117.138464095644,2117.138464095644,0.0,0.0
16,POOL,60-120,g_tr_stack_full_with&g_trend_slope_with,223,223,0,9.493894457828,9.493894457828,2117.138464095644,2117.138464095644,0.0,0.0
17,POOL,480-600,g_trend_slope_with,464,464,0,4.444747887578377,4.444747887578377,2062.3630198363667,2062.3630198363667,0.0,0.0
18,POOL,240-360,g_trend_slope_strong_with,170,170,0,11.833727102246726,11.833727102246726,2011.7336073819436,2011.7336073819436,0.0,0.0
19,POOL,240-360,g_trend_slope_with&g_trend_slope_strong_with,170,170,0,11.833727102246726,11.833727102246726,2011.7336073819436,2011.7336073819436,0.0,0.0
20,SOL,120-240,g_trend_slope_with,154,154,0,11.321088399400912,11.321088399400912,1743.4476135077405,1743.4476135077405,0.0,0.0
21,POOL,120-240,g_trend_slope_with&g_vwap_ge_50_le_85,279,279,0,6.099585526502898,6.099585526502898,1701.7843618943086,1701.7843618943086,0.0,0.0
22,POOL,480-600,g_tr_stack_with&g_trend_slope_with,319,319,0,5.017940228875234,5.017940228875234,1600.7229330111995,1600.7229330111995,0.0,0.0
23,POOL,240-360,g_trend_slope_strong_with&g_vwap_le_70,87,87,0,18.376649490118744,18.376649490118744,1598.7685056403307,1598.7685056403307,0.0,0.0
24,SOL,120-240,g_trend_slope_with&g_vwap_ge_30,148,148,0,10.053265391452083,10.053265391452083,1487.8832779349082,1487.8832779349082,0.0,0.0
