sleeve_idx,asset_pool,offset_bin,r4_gate_stack,added_r5_gate,train_n,train_WR,train_dpt,train_sum,val_n,val_WR,val_dpt,val_sum,lockbox_n,lockbox_WR,lockbox_dpt,lockbox_sum,base_n,base_WR,base_dpt,base_sum,dpt_lift,wr_lift,n_kept_pct
0,POOL,120-240,g_trend_slope_with,g_mp_no_extreme,303,0.8712871287128713,4.945656338178677,1498.533870468139,160,0.8875,6.1153022789240605,978.4483646278497,345,0.7536231884057971,8.185199978506208,2823.8939925846416,466,0.7532188841201717,8.894888934585296,4145.018243516748,-0.7096889560790878,0.0004043042856254342,0.740343347639485
0,POOL,120-240,g_trend_slope_with,g_mp_very_no_extreme,222,0.8513513513513513,5.1907884408817715,1152.3550338757532,110,0.8636363636363636,7.062924185217607,776.9216603739368,315,0.746031746031746,8.567914149180112,2698.8929569917354,466,0.7532188841201717,8.894888934585296,4145.018243516748,-0.3269747854051843,-0.0071871380884256375,0.6759656652360515
0,POOL,120-240,g_trend_slope_with,g_mp_with,162,0.8703703703703703,4.94245581096243,800.6778413759137,95,0.8842105263157894,5.940638676552751,564.3606742725113,187,0.7647058823529411,8.212246340850431,1535.6900657390306,466,0.7532188841201717,8.894888934585296,4145.018243516748,-0.6826425937348652,0.011486998232769441,0.4012875536480687
0,POOL,120-240,g_trend_slope_with,g_mp_strong_with,74,0.8918918918918919,4.025113722360679,297.85841545469026,46,0.9130434782608695,3.5671393024272113,164.08840791165173,46,0.8478260869565217,6.763677316583707,311.12915656285054,466,0.7532188841201717,8.894888934585296,4145.018243516748,-2.131211618001589,0.09460720283635005,0.09871244635193133
0,POOL,120-240,g_trend_slope_with,g_mp_change_with,23,0.8695652173913043,3.1394446926144646,72.20722793013269,18,0.8333333333333334,4.800631261115616,86.4113627000811,12,0.9166666666666666,11.122006729544715,133.46408075453658,466,0.7532188841201717,8.894888934585296,4145.018243516748,2.227117794959419,0.16344778254649495,0.02575107296137339
0,POOL,120-240,g_trend_slope_with,g_mp_change_strong_with,23,0.8695652173913043,3.1394446926144646,72.20722793013269,16,0.875,6.649580613586696,106.39328981738714,9,0.8888888888888888,8.164503384302373,73.48053045872136,466,0.7532188841201717,8.894888934585296,4145.018243516748,-0.7303855502829233,0.13567000476871716,0.019313304721030045
0,POOL,120-240,g_trend_slope_with,g_lm_high_stat,51,0.9215686274509803,4.8518868085465865,247.4462272358759,27,0.9259259259259259,4.9309291589688184,133.1350872921581,15,0.6666666666666666,1.0699934782970433,16.04990217445565,466,0.7532188841201717,8.894888934585296,4145.018243516748,-7.824895456288253,-0.08655221745350505,0.032188841201716736
0,POOL,120-240,g_trend_slope_with,g_lm_low_stat,189,0.8624338624338624,5.1954578491816985,981.941533495341,101,0.8613861386138614,5.415430436311336,546.958474067445,96,0.875,10.177827621176357,977.0714516329302,466,0.7532188841201717,8.894888934585296,4145.018243516748,1.282938686591061,0.12178111587982832,0.20600858369098712
0,POOL,120-240,g_trend_slope_with,g_lm_last_jump_with_60s,53,0.9811320754716981,5.7799056799351956,306.33500103656536,28,1.0,5.9262344887499,165.9345656849972,12,0.9166666666666666,10.252394175249561,123.02873010299473,466,0.7532188841201717,8.894888934585296,4145.018243516748,1.3575052406642651,0.16344778254649495,0.02575107296137339
0,POOL,120-240,g_trend_slope_with,g_lm_extreme_against,307,0.8729641693811075,4.899275745902479,1504.077653992061,162,0.8888888888888888,6.052407607625843,980.4900324353865,466,0.7532188841201717,8.894888934585296,4145.018243516748,466,0.7532188841201717,8.894888934585296,4145.018243516748,0.0,0.0,1.0
0,POOL,120-240,g_trend_slope_with,g_hawkes_imbalance_with,258,0.9108527131782945,5.498864217691773,1418.7069681644775,141,0.8794326241134752,5.520834669228079,778.4376883611591,87,0.8850574712643678,8.204609931033994,713.8010639999575,466,0.7532188841201717,8.894888934585296,4145.018243516748,-0.6902790035513018,0.13183858714419616,0.18669527896995708
0,POOL,120-240,g_trend_slope_with,g_hawkes_imbalance_strong_with,177,0.9209039548022598,5.075161774483625,898.3036340836017,87,0.8735632183908046,4.502621972116998,391.72811157417885,42,0.8809523809523809,6.354327917237286,266.881772523966,466,0.7532188841201717,8.894888934585296,4145.018243516748,-2.5405610173480104,0.12773349683220925,0.09012875536480687
0,POOL,120-240,g_trend_slope_with,g_hawkes_burst,92,0.9565217391304348,4.854299433845083,446.5955479137476,60,0.9333333333333333,5.209418310708882,312.5650986425329,30,0.8333333333333334,7.389727272643254,221.69181817929763,466,0.7532188841201717,8.894888934585296,4145.018243516748,-1.5051616619420418,0.08011444921316169,0.06437768240343347
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_no_extreme,252,0.8928571428571429,5.722093784305457,1441.9676336449752,140,0.8714285714285714,5.6458983826416524,790.4257735698313,237,0.7805907172995781,9.976636039004454,2364.4627412440555,315,0.780952380952381,10.822333352170544,3409.0350059337215,-0.8456973131660899,-0.0003616636528028794,0.7523809523809524
