sleeve,gate,is_n,is_wr,is_dpt,is_lift_dpt,is_base_n,is_base_dpt,oos_n,oos_wr,oos_dpt,oos_lift_dpt,pass_oos
ETH_s6_5m_60-150,g_vol_expanding,175,0.7771428571428571,21.633997476109975,16.191853201951663,921,5.442144274158313,107,0.897196261682243,10.376956323166624,7.377571139862241,1
ETH_s6_5m_60-150,g_rv_with,175,0.7771428571428571,21.633997476109975,16.191853201951663,921,5.442144274158313,107,0.897196261682243,10.376956323166624,7.377571139862241,1
BTC_s6_5m_60-150,g_hurst_trending,693,0.7691197691197691,14.533774446048087,8.299762383327757,1831,6.234012062720329,415,0.8385542168674699,2.0284175093839565,-0.8533589216988315,0
BTC_s6_5m_60-150,g_vol_expanding,565,0.7734513274336283,11.966701069184152,5.732689006463823,1831,6.234012062720329,363,0.8429752066115702,0.9166211987467836,-1.9651552323360044,0
BTC_s6_5m_60-150,g_rv_with,564,0.7730496453900709,11.964521993948432,5.730509931228103,1831,6.234012062720329,363,0.8429752066115702,0.9166211987467836,-1.9651552323360044,0
ETH_s6_5m_60-150,g_hurst_trending,315,0.6888888888888889,11.159463538921308,5.717319264762995,921,5.442144274158313,121,0.6528925619834711,2.2952856171832536,-0.7040995661211298,0
BTC_s15_5m_150-240,g_vol_high,434,0.8387096774193549,6.515187028922161,2.9845768245916147,1027,3.530610204330546,142,0.7605633802816901,1.9901777136953611,0.3619982817595244,1
BTC_s15_5m_60-150,g_vol_expanding,226,0.827433628318584,4.52083158716094,2.9669939323653813,1598,1.5538376547955584,84,0.8571428571428571,3.3627837412168446,2.67484858551841,1
BTC_s15_5m_60-150,g_rv_with,225,0.8266666666666667,4.377590842715859,2.823753187920301,1598,1.5538376547955584,83,0.8554216867469879,3.3741055194585114,2.686170363760077,1
BTC_s6_5m_60-150,g_vol_contracting,172,0.7441860465116279,8.66211008318159,2.4280980204612606,1831,6.234012062720329,23,0.7391304347826086,1.625202815286164,-1.256573615796624,0
