label,n,wr,dpt,sum_pnl,sleeve,bucket
all,2764,0.7778581765557163,5.102450613980161,14103.173497041165,BTC_s6_5m_60-150,all
h_lt_04,38,0.5789473684210527,-5.98842528514804,-227.5601608356255,BTC_s6_5m_60-150,h_lt_04
h_04_05,673,0.725111441307578,2.332867490422444,1570.0198210543047,BTC_s6_5m_60-150,h_04_05
h_05_06,1606,0.7596513075965131,6.254850635039606,10045.290119873607,BTC_s6_5m_60-150,h_05_06
h_ge_06,447,0.9395973154362416,6.074773415993019,2715.4237169488797,BTC_s6_5m_60-150,h_ge_06
all,1307,0.6648814078041316,4.720717335313923,6169.977557255297,ETH_s6_5m_60-150,all
h_lt_04,31,0.22580645161290322,-12.946910615343688,-401.3542290756543,ETH_s6_5m_60-150,h_lt_04
h_04_05,437,0.6567505720823799,5.150259781328319,2250.663524440475,ETH_s6_5m_60-150,h_04_05
h_05_06,714,0.6778711484593838,2.072617973048692,1479.849232756766,ETH_s6_5m_60-150,h_05_06
h_ge_06,125,0.728,22.726552233069693,2840.819029133712,ETH_s6_5m_60-150,h_ge_06
all,3420,0.8514619883040936,1.343842694152961,4595.942014003127,ETH_s15_5m_150-240,all
h_lt_04,42,0.9285714285714286,4.3458627875323,182.5262370763566,ETH_s15_5m_150-240,h_lt_04
h_04_05,825,0.8545454545454545,1.7007970632407743,1403.1575771736389,ETH_s15_5m_150-240,h_04_05
h_05_06,2038,0.845927379784102,0.6121961779496595,1247.6558106614061,ETH_s15_5m_150-240,h_05_06
h_ge_06,514,0.8618677042801557,3.4287060594993117,1762.3549145826462,ETH_s15_5m_150-240,h_ge_06
all,1365,0.8564102564102564,3.059532108308999,4176.261327841784,BTC_s15_5m_150-240,all
h_lt_04,13,0.8461538461538461,-2.7010415683698783,-35.11354038880842,BTC_s15_5m_150-240,h_lt_04
h_04_05,214,0.8598130841121495,3.1522263873297733,674.5764468885715,BTC_s15_5m_150-240,h_04_05
h_05_06,805,0.8658385093167702,2.1978024160696137,1769.230944936039,BTC_s15_5m_150-240,h_05_06
h_ge_06,333,0.8318318318318318,5.308010439657603,1767.5674764059818,BTC_s15_5m_150-240,h_ge_06
all,1503,0.9288090485695276,2.200140342087601,3306.8109341576646,SOL_s6_5m_60-150,all
h_lt_04,240,0.9375,1.8464597283671154,443.1503348081077,SOL_s6_5m_60-150,h_lt_04
h_04_05,678,0.9056047197640118,1.9356504137799688,1312.3709805428189,SOL_s6_5m_60-150,h_04_05
h_05_06,537,0.9478584729981379,2.712533957622463,1456.6307352432627,SOL_s6_5m_60-150,h_05_06
h_ge_06,48,1.0,1.97206007423908,94.65888356347584,SOL_s6_5m_60-150,h_ge_06
all,2146,0.7912395153774464,1.3327218255759758,2860.021037686044,BTC_s15_5m_60-150,all
h_lt_04,31,0.7096774193548387,-0.6560711425696878,-20.338205419660323,BTC_s15_5m_60-150,h_lt_04
h_04_05,412,0.7839805825242718,1.7591775166434398,724.7811368570972,BTC_s15_5m_60-150,h_04_05
h_05_06,1279,0.7834245504300235,1.072428408628155,1371.6359346354102,BTC_s15_5m_60-150,h_05_06
h_ge_06,424,0.8278301886792453,1.8489202160688611,783.9421716131972,BTC_s15_5m_60-150,h_ge_06
all,1432,0.8449720670391061,1.736246849058148,2486.305487851268,BTC_s15_5m_240-300,all
h_lt_04,15,0.8,-3.5659957939516316,-53.489936909274476,BTC_s15_5m_240-300,h_lt_04
h_04_05,241,0.8381742738589212,3.832469062966553,923.6250441749393,BTC_s15_5m_240-300,h_04_05
h_05_06,858,0.8461538461538461,1.575260148536308,1351.5732074441523,BTC_s15_5m_240-300,h_05_06
h_ge_06,318,0.8490566037735849,0.83206658220582,264.59717314145075,BTC_s15_5m_240-300,h_ge_06
