sleeve,gate,is_n,is_wr,is_dpt,is_lift_dpt,is_base_n,is_base_dpt,oos_n,oos_wr,oos_dpt,oos_lift_dpt
ETH_s6_5m_60-150,g_vol_expanding,175,0.7771428571428571,21.633997476109975,16.191853201951663,921,5.442144274158313,107,0.897196261682243,10.376956323166624,7.377571139862241
ETH_s6_5m_60-150,g_rv_with,175,0.7771428571428571,21.633997476109975,16.191853201951663,921,5.442144274158313,107,0.897196261682243,10.376956323166624,7.377571139862241
BTC_s6_5m_60-150,g_hurst_trending,693,0.7691197691197691,14.533774446048087,8.299762383327757,1831,6.234012062720329,415,0.8385542168674699,2.0284175093839565,-0.8533589216988315
BTC_s6_5m_60-150,g_vol_expanding,565,0.7734513274336283,11.966701069184152,5.732689006463823,1831,6.234012062720329,363,0.8429752066115702,0.9166211987467836,-1.9651552323360044
BTC_s6_5m_60-150,g_rv_with,564,0.7730496453900709,11.964521993948432,5.730509931228103,1831,6.234012062720329,363,0.8429752066115702,0.9166211987467836,-1.9651552323360044
ETH_s6_5m_60-150,g_hurst_trending,315,0.6888888888888889,11.159463538921308,5.717319264762995,921,5.442144274158313,121,0.6528925619834711,2.2952856171832536,-0.7040995661211298
BTC_s15_5m_150-240,g_vol_high,434,0.8387096774193549,6.515187028922161,2.9845768245916147,1027,3.530610204330546,142,0.7605633802816901,1.9901777136953611,0.3619982817595244
BTC_s15_5m_60-150,g_vol_expanding,226,0.827433628318584,4.52083158716094,2.9669939323653813,1598,1.5538376547955584,84,0.8571428571428571,3.3627837412168446,2.67484858551841
BTC_s15_5m_60-150,g_rv_with,225,0.8266666666666667,4.377590842715859,2.823753187920301,1598,1.5538376547955584,83,0.8554216867469879,3.3741055194585114,2.686170363760077
BTC_s6_5m_60-150,g_vol_contracting,172,0.7441860465116279,8.66211008318159,2.4280980204612606,1831,6.234012062720329,23,0.7391304347826086,1.625202815286164,-1.256573615796624
BTC_s15_5m_150-240,g_vol_contracting,230,0.8739130434782608,5.876508240153105,2.3458980358225587,1027,3.530610204330546,81,0.7530864197530864,2.0922356201121595,0.46405618817632277
BTC_s15_5m_150-240,g_hurst_trending,559,0.8640429338103757,5.808057292455168,2.2774470881246223,1027,3.530610204330546,197,0.8071065989847716,-0.43720670669644934,-2.0653861386322863
BTC_s15_5m_240-300,g_vol_high,430,0.772093023255814,3.4383651125756503,1.7577795643180842,1061,1.680585548257566,168,0.7738095238095238,2.0988207923167033,0.20339162479651507
BTC_s15_5m_60-150,g_hurst_trending,766,0.8185378590078329,2.6035872246486442,1.0497495698530859,1598,1.5538376547955584,304,0.8092105263157895,1.2897414879521263,0.6018063322536918
ETH_s15_5m_150-240,g_vol_high,1015,0.8285714285714286,2.0897715486551682,0.9346624207363805,2556,1.1551091279187877,384,0.8046875,2.3788525427770213,0.47667304851462866
BTC_s15_5m_60-150,g_vol_high,888,0.7781531531531531,2.355579001653726,0.8017413468581678,1598,1.5538376547955584,313,0.7763578274760383,1.5354015289536562,0.8474663732552218
ETH_s6_5m_60-150,g_vol_high,756,0.667989417989418,6.1097495348231075,0.6676052606647946,921,5.442144274158313,302,0.652317880794702,3.70939608496549,0.7100109016611067
BTC_s15_5m_60-150,g_vol_contracting,245,0.8040816326530612,2.1088726197042043,0.5550349649086459,1598,1.5538376547955584,74,0.7837837837837838,0.7012888603170795,0.013353704618645046
BTC_s6_5m_60-150,g_vol_high,1614,0.7422552664188352,6.767201400455368,0.5331893377350392,1831,6.234012062720329,822,0.8576642335766423,3.3259442908000807,0.44416785971729267
ETH_s15_5m_150-240,g_hurst_trending,1144,0.8513986013986014,1.6640515044815856,0.5089423765627978,2556,1.1551091279187877,356,0.848314606741573,0.8186503626573837,-1.083529131605009
BTC_s15_5m_240-300,g_vol_contracting,281,0.7793594306049823,2.147077570285711,0.466492022028145,1061,1.680585548257566,113,0.8230088495575221,3.612190625991027,1.7167614584708388
BTC_s15_5m_60-150,g_vol_low,198,0.8484848484848485,1.8631062798702567,0.3092686250746983,1598,1.5538376547955584,68,0.75,-2.4046574648205503,-3.092592620518985
BTC_s15_5m_240-300,g_hurst_trending,559,0.8479427549194991,1.8929056915549594,0.21232014329739335,1061,1.680585548257566,213,0.8591549295774648,3.0224344749766536,1.1270053074564654
SOL_s6_5m_60-150,g_vol_high,654,0.9464831804281345,2.8176460920388755,0.12175991140572151,817,2.695886180633154,622,0.9163987138263665,1.4529179044348541,-0.15680793314587183
ETH_s15_5m_150-240,g_rv_with,216,0.9027777777777778,1.262149117415033,0.10703998949624527,2556,1.1551091279187877,66,0.8939393939393939,2.3167028957907396,0.414523401528347
